Alabama,4780125
Alaska,710249
Arizona,6392288
Arkansas,2916031
California,37254519
Colorado,5029319
Connecticut,3574147
Delaware,897937
District of Columbia,601767
Florida,18804564
Georgia,9688729
Hawaii,1360307
Idaho,1567657
Illinois,12831572
Indiana,6484051
Iowa,3046871
Kansas,2853123
Kentucky,4339333
Louisiana,4533487
Maine,1328358
Maryland,5773794
Massachusetts,6547785
Michigan,9884116
Minnesota,5303927
Mississippi,2968130
Missouri,5988950
Montana,989407
Nebraska,1826305
Nevada,2700677
New Hampshire,1316462
New Jersey,8791978
New Mexico,2059199
New York,19378144
North Carolina,9535751
North Dakota,672576
Ohio,11536751
Oklahoma,3751582
Oregon,3831079
Pennsylvania,12702868
Rhode Island,1052964
South Carolina,4625366
South Dakota,814198
Tennessee,6346276
Texas,25146091
Utah,2763891
Vermont,625737
Virginia,8001049
Washington,6724540
West Virginia,1853018
Wisconsin,5687285
Wyoming,563775
Puerto Rico,3726157
Virgin Islands,107268
Guam,167000
