Москва	 263059	641	 42844	 215383	 4832
Московская область	 68379	156	 15454	 51732	 1193
Санкт-Петербург	 36852	185	 8537	 25875	 2440
Нижегородская область	 27820	132	 2532	 24811	 477
Свердловская область	 25432	117	 4956	 20022	 454
Ханты-Мансийский АО	 19676	67	 1018	 18491	 167
Ростовская область	 17060	133	 2098	 14608	 354
Красноярский край	 16979	109	 2986	 13512	 481
Иркутская область	 16886	76	 3670	 12966	 250
Воронежская область	 14241	97	 1442	 12684	 115
Челябинская область	 13753	71	 4187	 9462	 104
Ямало-Ненецкий автономный округ	 13457	46	 364	 13003	 90
Мурманская область	 12892	65	 2276	 10454	 162
Саратовская область	 12438	93	 4324	 8038	 76
Волгоградская область	 12216	91	 3374	 8738	 104
Ульяновская область	 12164	92	 2231	 9832	 101
Ставропольский край	 12110	125	 3708	 8162	 240
Алтайский край	 11781	61	 1153	 10509	 119
Новосибирская область	 11456	52	 929	 10166	 361
Краснодарский край	 11294	86	 1796	 9313	 185
Республика Дагестан	 11073	74	 877	 9697	 499
Архангельская область	 10888	63	 1564	 9072	 252
Хабаровский край	 10150	49	 2057	 8002	 91
Оренбургская область	 10030	86	 1112	 8841	 77
Приморский край	 9681	78	 1617	 7960	 104
Омская область	 9324	42	 1504	 7627	 193
Тульская область	 9283	29	 847	 8112	 324
Самарская область	 8586	81	 1536	 6921	 129
Брянская область	 8252	25	 1482	 6735	 35
Пензенская область	 8200	75	 479	 7613	 108
Калужская область	 8079	24	 1095	 6917	 67
Пермский край	 7923	57	 2171	 5537	 215
Республика Башкортостан	 7825	30	 890	 6906	 29
Тюменская область	 7820	49	 773	 7016	 31
Республика Чувашия	 7803	29	 1284	 6449	 70
Ивановская область	 7433	36	 1158	 6156	 119
Республика Саха (Якутия)	 7425	46	 1355	 5987	 83
Белгородская область	 7405	40	 670	 6682	 53
Ярославская область	 7269	41	 697	 6535	 37
Рязанская область	 7190	29	 868	 6278	 44
Курская область	 7145	25	 1012	 6080	 53
Орловская область	 7080	51	 1350	 5622	 108
Ленинградская область	 6842	31	 1760	 5003	 79
Республика Тыва	 6841	17	 569	 6207	 65
Тамбовская область	 6776	25	 863	 5868	 45
Кировская область	 6619	64	 1455	 5066	 98
Республика Коми	 6592	29	 864	 5643	 85
Кабардино-Балкарская Республика	 6542	28	 354	 6109	 79
Республика Татарстан	 6536	27	 1146	 5356	 34
Кемеровская область	 6527	90	 1976	 4506	 45
Владимирская область	 6345	27	 653	 5498	 194
Смоленская область	 6176	9	 748	 5300	 128
Томская область	 5748	42	 968	 4711	 69
Астраханская область	 5730	37	 278	 5378	 74
Республика Мордовия	 5493	31	 1145	 4310	 38
Тверская область	 5432	25	 1037	 4200	 195
Республика Бурятия	 5291	48	 785	 4456	 50
Карачаево-Черкесская Республика	 5163	48	 738	 4399	 26
Липецкая область	 5125	31	 463	 4635	 27
Республика Северная Осетия — Алания	 4943	21	 457	 4419	 67
Псковская область	 4638	3	 1173	 3400	 65
Забайкальский край	 4632	32	 310	 4265	 57
Сахалинская область	 4473	53	 1823	 2650	 0
Республика Ингушетия	 4424	27	 415	 3933	 76
Новгородская область	 4363	23	 1085	 3192	 86
Республика Калмыкия	 4326	57	 1551	 2719	 56
Республика Марий Эл	 4276	16	 410	 3827	 39
Камчатский край	 3864	12	 655	 3167	 42
Костромская область	 3578	32	 984	 2554	 40
Калининградская область	 3446	16	 550	 2838	 58
Республика Хакасия	 3434	19	 246	 3145	 43
Амурская область	 3418	32	 332	 3039	 47
Вологодская область	 3416	37	 467	 2912	 37
Республика Адыгея	 3405	19	 472	 2906	 27
Удмуртская Республика	 3211	32	 510	 2656	 45
Республика Карелия	 3143	13	 861	 2266	 16
Курганская область	 3003	22	 354	 2632	 17
Республика Крым	 2453	54	 724	 1698	 31
Чеченская Республика	 2274	4	 629	 1607	 38
Республика Алтай	 2157	15	 280	 1869	 8
Магаданская область	 1943	15	 310	 1615	 18
Еврейская автономная область	 632	6	 60	 563	 9
Севастополь	 523	5	 101	 404	 18
Ненецкий автономный округ	 314	0	 200	 114	 0
Чукотский автономный округ	 172	1	 6	 164	 2
