Москва	 112	 518	 918	 10
Санкт-Петербург	 33	 62	 435	 8
Московская область	 79	 131	 402	 2
Свердловская область	 6	 108	 144	 1
Нижегородская область	 25	 102	 124	 1
Воронежская область	 19	 95	 153	 1
Самарская область	 25	 30	 80	 2
Ростовская область	 11	 62	 87	 0
Пермский край	 6	 31	 85	 0
Красноярский край	 4	 41	 28	 2
Челябинская область	 25	 3	 98	 1
Иркутская область	 14	 60	 102	 0
Республика Башкортостан	 16	 46	 51	 1
Алтайский край	 11	 27	 55	 1
Краснодарский край	 6	 45	 60	 0
Новосибирская область	 6	 6	 47	 1
Саратовская область	 1	 71	 55	 1
Архангельская область	 3	 45	 55	 0
Волгоградская область	 23	 44	 83	 1
Оренбургская область	 2	 17	 22	 0
Ханты-Мансийский АО	 3	 20	 41	 0
Омская область	 8	 8	 43	 1
Ульяновская область	 0	 5	 23	 0
Хабаровский край	 1	 13	 16	 0
Ставропольский край	 9	 25	 66	 0
Вологодская область	 4	 38	 35	 0
Тюменская область	 6	 23	 47	 1
Ленинградская область	 0	 77	 59	 1
Пензенская область	 10	 11	 38	 1
Республика Крым	 6	 13	 43	 0
Республика Саха (Якутия)	 10	 2	 32	 0
Приморский край	 1	 4	 31	 0
Республика Коми	 3	 11	 20	 0
Калининградская область	 0	 5	 40	 0
Забайкальский край	 5	 13	 14	 0
Удмуртская Республика	 7	 8	 26	 0
Кемеровская область	 9	 9	 42	 2
Ярославская область	 6	 45	 48	 0
Тверская область	 0	 14	 35	 1
Брянская область	 0	 24	 27	 0
Тульская область	 0	 20	 37	 1
Липецкая область	 1	 30	 38	 0
Республика Татарстан	 36	 0	 40	 0
Владимирская область	 1	 16	 17	 0
Кировская область	 0	 10	 24	 0
Республика Карелия	 1	 54	 44	 1
Республика Бурятия	 0	 18	 22	 0
Ямало-Ненецкий автономный округ	 2	 13	 17	 0
Мурманская область	 1	 3	 9	 0
Томская область	 18	 21	 22	 0
Смоленская область	 4	 21	 18	 0
Белгородская область	 8	 6	 10	 0
Рязанская область	 9	 22	 41	 0
Курская область	 5	 34	 29	 1
Астраханская область	 29	 2	 85	 1
Тамбовская область	 5	 1	 10	 0
Орловская область	 7	 21	 20	 0
Ивановская область	 9	 31	 20	 0
Псковская область	 6	 17	 21	 1
Амурская область	 0	 15	 18	 0
Курганская область	 1	 6	 13	 0
Калужская область	 1	 23	 21	 0
Новгородская область	 5	 22	 35	 0
Республика Дагестан	 1	 1	 2	 0
Костромская область	 4	 4	 11	 0
Республика Хакасия	 2	 1	 11	 0
Севастополь	 5	 5	 14	 1
Чувашская Республика	 13	 51	 48	 0
Республика Мордовия	 0	 17	 16	 0
Сахалинская область	 0	 1	 9	 0
Кабардино-Балкарская Республика	 4	 2	 6	 0
Республика Калмыкия	 3	 4	 22	 0
Республика Адыгея	 0	 2	 6	 0
Карачаево-Черкесская Республика	 0	 1	 4	 0
Республика Марий Эл	 0	 11	 10	 0
Республика Тыва	 0	 0	 1	 0
Чеченская Республика	 3	 27	 32	 0
Республика Ингушетия	 1	 3	 6	 0
Республика Северная Осетия — Алания	 4	 5	 8	 0
Камчатский край	 0	 14	 9	 0
Республика Алтай	 1	 1	 10	 0
Магаданская область	 0	 1	 2	 0
Еврейская автономная область	 0	 10	 9	 0
Ненецкий автономный округ	 0	 3	 2	 0
Чукотский автономный округ	 0	 1	 5	 0
