"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,525,4.790419,31,21,473,5.904762,4,0.6809338521400778,147,3671
2020-04-05,501,7.51073,26,18,457,5.189621,3.592814,0.6498054474708171,154,4283
2020-04-04,466,6.150342,21,17,428,4.506438,3.648069,0.6044098573281452,165,4535
2020-04-03,439,2.570093,16,16,407,3.644647,3.644647,0.569390402075227,176,4819
2020-04-02,428,9.74359,10,15,403,2.336449,3.504673,0.5551232166018158,180,5140
2020-04-01,390,3.723404,10,14,366,2.564103,3.589744,0.5058365758754864,198,5507
2020-03-31,376,1.621622,10,12,354,2.659574,3.191489,0.48767833981841763,205,6425
2020-03-30,370,10.778443,10,8,352,2.702703,2.162162,0.4798962386511025,208,9638
2020-03-29,334,8.441558,1,6,327,0.299401,1.796407,0.43320363164721143,231,12850
2020-03-28,308,15.355805,1,3,304,0.324675,0.974026,0.39948119325551235,250,25700
2020-03-27,267,19.196429,1,3,263,0.374532,1.123596,0.3463035019455253,289,25700
2020-03-26,224,19.148936,1,3,220,0.446429,1.339286,0.2905317769130999,344,25700
2020-03-25,188,14.634146,1,1,186,0.531915,0.531915,0.24383916990920881,410,77100
2020-03-24,164,23.308271,1,1,162,0.609756,0.609756,0.2127107652399481,470,77100
2020-03-23,133,17.699115,1,1,131,0.75188,0.75188,0.17250324254215305,580,77100
2020-03-22,113,28.409091,1,1,111,0.884956,0.884956,0.14656290531776914,682,77100
2020-03-21,88,17.333333,1,0,87,1.136364,0,0.11413748378728923,876,
2020-03-20,75,41.509434,1,0,74,1.333333,0,0.09727626459143969,1028,
2020-03-19,53,35.897436,1,0,52,1.886792,0,0.06874189364461739,1455,
2020-03-18,39,0,1,0,38,2.564103,0,0.05058365758754864,1977,
2020-03-17,39,1850,1,0,38,2.564103,0,0.05058365758754864,1977,
2020-03-16,2,100,1,0,1,50,0,0.0025940337224383916,38550,
2020-03-15,1,0,1,0,0,100,0,0.0012970168612191958,77100,
2020-03-14,1,0,1,0,0,100,0,0.0012970168612191958,77100,
2020-03-13,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-12,1,0,1,0,0,100,0,0.0012970168612191958,77100,
2020-03-11,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-10,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-09,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-08,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-07,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-06,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-05,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-04,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-03,1,0,0,0,1,0,0,0.0012970168612191958,77100,
2020-03-02,1,,0,0,1,0,0,0.0012970168612191958,77100,

