"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-24,2590673,1.04489947,2166129,61394,363150,83.61259796,2.36980893,0.20202572140903083,495,20887,2.020257214090308,0.04787623578964245
2020-12-23,2563883,1.0034624,2144346,60840,358697,83.63665581,2.3729632,0.19993658508169507,500,21077,1.9993658508169505,0.047444215810044085
2020-12-22,2538411,0.80095591,2132089,60019,346303,83.99305707,2.36443192,0.1979502289588919,505,21366,1.9795022895889187,0.04680398403522413
2020-12-21,2518241,0.667226,2104937,59490,353814,83.5875915,2.36236325,0.19637733311259245,509,21556,1.9637733311259242,0.04639145954206973
2020-12-20,2501550,0.7446457,2095478,59061,347011,83.767184,2.360976,0.19507573645564727,513,21712,1.9507573645564724,0.04605691699469122
2020-12-19,2483060,0.8780198,2081983,58721,342356,83.8474705,2.3648643,0.19363385027825128,516,21838,1.9363385027825126,0.04579177837905324
2020-12-18,2461448,0.77976485,2070815,58272,332361,84.1299512,2.367387,0.191948504466143,521,22006,1.91948504466143,0.04544163944251954
2020-12-17,2442403,0.8405294,2060094,57776,324533,84.34701399,2.36553918,0.1904633383088414,525,22195,1.904633383088414,0.04505484899147119
2020-12-16,2422045,0.88697245,2045594,57380,319071,84.4573078,2.3690724,0.1888757818567361,529,22348,1.8887578185673608,0.044746040486198714
2020-12-15,2400751,0.7656211,2025689,57034,318028,84.37730527,2.37567328,0.18721523430338455,534,22484,1.8721523430338454,0.044476222953814176
2020-12-14,2382510,0.473372,2012512,56605,313393,84.4702436,2.3758557,0.18579276563048677,538,22654,1.8579276563048674,0.04414168040643566
2020-12-13,2371285,0.6885146,2002526,56294,312465,84.4489802,2.373987,0.18491741828915254,541,22779,1.8491741828915251,0.04389915655507268
2020-12-12,2355070,0.780027,1993557,55948,305565,84.6495858,2.375641,0.18365294103839666,545,22920,1.8365294103839667,0.04362933902268814
2020-12-11,2336842,0.825209,1982628,55622,298592,84.84219301,2.38022083,0.18223148613079396,549,23055,1.8223148613079396,0.04337511787945878
2020-12-10,2317716,0.84708,1970130,55223,292363,85.0030806,2.3826474,0.18074000343588453,553,23221,1.8074000343588452,0.04306396991581303
2020-12-09,2298248,0.85692808,1956207,54827,287214,85.1173155,2.3855998,0.17922185091551973,558,23389,1.7922185091551972,0.04275516141054055
2020-12-08,2278721,0.57794156,1944254,54478,279989,85.32216098,2.39072708,0.17769909746035417,563,23539,1.7769909746035417,0.04248300441978274
2020-12-07,2265627,0.4677441,1926371,54076,285180,85.02595529,2.38680065,0.17667800186236482,566,23714,1.7667800186236482,0.04216951699776371
2020-12-06,2255079,0.59830474,1915529,53828,285722,84.94287783,2.38696737,0.17585544829832087,569,23823,1.7585544829832085,0.041976121772239534
2020-12-05,2241667,0.6704878,1907556,53522,280589,85.09542229,2.38759816,0.17480955444157478,572,23959,1.7480955444157478,0.04173749701816534
2020-12-04,2226737,0.8033076,1895381,53235,278121,85.11921255,2.3907179,0.17364528399114093,576,24088,1.7364528399114092,0.04151368883378857
2020-12-03,2208992,0.7193549,1870306,52804,285882,84.6678485,2.3904116,0.17226149436334798,581,24285,1.7226149436334797,0.04117758664749454
2020-12-02,2193215,0.751636,1855419,52537,285259,84.5981356,2.3954332,0.17103117320484196,585,24408,1.7103117320484196,0.04096937485227295
2020-12-01,2176853,0.5014331,1842036,52207,282610,84.6192187,2.39827862,0.16975523260805706,589,24563,1.6975523260805703,0.04071203443121255
2020-11-30,2165992,0.49244262,1832324,51949,281719,84.5951416,2.398393,0.16890827069498524,592,24685,1.6890827069498522,0.040510841011110785
2020-11-29,2155378,0.5992423,1820072,51681,283625,84.44328559,2.39776967,0.16808057032252008,595,24813,1.6808057032252006,0.04030184939643144
2020-11-28,2142539,0.6427869,1804447,51457,286635,84.22003053,2.4016832,0.16707936012070357,599,24921,1.6707936012070357,0.04012716983789347
2020-11-27,2128855,0.74649292,1795021,51222,282612,84.3186126,2.4060821,0.16601225517470647,602,25035,1.6601225517470646,0.03994391226532015
2020-11-26,2113081,0.66230686,1779898,50901,282282,84.23236024,2.40885229,0.16478216796203776,607,25193,1.6478216796203775,0.039693590219379585
2020-11-25,2099178,0.71313631,1770504,50604,278070,84.3427284,2.4106579,0.16369798496991572,611,25341,1.6369798496991572,0.03946198384042523
2020-11-24,2084314,0.61091165,1759326,50284,274704,84.40791551,2.41249639,0.1625388613279031,615,25502,1.6253886132790307,0.03921244161394242
2020-11-23,2071658,0.4897745,1744715,49940,277003,84.21829279,2.41062955,0.16155192182216357,619,25678,1.6155192182216356,0.0389441837204734
2020-11-22,2061561,0.6269781,1732916,49670,278975,84.05843921,2.40933933,0.16076453811566455,622,25817,1.6076453811566453,0.03873363246687853
2020-11-21,2048716,0.65961084,1722870,49382,276464,84.0951113,2.4103878,0.15976286002217338,626,25968,1.5976286002217337,0.038509044463044005
2020-11-20,2035291,0.78447141,1714406,49068,271817,84.23394984,2.41085918,0.15871595240013223,630,26134,1.587159524001322,0.03826418115330774
2020-11-19,2019449,0.6939306,1699515,48655,271279,84.15736174,2.40932056,0.15748056241515077,635,26356,1.5748056241515076,0.03794211571725337
2020-11-18,2005532,0.7709824,1688559,48379,268594,84.1950664,2.4122776,0.15639528767578786,639,26506,1.5639528767578788,0.03772688554691195
2020-11-17,1990188,0.6608087,1670391,47982,271815,83.931317,2.410928,0.1551987326998028,644,26726,1.551987326998028,0.03741729722218171
2020-11-16,1977123,0.5276228,1660300,47590,269233,83.97555438,2.40703285,0.15417989857824096,649,26946,1.5417989857824095,0.037111607994740274
2020-11-15,1966746,0.6479762,1647400,47309,272037,83.7627228,2.4054453,0.15337067992692469,652,27106,1.5337067992692466,0.03689247872711005
2020-11-14,1954084,0.71627116,1639490,47013,267581,83.9006921,2.4058843,0.1523832725295105,656,27276,1.523832725295105,0.036661652167613454
2020-11-13,1940187,0.76396654,1630124,46778,263285,84.01891158,2.41100471,0.15129955742906315,661,27413,1.5129955742906314,0.03647839459504014
2020-11-12,1925477,0.83053303,1620686,46498,258293,84.17062369,2.41488213,0.15015244300669997,666,27579,1.5015244300669996,0.03626004514686768
2020-11-11,1909617,0.7545444,1608510,46229,254878,84.2320738,2.42085193,0.14891564934669455,672,27739,1.4891564934669455,0.03605027371273058
2020-11-10,1895316,0.6941157,1592852,45898,256566,84.0415002,2.4216542,0.1478004295401537,677,27939,1.478004295401537,0.035792153472212415
2020-11-09,1882251,0.5058798,1583038,45557,253656,84.10344848,2.4203467,0.14678159541859187,681,28148,1.4678159541859186,0.035526235037116674
2020-11-08,1872777,0.6752442,1574952,45306,252519,84.0971456,2.4191882,0.1460427944643112,685,28304,1.460427944643112,0.03533050035321922
2020-11-07,1860216,0.810072,1562199,44791,253226,83.9794411,2.4078387,0.14506326324342042,689,28630,1.450632632434204,0.03492889333247345
2020-11-06,1845268,0.6489688,1540292,44413,260563,83.4725362,2.4068591,0.14389758911796258,695,28873,1.4389758911796258,0.034634121577440634
2020-11-05,1833370,0.84105256,1528176,44189,261005,83.3533875,2.4102609,0.1429697599271212,699,29020,1.4296975992712118,0.034459442018902664
2020-11-04,1818079,0.7845666,1477399,43885,296795,81.26154034,2.4138115,0.14177733799426223,705,29221,1.4177733799426224,0.034222376903743995
2020-11-03,1803926,0.60729366,1468717,43650,291559,81.4178076,2.4197223,0.14067365951569624,711,29378,1.4067365951569624,0.03403911933117068
2020-11-02,1793037,0.4449626,1460986,43334,288717,81.48108489,2.41679341,0.1398245141081427,715,29592,1.398245141081427,0.03379269638251891
2020-11-01,1785094,0.58097243,1452385,43117,289592,81.3618218,2.415391,0.1392051035128449,718,29741,1.392051035128449,0.03362347556018525
2020-10-31,1774783,0.6265121,1442591,42795,289397,81.28266949,2.4112807,0.13840103166994983,723,29965,1.3840103166994984,0.033372373694786926
2020-10-30,1763733,0.7843973,1434695,42573,286465,81.34422841,2.4138007,0.1375393311691264,727,30121,1.3753933116912638,0.03319925377516448
2020-10-29,1750006,0.63214019,1423973,42279,283754,81.3696067,2.4159346,0.13646887299946092,733,30331,1.364688729994609,0.0329699868545834
2020-10-28,1739013,0.6942,1416213,42077,280723,81.4377466,2.41959088,0.1356116174695467,737,30476,1.3561161746954669,0.03281246332411612
2020-10-27,1727024,0.50297344,1408850,41731,276443,81.576747,2.4163532,0.1346766919216397,743,30729,1.3467669192163967,0.032542645791731585
2020-10-26,1718381,0.64213956,1401650,41549,275182,81.56805737,2.41791547,0.13400269396429879,746,30864,1.3400269396429876,0.03240071865041949
2020-10-25,1707417,0.53250964,1391999,41201,274217,81.52659836,2.4130602,0.13314769991081205,751,31124,1.3314769991081203,0.03212934147911944
2020-10-24,1698373,0.695643,1384971,41086,272316,81.54692756,2.41913879,0.132442431193215,755,31211,1.32442431193215,0.032039662241477175
2020-10-23,1686640,0.6337641,1378064,40863,267713,81.704691,2.422746,0.13152746902342663,760,31382,1.3152746902342662,0.03186576250239697
2020-10-22,1676018,0.657208,1370690,40638,264690,81.7825346,2.4246756,0.13069914479539527,765,31555,1.3069914479539526,0.03169030312440124
2020-10-21,1665075,0.6401392,1364197,40422,260456,81.930063,2.427638,0.12984578836276983,770,31724,1.298457883627698,0.03152186212152534
2020-10-20,1654484,0.5932903,1356547,40167,257770,81.9921498,2.427766,0.1290198815750575,775,31925,1.290198815750575,0.031323008159796856
2020-10-19,1644726,0.6101847,1347114,39869,257743,81.9050711,2.4240512,0.12825893374817648,780,32164,1.2825893374817647,0.03109062196138474
2020-10-18,1634751,0.5020334,1341826,39685,253240,82.08136897,2.42758683,0.1274810638390621,784,32313,1.274810638390621,0.030947135181157128
2020-10-17,1626585,0.88293539,1332648,39500,254437,81.9291952,2.4284006,0.1268442632698563,788,32465,1.2684426326985627,0.030802868581471753
2020-10-16,1612349,0.6720214,1323518,39235,249596,82.0863225,2.43340617,0.1257341122897909,795,32684,1.2573411228979088,0.030596216425165676
2020-10-15,1601586,0.5699179,1316705,39029,245852,82.2125693,2.4368969,0.12489479260740512,801,32856,1.248947926074051,0.030435573616867367
2020-10-14,1592510,0.7287848,1310372,38775,243363,82.2834394,2.4348356,0.12418702846754325,805,33072,1.2418702846754324,0.030237499474596637
2020-10-13,1580988,0.4961918,1303486,38512,238990,82.4475581,2.4359451,0.12328852048831358,811,33297,1.2328852048831358,0.03003240695720608
2020-10-12,1573182,0.387465,1298458,38241,236483,82.5370491,2.430806,0.12267979341958708,815,33533,1.2267979341958708,0.02982107588415345
