"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,3,0,3,0,0,100,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-30,3,0,3,0,0,100,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-29,3,0,3,0,0,100,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-28,3,0,3,0,0,100,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-27,3,0,3,0,0,100,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-26,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-25,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-24,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-23,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-22,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-21,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-20,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-19,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-18,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-17,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-16,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-15,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-14,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-13,3,0,1,0,2,33.333333,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-12,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-11,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-10,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-09,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-08,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-07,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-06,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-05,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-04,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-03,3,0,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-02,3,50,0,0,3,0,0,0.020134228187919462,4967,,0.20134228187919462,0
2020-04-01,2,0,0,0,2,0,0,0.013422818791946308,7450,,0.1342281879194631,0
2020-03-31,2,0,0,0,2,0,0,0.013422818791946308,7450,,0.1342281879194631,0
2020-03-30,2,0,0,0,2,0,0,0.013422818791946308,7450,,0.1342281879194631,0
2020-03-29,2,0,0,0,2,0,0,0.013422818791946308,7450,,0.1342281879194631,0
2020-03-28,2,,0,0,2,0,0,0.013422818791946308,7450,,0.1342281879194631,0

