"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-24,54827,0.938933,30276,1125,23426,55.220968,2.051909,1.9031205526050887,53,2561,19.031205526050886,0.39050296782255545
2020-12-23,54317,0.934701,29799,1117,23401,54.861277,2.056446,1.8854177513971329,53,2579,18.85417751397133,0.3877260578291506
2020-12-22,53814,0.728124,29249,1111,23454,54.352027,2.064519,1.8679579298136,54,2593,18.679579298135998,0.385643375334097
2020-12-21,53425,0.796181,28752,1098,23575,53.817501,2.055218,1.8544552049706688,54,2624,18.544552049706688,0.3811308965948141
2020-12-20,53003,0.877393,28121,1088,23794,53.055487,2.052714,1.8398070047554584,54,2648,18.398070047554583,0.37765975910305805
2020-12-19,52542,1.034536,27831,1074,23637,52.969053,2.044079,1.823805060918463,55,2682,18.23805060918463,0.3728001666145996
2020-12-18,52004,1.127878,27426,1066,23512,52.738251,2.049842,1.8051303412128155,55,2703,18.051303412128153,0.37002325662119473
2020-12-17,51424,1.554199,26898,1055,23471,52.306316,2.051571,1.7849977437606304,56,2731,17.849977437606302,0.3662050053802631
2020-12-16,50637,1.274,26381,1040,23216,52.098268,2.053834,1.7576798917005103,57,2770,17.576798917005103,0.36099829914262904
2020-12-15,50000,1.64461,25876,1028,23096,51.752,2.056,1.7355687458780242,58,2802,17.355687458780242,0.35683293415252176
2020-12-14,49191,1.362044,24820,1016,23355,50.456384,2.065418,1.7074872435697177,59,2836,17.074872435697177,0.3526675691624145
2020-12-13,48530,1.650538,24820,1003,22707,51.143623,2.066763,1.6845430247492104,59,2872,16.845430247492104,0.34815509042313164
2020-12-12,47742,1.87568,24520,989,22233,51.35939,2.071551,1.6571904613141726,60,2913,16.571904613141726,0.3432954979346732
2020-12-11,46863,1.741169,24136,977,21750,51.503318,2.0848,1.626679162761637,61,2949,16.26679162761637,0.3391301329445659
2020-12-10,46061,1.931929,23609,965,21487,51.255943,2.095048,1.5988406400777535,63,2985,15.988406400777535,0.3349647679544587
2020-12-09,45188,1.692322,23072,951,21165,51.057803,2.104541,1.5685376097747232,64,3029,15.68537609774723,0.3301051754660002
2020-12-08,44436,1.723783,22527,936,20973,50.695382,2.1064,1.5424346558367177,65,3078,15.424346558367176,0.3248984692283661
2020-12-07,43683,1.61673,22180,922,20581,50.774901,2.110661,1.5162969905237946,66,3125,15.162969905237945,0.32003887673990766
2020-12-06,42988,1.992977,21617,905,20466,50.286126,2.105239,1.49217258495609,67,3183,14.9217258495609,0.3141379430039224
2020-12-05,42148,2.048327,21286,889,19973,50.502989,2.109234,1.4630150300253393,68,3241,14.630150300253392,0.3085841230171127
2020-12-04,41302,1.977729,20974,870,19458,50.782044,2.106436,1.4336492068450832,70,3311,14.33649206845083,0.30198896178277623
2020-12-03,40501,1.968831,20484,852,19165,50.576529,2.103652,1.4058453955361172,71,3381,14.058453955361172,0.29574091429761534
2020-12-02,39719,1.807044,19912,839,18968,50.132179,2.112339,1.378701100350585,73,3434,13.787011003505848,0.29122843555833244
2020-12-01,39014,2.179037,19384,822,18808,49.684729,2.106936,1.3542295810337048,74,3505,13.542295810337047,0.2853275018223472
2020-11-30,38182,1.480399,18849,810,18523,49.366193,2.121418,1.3253497171022943,75,3557,13.253497171022945,0.2811621368322399
2020-11-29,37625,2.269638,18481,798,18346,49.118937,2.12093,1.3060154812732132,77,3610,13.060154812732131,0.27699677184213267
2020-11-28,36790,1.503656,18152,787,17851,49.339494,2.139168,1.2770314832170502,78,3661,12.770314832170502,0.273178520601201
2020-11-27,36245,1.811798,17755,771,17719,48.986067,2.12719,1.2581137838869798,79,3737,12.581137838869797,0.2676247006143913
2020-11-26,35600,1.877289,17352,753,17495,48.741573,2.115169,1.2357249470651532,81,3826,12.357249470651531,0.2613766531292304
2020-11-25,34944,1.877551,17031,743,17170,48.737981,2.126259,1.2129542851192336,82,3877,12.129542851192335,0.2579055156374744
2020-11-24,34300,2.217189,16666,735,16899,48.588921,2.142857,1.1906001596723246,84,3920,11.906001596723247,0.25512860564406953
2020-11-23,33556,2.426666,16230,716,16610,48.366909,2.133747,1.1647748967336595,86,4024,11.647748967336597,0.24853344440973307
2020-11-22,32761,1.754876,15842,699,16220,48.356277,2.133635,1.137179353674199,88,4121,11.37179353674199,0.24263251067374778
2020-11-21,32196,2.342732,15469,685,16042,48.046341,2.127593,1.1175674268457774,89,4206,11.175674268457774,0.2377729181852893
2020-11-20,31459,2.729974,15055,672,15732,47.855939,2.136114,1.0919851435315353,92,4287,10.919851435315353,0.23326043944600644
2020-11-19,30623,2.634313,14565,657,15401,47.56229,2.145446,1.0629664341004548,94,4385,10.629664341004547,0.22805373320837238
2020-11-18,29837,2.441118,14216,646,14975,47.645541,2.165097,1.0356832934152522,97,4460,10.356832934152521,0.22423548196744073
2020-11-17,29126,2.440912,13804,637,14685,47.394081,2.187049,1.0110035058488667,99,4523,10.110035058488666,0.22111145822486028
2020-11-16,28432,2.163133,13453,631,14348,47.316404,2.21933,0.9869138116560797,101,4566,9.869138116560796,0.21902877572980664
