"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,833,1.3382,62,8,763,7.442977,0.960384,0.02816377590695473,3551,369713
2020-04-05,822,6.753247,57,7,758,6.934307,0.851582,0.027791865300740442,3598,422529
2020-04-04,770,4.619565,43,7,720,5.584416,0.909091,0.02603374243500017,3841,422529
2020-04-03,736,11.010558,43,7,686,5.842391,0.951087,0.024884200561246916,4019,422529
2020-04-02,663,16.112084,33,7,623,4.977376,1.055807,0.022416066538188457,4461,422529
2020-04-01,571,7.330827,31,4,536,5.429072,0.700525,0.019305541468032594,5180,739425
2020-03-31,532,10.373444,30,3,499,5.639098,0.56391,0.01798694931872739,5560,985900
2020-03-30,482,13.679245,30,3,449,6.224066,0.622407,0.0162964465632079,6136,985900
2020-03-29,424,4.176904,30,3,391,7.075472,0.707547,0.014335463366805287,6976,985900
2020-03-28,407,23.708207,30,1,376,7.371007,0.2457,0.01376069242992866,7267,2957700
2020-03-27,329,13.448276,28,1,300,8.510638,0.303951,0.011123508131318254,8990,2957700
2020-03-26,290,9.433962,18,1,271,6.206897,0.344828,0.00980491598201305,10199,2957700
2020-03-25,265,6.425703,16,0,249,6.037736,0,0.008959664604253305,11161,
2020-03-24,249,5.957447,14,0,235,5.62249,0,0.008418703722487068,11878,
2020-03-23,235,21.134021,2,0,233,0.851064,0,0.00794536295094161,12586,
2020-03-22,194,21.25,2,0,192,1.030928,0,0.006559150691415627,15246,
2020-03-21,160,17.647059,1,0,159,0.625,0,0.0054096088176623725,18486,
2020-03-20,136,18.26087,1,0,135,0.735294,0,0.004598167495013017,21748,
2020-03-19,115,36.904762,1,0,114,0.869565,0,0.0038881563376948302,25719,
2020-03-18,84,7.692308,1,0,83,1.190476,0,0.002840044629272746,35211,
2020-03-17,78,50,1,0,77,1.282051,0,0.0026371842986104067,37919,
2020-03-16,52,100,0,0,52,0,0,0.0017581228657402711,56879,
2020-03-15,26,44.444444,0,0,26,0,0,0.0008790614328701356,113758,
2020-03-14,18,125,0,0,18,0,0,0.0006085809919870169,164317,
2020-03-13,8,100,0,0,8,0,0,0.0002704804408831186,369713,
2020-03-12,4,300,0,0,4,0,0,0.0001352402204415593,739425,
2020-03-11,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-10,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-09,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-08,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-07,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-06,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-05,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-04,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-03,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-02,1,0,0,0,1,0,0,3.381005511038983e-05,2957700,
2020-03-01,1,,0,0,1,0,0,3.381005511038983e-05,2957700,

