"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,3029,5.027739,1218,43,1768,40.211291,1.41961,0.10241065692937079,976,68784,1.024106569293708,0.014538323697467628
2020-05-07,2884,3.666427,1185,42,1657,41.088766,1.456311,0.09750819893836427,1026,70421,0.9750819893836428,0.01420022314636373
2020-05-06,2782,6.22375,1135,40,1607,40.797987,1.437815,0.0940595733171045,1063,73943,0.9405957331710452,0.013524022044155933
2020-05-05,2619,4.467491,1111,40,1468,42.420771,1.5273,0.08854853433411096,1129,73943,0.8854853433411097,0.013524022044155933
2020-05-04,2507,5.071249,1071,39,1397,42.720383,1.555644,0.0847618081617473,1180,75838,0.8476180816174731,0.013185921493052035
2020-05-03,2386,4.971403,1035,35,1316,43.378039,1.46689,0.08067079149339014,1240,84506,0.8067079149339014,0.011833519288636442
2020-05-02,2273,5.819367,1010,33,1230,44.434668,1.451826,0.07685025526591609,1301,89627,0.7685025526591609,0.011157318186428644
2020-05-01,2148,3.969022,977,33,1138,45.484171,1.536313,0.07262399837711736,1377,89627,0.7262399837711736,0.011157318186428644
2020-04-30,2066,6.935818,929,32,1105,44.966118,1.548887,0.06985157385806538,1432,92428,0.698515738580654,0.010819217635324747
2020-04-29,1932,3.481521,900,30,1002,46.583851,1.552795,0.06532102647327315,1531,98590,0.6532102647327316,0.01014301653311695
2020-04-28,1867,3.263274,866,30,971,46.384574,1.606856,0.06312337289109782,1584,98590,0.6312337289109782,0.01014301653311695
2020-04-27,1808,3.550974,848,29,931,46.902655,1.603982,0.06112857963958481,1636,101990,0.6112857963958481,0.009804915982013052
2020-04-26,1746,4.11449,833,28,885,47.709049,1.603666,0.059032356222740646,1694,105632,0.5903235622274065,0.009466815430909154
2020-04-25,1677,5.075188,803,28,846,47.883125,1.669648,0.05669946242012375,1764,105632,0.5669946242012375,0.009466815430909154
2020-04-24,1596,4.793171,728,27,841,45.614035,1.691729,0.05396084795618217,1853,109544,0.5396084795618217,0.009128714879805254
2020-04-23,1523,3.394433,659,24,840,43.269862,1.575837,0.05149271393312371,1942,123238,0.5149271393312371,0.00811441322649356
2020-04-22,1473,5.139186,633,24,816,42.973523,1.629328,0.04980221117760422,2008,123238,0.4980221117760422,0.00811441322649356
2020-04-21,1401,4.630321,609,24,768,43.468951,1.713062,0.04736788720965615,2111,123238,0.47367887209656157,0.00811441322649356
2020-04-20,1339,3.718048,580,22,737,43.315907,1.643017,0.04527166379281198,2209,134441,0.45271663792811984,0.007438212124285763
