"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,21407,0.126286,19948,521,938,93.184472,2.433783,0.06726409491819402,1487,61085,0.6726409491819402,0.016370623371971357
2021-03-14,21380,0.267317,19850,521,1009,92.843779,2.436857,0.06717925675484598,1489,61085,0.6717925675484598,0.016370623371971357
2021-03-13,21323,0.272749,19848,520,955,93.082587,2.438681,0.06700015396555571,1493,61203,0.6700015396555571,0.016339201829990605
2021-03-12,21265,0.282952,19835,519,911,93.275335,2.44063,0.06681790902206734,1497,61320,0.6681790902206735,0.016307780288009853
2021-03-11,21205,0.20793,19827,517,861,93.501533,2.438104,0.06662937977018284,1501,61558,0.6662937977018284,0.016244937204048352
2021-03-10,21161,0.222601,19761,516,884,93.384056,2.438448,0.06649112498546754,1504,61677,0.6649112498546754,0.0162135156620676
2021-03-09,21114,0.028425,19677,516,921,93.194089,2.443876,0.06634344373815801,1507,61677,0.66343443738158,0.0162135156620676
2021-03-08,21108,0.104335,19657,515,936,93.125829,2.439833,0.06632459081296956,1508,61797,0.6632459081296955,0.01618209412008685
2021-03-07,21086,0.147233,19647,514,925,93.175567,2.437636,0.06625546342061191,1509,61917,0.662554634206119,0.0161506725781061
2021-03-06,21055,0.137924,19640,512,903,93.279506,2.431726,0.06615805664047157,1512,62159,0.6615805664047157,0.016087829494144595
2021-03-05,21026,0.21448,19624,511,891,93.332065,2.430324,0.0660669341687274,1514,62280,0.660669341687274,0.016056407952163846
2021-03-04,20981,0.277207,19553,511,917,93.193842,2.435537,0.06592553722981402,1517,62280,0.6592553722981401,0.016056407952163846
2021-03-03,20923,0.196341,19509,510,904,93.241887,2.437509,0.06574329228632565,1521,62403,0.6574329228632566,0.016024986410183094
2021-03-02,20882,0.134267,19410,510,962,92.950867,2.442295,0.06561446396420458,1524,62403,0.6561446396420458,0.016024986410183094
2021-03-01,20854,0.225886,19400,508,946,93.027717,2.435984,0.06552648364665847,1526,62648,0.6552648364665847,0.015962143326221593
2021-02-28,20807,0.120296,19322,508,977,92.862979,2.441486,0.06537880239934894,1530,62648,0.6537880239934895,0.015962143326221593
