"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1554,7.098553,325,48,1181,20.913771,3.088803,0.00347024499393712,28816,932931
2020-04-05,1451,0,280,44,1127,19.297037,3.032391,0.0032402351906066678,30862,1017743
2020-04-04,1451,14.703557,279,43,1129,19.228119,2.963473,0.0032402351906066678,30862,1041412
2020-04-03,1265,11.650485,266,39,960,21.027668,3.083004,0.002824877681679831,35400,1148223
2020-04-02,1133,7.495256,256,36,841,22.594881,3.177405,0.002530107836634979,39524,1243908
2020-04-01,1054,0,248,28,778,23.529412,2.656546,0.0023536925505854085,42486,1599311
2020-03-31,1054,28.536585,240,27,787,22.770398,2.56167,0.0023536925505854085,42486,1658544
2020-03-30,820,10.067114,228,23,569,27.804878,2.804878,0.0018311460070968074,54611,1946987
2020-03-29,745,7.971014,72,19,654,9.66443,2.550336,0.0016636631405940506,60108,2356879
2020-03-28,690,17.147708,72,18,600,10.434783,2.608696,0.0015408423718253623,64900,2487817
2020-03-27,589,17.330677,72,13,504,12.224109,2.207131,0.0013152987782683164,76028,3444669
2020-03-26,502,29.715762,63,9,430,12.549801,1.792829,0.0011210186531251185,89205,4975633
2020-03-25,387,0,52,8,327,13.436693,2.067183,0.0008642115911542249,115712,5597588
2020-03-24,387,45.488722,52,6,329,13.436693,1.550388,0.0008642115911542249,115712,7463450
2020-03-23,266,0,27,4,235,10.150376,1.503759,0.0005940058998631107,168348,11195175
2020-03-22,266,68.35443,27,4,235,10.150376,1.503759,0.0005940058998631107,168348,11195175
2020-03-21,158,23.4375,3,4,151,1.898734,2.531646,0.00035283057209914095,283422,11195175
2020-03-20,128,31.958763,3,3,122,2.34375,2.34375,0.0002858374254980382,349849,14926900
2020-03-19,97,22.78481,3,3,91,3.092784,3.092784,0.00021661117401023208,461657,14926900
2020-03-18,79,16.176471,3,2,74,3.797468,2.531646,0.00017641528604957048,566844,22390350
2020-03-17,68,21.428571,3,2,63,4.411765,2.941176,0.0001518511322958328,658540,22390350
2020-03-16,56,24.444444,1,2,53,1.785714,3.571429,0.0001250538736553917,799655,22390350
2020-03-15,45,32.352941,1,2,42,2.222222,4.444444,0.00010048971990165406,995127,22390350
2020-03-14,34,9.677419,1,2,31,2.941176,5.882353,7.59255661479164e-05,1317079,22390350
2020-03-13,31,63.157895,0,2,29,0,6.451613,6.922625148780613e-05,1444539,22390350
2020-03-12,19,0,0,1,18,0,5.263158,4.2428992847365046e-05,2356879,44780700
2020-03-11,19,11.764706,0,1,18,0,5.263158,4.2428992847365046e-05,2356879,44780700
2020-03-10,17,41.666667,0,1,16,0,5.882353,3.79627830739582e-05,2634159,44780700
2020-03-09,12,0,0,1,11,0,8.333333,2.6797258640441083e-05,3731725,44780700
2020-03-08,12,50,0,1,11,0,8.333333,2.6797258640441083e-05,3731725,44780700
2020-03-07,8,300,0,0,8,0,0,1.786483909362739e-05,5597588,
2020-03-06,2,100,0,0,2,0,0,4.466209773406847e-06,22390350,
2020-03-05,1,0,0,0,1,0,0,2.2331048867034236e-06,44780700,
2020-03-04,1,0,0,0,1,0,0,2.2331048867034236e-06,44780700,
2020-03-03,1,,0,0,1,0,0,2.2331048867034236e-06,44780700,

