"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,18761457,0.83394916,16430658,327526,2003273,87.57666316,1.745738617,0.3973551416934513,252,14416,3.973551416934513,0.06936782156006825
2020-11-27,18606290,0.94095621,16313910,325333,1967047,87.67954278,1.74851085,0.39406880816023226,254,14513,3.9406880816023224,0.06890335879167359
2020-11-26,18432845,0.898178141,16202609,323183,1907053,87.90074999,1.75329961,0.3903953587820192,256,14610,3.903953587820192,0.0684480031363847
2020-11-25,18268759,0.73491859,16091704,320889,1856166,88.083180691,1.756490411,0.38692012677952003,258,14714,3.8692012677952006,0.06796214924185787
2020-11-24,18135478,0.73328119,15977950,318569,1838959,88.1032747,1.75660658,0.38409732412405223,260,14821,3.8409732412405226,0.06747078872080195
2020-11-23,18003462,0.68468076,15869157,316360,1817945,88.14503011,1.75721758,0.38130131332458167,262,14925,3.813013133245817,0.06700293725915864
2020-11-22,17881034,0.72883349,15767184,314343,1799507,88.17825636,1.7579688,0.37870836996803714,264,15020,3.7870836996803714,0.06657575011649924
2020-11-21,17751654,0.73011464,15646278,312218,1793158,88.13983193,1.75881076,0.37596818788983827,266,15123,3.7596818788983826,0.0661256892944114
2020-11-20,17622986,0.759265666,15532649,310128,1780209,88.13857652,1.75979258,0.37324308549659596,268,15225,3.7324308549659597,0.065683041238805
2020-11-19,17490189,0.753192543,15413001,307979,1769209,88.12369609,1.760867192,0.3704305336382054,270,15331,3.7043053363820535,0.06522789737684416
2020-11-18,17359439,0.74098667,15293573,305499,1760367,88.099465657,1.759843737,0.36766133587406485,272,15455,3.6766133587406484,0.06470264992330163
2020-11-17,17231754,0.687356445,15179562,303234,1748958,88.09063778,1.75973961,0.364957052764969,274,15571,3.6495705276496895,0.06422293803528799
2020-11-16,17114119,0.60132889,14993436,301189,1819494,87.608576287,1.759886092,0.36246562195055465,276,15676,3.6246562195055465,0.06378982067944344
2020-11-15,17011822,0.61580212,14896282,299415,1816125,87.56429499,1.76004075,0.3602990397426902,278,15769,3.6029903974269013,0.06341409931549812
2020-11-14,16907704,0.697126,14799666,297601,1810437,87.53208597,1.76015028,0.3580938899697893,279,15865,3.5809388996978933,0.06302990621843112
2020-11-13,16790652,0.72785195,14705355,295705,1789592,87.58060735,1.76112875,0.35561480670639983,281,15967,3.556148067063998,0.06262834606846474
2020-11-12,16669324,0.73002316,14602447,293702,1773175,87.60071494,1.76193108,0.3530451606159398,283,16076,3.530451606159398,0.06220412403239793
2020-11-11,16548516,0.73406719,14501951,291672,1754893,87.63293941,1.7625266,0.350486527778538,285,16188,3.5048652777853797,0.061774183576474004
2020-11-10,16427924,0.713822018,14399198,289566,1739160,87.65074638,1.76264512,0.34793246967702185,287,16306,3.4793246967702185,0.061328146827618946
2020-11-09,16311489,0.66469663,14296579,287663,1727247,87.647295719,1.763560641,0.3454664540619725,289,16414,3.454664540619725,0.06092510412435627
2020-11-08,16203783,0.7136757,14207480,285866,1710437,87.680018919,1.764192967,0.34318531284297044,291,16517,3.4318531284297045,0.06054451151386598
2020-11-07,16088960,0.718225587,14102808,284098,1702054,87.6551872,1.7657947,0.34075343831240135,293,16620,3.4075343831240135,0.06017006090988889
2020-11-06,15974229,0.769684139,14005016,282239,1686974,87.672563101,1.766839576,0.3383235122804502,296,16729,3.383235122804502,0.05977633711306004
