"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,16353,0.196066,14882,633,838,91.004709,3.870849,0.18261102611919464,548,14147,1.8261102611919464,0.07068597782269322
2020-05-19,16321,0.319626,14678,632,1011,89.933215,3.872312,0.1822536878426818,549,14169,1.822536878426818,0.07057430961128296
2020-05-18,16269,0.166236,14614,629,1026,89.827279,3.866249,0.1816730131433485,550,14237,1.8167301314334847,0.07023930497705218
2020-05-17,16242,0.253071,14563,629,1050,89.662603,3.872676,0.18137150897254078,551,14237,1.8137150897254077,0.07023930497705218
2020-05-16,16201,0.571109,14524,629,1048,89.648787,3.882476,0.18091366930575872,553,14237,1.8091366930575872,0.07023930497705218
2020-05-15,16109,0.317599,14471,628,1010,89.831771,3.898442,0.17988632176078437,556,14260,1.7988632176078434,0.07012763676564192
2020-05-14,16058,0.381321,14405,626,1027,89.706066,3.898368,0.17931681388259205,558,14305,1.7931681388259204,0.06990430034282141
2020-05-13,15997,0.22555,14304,624,1069,89.416766,3.900731,0.17863563779298947,560,14351,1.7863563779298945,0.0696809639200009
2020-05-12,15961,0.497418,14148,623,1190,88.641063,3.903264,0.17823363223191255,561,14374,1.7823363223191253,0.06956929570859063
2020-05-11,15882,0.069309,14061,620,1201,88.53419,3.90379,0.1773514533617715,564,14444,1.773514533617715,0.06923429107435985
2020-05-10,15871,0.240005,13991,618,1262,88.154496,3.893895,0.1772286183292202,564,14490,1.7722861832922021,0.06901095465153935
2020-05-09,15833,0.374033,13928,615,1290,87.968168,3.884292,0.17680427912586125,566,14561,1.7680427912586123,0.06867595001730857
2020-05-08,15774,0.139665,13836,614,1324,87.71396,3.892481,0.1761454366785407,568,14585,1.7614543667854072,0.06856428180589831
2020-05-07,15752,0.433563,13698,609,1445,86.960386,3.866176,0.17589976661343815,569,14705,1.7589976661343814,0.06800594074884703
2020-05-06,15684,0.217252,13639,608,1437,86.961234,3.876562,0.1751404227758484,571,14729,1.7514042277584838,0.06789427253743677
2020-05-05,15650,0.185648,13462,606,1582,86.019169,3.872204,0.17476075085705353,572,14777,1.7476075085705352,0.06767093611461625
2020-05-04,15621,0.153876,13316,600,1705,85.244223,3.840983,0.17443691304396378,573,14925,1.7443691304396376,0.0670009268461547
2020-05-03,15597,0.250675,13228,598,1771,84.811182,3.834071,0.17416890933657916,574,14975,1.7416890933657916,0.06677759042333418
2020-05-02,15558,0.173846,13180,596,1782,84.715259,3.830827,0.17373340331207915,576,15025,1.7373340331207914,0.06655425400051367
2020-05-01,15531,0.511261,13110,589,1832,84.411822,3.792415,0.17343189914127147,577,15204,1.7343189914127144,0.06577257652064186
2020-04-30,15452,0.324633,12907,584,1961,83.52964,3.779446,0.1725497202711304,580,15334,1.725497202711304,0.06521423546359058
2020-04-29,15402,0.293026,12779,580,2043,82.969744,3.765745,0.17199137921407912,581,15440,1.7199137921407912,0.06476756261794954
2020-04-28,15357,0.543407,12580,569,2208,81.917041,3.705151,0.17148887226273296,583,15738,1.7148887226273295,0.06353921229243671
2020-04-27,15274,0.321839,12362,549,2363,80.934922,3.594343,0.17056202610802781,586,16312,1.7056202610802782,0.061305848064231554
2020-04-26,15225,0.508318,12282,542,2401,80.669951,3.559934,0.17001485187211757,588,16522,1.7001485187211756,0.06052417058435975
2020-04-25,15148,0.510915,12103,536,2509,79.898336,3.538421,0.1691550066442586,591,16707,1.6915500664425858,0.0598541613158982
2020-04-24,15071,0.459939,11872,530,2669,78.773804,3.516688,0.16829516141639958,594,16896,1.682951614163996,0.059184152047436656
2020-04-23,15002,0.515913,11694,522,2786,77.949607,3.479536,0.1675246507576688,597,17155,1.675246507576688,0.05829080635615459
2020-04-22,14925,0.349627,11328,510,3087,75.899497,3.417085,0.16666480552980983,600,17559,1.6666480552980982,0.0569507878192315
2020-04-21,14873,0.527205,10971,491,3411,73.76454,3.301284,0.1660841308304765,602,18238,1.6608413083047648,0.0548290918024366
