"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-28,229793,0.091034,222154,3113,4526,96.6757038,1.3546975,2.287020910258069,44,3228,22.870209102580688,0.3098221483523592
2021-01-27,229584,0.0985359,221717,3105,4762,96.573367,1.352446,2.284940832230262,44,3236,22.849408322302615,0.3090259462364521
2021-01-26,229358,0.142338,221116,3100,5142,96.4064912,1.3515988,2.282691561252824,44,3241,22.82691561252824,0.30852831991401014
2021-01-25,229032,0.024894,220565,3093,5374,96.303137,1.350466,2.2794470376305025,44,3249,22.794470376305025,0.3078316430625914
2021-01-24,228975,0.125498,220292,3082,5601,96.207883,1.345998,2.2788797436229187,44,3260,22.788797436229185,0.30673686515321913
2021-01-23,228688,0.0708891,219724,3072,5892,96.080249,1.343315,2.276023368532102,44,3271,22.760233685321015,0.3057416125083352
2021-01-22,228526,0.1226747,219019,3064,6443,95.8398607,1.3407665,2.27441105924739,44,3279,22.7441105924739,0.3049454103924281
2021-01-21,228246,0.095602,218387,3053,6806,95.6805377,1.3375919,2.271624351841715,44,3291,22.716243518417148,0.3038506324830558
2021-01-20,228028,0.145808,217617,3044,7367,95.434333,1.334924,2.269454701075868,44,3301,22.69454701075868,0.30295490510266027
2021-01-19,227696,0.1341302,216720,3032,7944,95.179538,1.3316,2.2661504622948536,44,3314,22.661504622948534,0.3017606019287996
2021-01-18,227391,0.0519199,215771,3022,8598,94.8898593,1.3289884,2.2631149417279577,44,3325,22.631149417279573,0.3007653492839157
2021-01-17,227273,0.1418808,215268,3009,8996,94.7178063,1.323958,2.2619405436069946,44,3339,22.619405436069943,0.2994715208455666
2021-01-16,226951,0.1774451,214423,2998,9530,94.4798657,1.32099,2.2587358300904685,44,3351,22.587358300904683,0.2983767429361943
2021-01-15,226549,0.154288,213773,2983,9793,94.3606019,1.3167129,2.254734914458035,44,3368,22.547349144580352,0.29688386396886846
2021-01-14,226200,0.168276,213279,2971,9950,94.287798,1.313439,2.2512614827273905,44,3382,22.5126148272739,0.2956895607950078
2021-01-13,225820,0.2103432,212120,2957,10743,93.933221,1.30945,2.2474795226768314,44,3398,22.474795226768315,0.2942962070921703
2021-01-12,225346,0.2308442,210798,2941,11607,93.5441499,1.3051042,2.242762025140082,45,3416,22.427620251400818,0.2927038028603561
2021-01-11,224827,0.0783437,209522,2926,12379,93.1925436,1.301445,2.237596663913134,45,3434,22.37596663913134,0.2912109238930302
2021-01-10,224651,0.268244,208681,2909,13061,92.8911957,1.2948974,2.2358450192581385,45,3454,22.358450192581387,0.28951899439672757
2021-01-09,224050,0.2833267,207088,2890,14072,92.429368,1.289891,2.2298635508623863,45,3477,22.298635508623864,0.2876280143714482
2021-01-08,223417,0.238688,205406,2869,15142,91.938393,1.2841458,2.2235636016202713,45,3502,22.23563601620271,0.285537983817192
2021-01-07,222885,0.308281,203527,2845,16513,91.314804,1.276443,2.218268857549489,45,3532,22.182688575494886,0.2831493774694706
2021-01-06,222200,0.3608836,201596,2818,17786,90.727273,1.268227,2.2114513769320343,45,3566,22.11451376932034,0.2804621953282841
2021-01-05,221401,0.3635556,199213,2792,19396,89.978365,1.2610602,2.2034993082994117,45,3599,22.034993082994117,0.27787453845158594
2021-01-04,220599,0.151636,196734,2761,21104,89.181728,1.2515923,2.1955173820874427,46,3639,21.95517382087443,0.2747892552524458
2021-01-03,220265,0.3658948,194843,2733,22689,88.458448,1.240778,2.1921932382535307,46,3676,21.921932382535307,0.27200254784677086
2021-01-02,219462,0.1922015,191925,2703,24834,87.452497,1.231648,2.184201359515113,46,3717,21.842013595151126,0.2690167899121192
2021-01-01,219041,0.155921,188280,2670,28091,85.9565104,1.2189499,2.1800113458801516,46,3763,21.800113458801516,0.26573245618400226
2020-12-31,218700,0.48889,184422,2641,31637,84.326475,1.20759,2.1766175343610974,46,3805,21.766175343610975,0.26284622351383896
2020-12-30,217636,0.485724,180295,2609,34732,82.842453,1.198791,2.166028046219533,46,3851,21.660280462195328,0.25966141505021045
2020-12-29,216584,0.5109452,176228,2575,37781,81.367045,1.188915,2.155557988395354,46,3902,21.55557988395354,0.2562775560576052
2020-12-28,215483,0.3595531,172019,2538,40926,79.8294993,1.1778191,2.1446002567751825,47,3959,21.446002567751822,0.2525951212715348
2020-12-27,214711,0.712503,168971,2499,43241,78.6969461,1.16389,2.136916906356679,47,4021,21.369169063566783,0.24871363595648754
2020-12-26,213192,0.674336,164500,2454,46238,77.160494,1.151075,2.121799018680892,47,4094,21.21799018680892,0.24423499905450996
2020-12-25,211764,0.8107169,160245,2416,49103,75.671502,1.140893,2.10758681091195,47,4159,21.075868109119497,0.24045303900395112
2020-12-24,210061,0.8885217,155886,2380,51795,74.2098724,1.1330042,2.090637658369577,48,4222,20.90637658369577,0.23687012948236907
2020-12-23,208211,1.1336866,151660,2340,54211,72.8395714,1.1238599,2.0722254844392247,48,4294,20.722254844392246,0.23288911890283348
2020-12-22,205877,1.121846,147199,2294,56384,71.4985161,1.1142575,2.0489962877076344,49,4380,20.489962877076344,0.2283109567363675
2020-12-21,203593,0.744725,142807,2253,58533,70.1433743,1.1066196,2.0262647172984862,49,4460,20.26264717298486,0.22423042089234352
2020-12-20,202088,1.4869907,139779,2210,60099,69.167392,1.093583,2.0112861649929834,50,4546,20.112861649929833,0.21995083451934272
2020-12-19,199127,1.895897,135462,2175,61490,68.027942,1.0922677,1.981816734177971,50,4620,19.81816734177971,0.21646745026224906
2020-12-18,195422,2.069362,131252,2133,62037,67.16337,1.091484,1.9449426236850225,51,4711,19.449426236850222,0.21228738915373666
2020-12-17,191460,2.201392,127064,2088,62308,66.365821,1.090567,1.9055107138947223,52,4812,19.05510713894722,0.2078087522517591
