"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,1413,3.289474,485,54,874,34.324133,3.821656,0.04280521054225992,2336,61130,0.4280521054225992,0.016358679188124812
2020-04-22,1368,1.937407,460,53,855,33.625731,3.874269,0.04144198727658285,2413,62283,0.41441987276582853,0.016055740684641016
2020-04-21,1342,2.521008,437,51,854,32.563338,3.800298,0.040654347167524994,2460,64725,0.4065434716752499,0.015449863677673432
2020-04-20,1309,1.867704,381,49,879,29.106188,3.743316,0.03965465010602848,2522,67367,0.3965465010602848,0.014843986670705847
2020-04-19,1285,1.340694,347,48,890,27.003891,3.735409,0.03892759769766738,2569,68771,0.3892759769766737,0.014541048167222055
2020-04-18,1268,4.448105,338,47,883,26.656151,3.706625,0.03841260224174493,2603,70234,0.38412602241744925,0.014238109663738261
2020-04-17,1214,4.027421,320,46,848,26.359143,3.789127,0.03677673432293244,2719,71761,0.3677673432293245,0.013935171160254469
2020-04-16,1167,5.135135,277,43,847,23.736075,3.684662,0.03535292335655862,2829,76767,0.3535292335655862,0.01302635564980309
2020-04-15,1110,2.493075,253,41,816,22.792793,3.693694,0.033626173886701,2974,80512,0.33626173886701,0.012420478642835504
2020-04-14,1083,4.435873,236,40,807,21.79132,3.693444,0.03280823992729476,3048,82525,0.3280823992729476,0.012117540139351712
2020-04-13,1037,2.775025,206,39,792,19.864995,3.760849,0.031414722811269315,3183,84641,0.31414722811269313,0.011814601635867918
2020-04-12,1009,6.659619,193,39,777,19.127849,3.865213,0.030566495001514694,3272,84641,0.30566495001514693,0.011814601635867918
2020-04-11,946,4.994451,139,37,770,14.693446,3.911205,0.028657982429566797,3489,89216,0.286579824295668,0.011208724628900333
2020-04-10,901,5.011655,129,36,736,14.317425,3.99556,0.02729475916388973,3664,91694,0.2729475916388973,0.01090578612541654
2020-04-09,858,6.716418,101,35,722,11.771562,4.079254,0.02599212359890942,3847,94314,0.2599212359890942,0.010602847621932747
2020-04-08,804,5.235602,79,34,691,9.825871,4.228856,0.02435625568009694,4106,97088,0.24356255680096942,0.010299909118448955
2020-04-07,764,13.353116,68,33,663,8.900524,4.319372,0.02314450166616177,4321,100030,0.23144501666161768,0.009996970614965161
2020-04-06,674,3.058104,47,29,598,6.973294,4.302671,0.020418055134807635,4898,113828,0.20418055134807633,0.008785216601029992
2020-04-05,654,4.807692,30,23,601,4.587156,3.51682,0.019812178127840047,5047,143522,0.1981217812784005,0.0069675855801272345
2020-04-04,624,7.772021,30,21,573,4.807692,3.365385,0.01890336261738867,5290,157190,0.1890336261738867,0.006361708573159649
2020-04-03,579,8.630394,27,17,535,4.663212,2.936097,0.017540139351711604,5701,194176,0.17540139351711603,0.0051499545592244775
2020-04-02,533,16.122004,20,16,497,3.752345,3.001876,0.016146622235686154,6193,206313,0.16146622235686156,0.004847016055740685
2020-04-01,459,9.285714,19,13,427,4.139434,2.832244,0.01390487730990609,7192,253923,0.13904877309906089,0.003938200545289306
2020-03-31,420,14.130435,17,13,390,4.047619,3.095238,0.012723417146319298,7860,253923,0.12723417146319296,0.003938200545289306
2020-03-30,368,13.931889,17,10,341,4.619565,2.717391,0.011148136928203574,8970,330100,0.11148136928203575,0.003029385034837928
2020-03-29,323,25.193798,8,6,309,2.47678,1.857585,0.009784913662526507,10220,550167,0.09784913662526507,0.0018176310209027568
2020-03-28,258,8.860759,5,5,248,1.937984,1.937984,0.007815813389881854,12795,660200,0.07815813389881854,0.001514692517418964
2020-03-27,237,24.08377,5,4,228,2.109705,1.687764,0.007179642532565889,13928,825250,0.07179642532565889,0.0012117540139351712
2020-03-26,191,8.522727,2,3,186,1.04712,1.570681,0.005786125416540442,17283,1100333,0.05786125416540442,0.0009088155104513784
2020-03-25,176,6.024096,2,3,171,1.136364,1.704545,0.0053317176613147535,18756,1100333,0.053317176613147534,0.0009088155104513784
2020-03-24,166,25.757576,2,3,161,1.204819,1.807229,0.005028779157830961,19886,1100333,0.0502877915783096,0.0009088155104513784
2020-03-23,132,4.761905,2,1,129,1.515152,0.757576,0.0039987882459860645,25008,3301000,0.039987882459860645,0.0003029385034837928
2020-03-22,126,35.483871,2,1,123,1.587302,0.793651,0.0038170251438957893,26198,3301000,0.03817025143895789,0.0003029385034837928
2020-03-21,93,4.494382,2,1,90,2.150538,1.075269,0.0028173280823992728,35495,3301000,0.02817328082399273,0.0003029385034837928
