"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,2456,14.552239,75,91,2290,3.053746,3.705212,0.0015063215211394072,66387,1791716,0.01506321521139407,0.0005581240163830865
2020-04-18,2144,16.648531,66,84,1994,3.078358,3.91791,0.001314964715522349,76048,1941026,0.013149647155223487,0.0005151913997382336
2020-04-17,1838,16.92112,58,75,1705,3.155604,4.080522,0.0011272878484748494,88708,2173949,0.011272878484748493,0.0004599923211948515
2020-04-16,1572,27.701056,49,60,1463,3.117048,3.816794,0.0009641439052244088,103719,2717437,0.009641439052244087,0.0003679938569558812
2020-04-15,1231,21.640316,49,50,1132,3.980504,4.061738,0.000755000729854483,132450,3260924,0.007550007298544829,0.0003066615474632343
2020-04-14,1012,26.027397,42,46,924,4.150198,4.545455,0.0006206829720655863,161113,3544483,0.006206829720655863,0.0002821286236661756
2020-04-13,803,29.307568,42,39,722,5.230386,4.856787,0.0004924984452259544,203046,4180672,0.0049249844522595435,0.00023919600702132276
2020-04-12,621,28.838174,39,34,548,6.280193,5.47504,0.00038087364194933706,262554,4795476,0.0038087364194933702,0.00020852985227499935
2020-04-11,482,13.679245,36,30,416,7.46888,6.224066,0.0002956217317545579,338270,5434873,0.002956217317545579,0.0001839969284779406
2020-04-10,424,28.484848,33,27,364,7.783019,6.367925,0.00026004899224882274,384543,6038748,0.002600489922488227,0.00016559723563014655
2020-04-09,330,51.376147,33,21,276,10,6.363636,0.00020239662132573468,494079,7764105,0.0020239662132573466,0.0001287978499345584
2020-04-08,218,32.926829,33,20,165,15.137615,9.174312,0.00013370443469397017,747918,8152310,0.0013370443469397017,0.00012266461898529374
2020-04-07,164,33.333333,33,17,114,20.121951,10.365854,0.00010058498756794086,994184,9590953,0.0010058498756794086,0.00010426492613749967
2020-04-06,123,39.772727,33,12,78,26.829268,9.756098,7.543874067595565e-05,1325579,13587183,0.0007543874067595564,7.359877139117623e-05
2020-04-05,88,25.714286,33,9,46,37.5,10.227273,5.3972432353529244e-05,1852798,18116244,0.0005397243235352924,5.519907854338218e-05
2020-04-04,70,14.754098,30,8,32,42.857143,11.428571,4.293261664485281e-05,2329231,20380775,0.00042932616644852803,4.906584759411749e-05
2020-04-03,61,8.928571,26,6,29,42.622951,9.836066,3.741270879051459e-05,2672889,27174367,0.00037412708790514587,3.6799385695588116e-05
2020-04-02,56,3.703704,25,6,25,44.642857,10.714286,3.434609331588225e-05,2911539,27174367,0.0003434609331588224,3.6799385695588116e-05
2020-04-01,54,5.882353,25,6,23,46.296296,11.111111,3.311944712602931e-05,3019374,27174367,0.0003311944712602931,3.6799385695588116e-05
2020-03-31,51,4.081633,25,5,21,49.019608,9.803922,3.12794778412499e-05,3196984,32609240,0.00031279477841249904,3.0666154746323436e-05
2020-03-30,49,2.083333,19,5,25,38.77551,10.204082,3.0052831651396966e-05,3327473,32609240,0.00030052831651396965,3.0666154746323436e-05
2020-03-29,48,0,15,5,28,31.25,10.416667,2.94395085564705e-05,3396796,32609240,0.00029439508556470493,3.0666154746323436e-05
2020-03-28,48,0,15,5,28,31.25,10.416667,2.94395085564705e-05,3396796,32609240,0.00029439508556470493,3.0666154746323436e-05
2020-03-27,48,9.090909,11,5,32,22.916667,10.416667,2.94395085564705e-05,3396796,32609240,0.00029439508556470493,3.0666154746323436e-05
2020-03-26,44,12.820513,11,5,28,25,11.363636,2.6986216176764622e-05,3705595,32609240,0.0002698621617676462,3.0666154746323436e-05
2020-03-25,39,0,7,5,27,17.948718,12.820513,2.391960070213228e-05,4180672,32609240,0.00023919600702132276,3.0666154746323436e-05
2020-03-24,39,18.181818,5,4,30,12.820513,10.25641,2.391960070213228e-05,4180672,40761550,0.00023919600702132276,2.4532923797058745e-05
2020-03-23,33,22.222222,5,3,25,15.151515,9.090909,2.0239662132573468e-05,4940794,54348733,0.00020239662132573466,1.8399692847794058e-05
2020-03-22,27,8,3,2,22,11.111111,7.407407,1.6559723563014655e-05,6038748,81523100,0.00016559723563014655,1.2266461898529373e-05
2020-03-21,25,25,3,2,20,12,8,1.5333077373161718e-05,6521848,81523100,0.00015333077373161716,1.2266461898529373e-05
2020-03-20,20,17.647059,3,1,16,15,5,1.2266461898529374e-05,8152310,163046200,0.00012266461898529374,6.133230949264686e-06
2020-03-19,17,21.428571,3,1,13,17.647059,5.882353,1.0426492613749967e-05,9590953,163046200,0.00010426492613749967,6.133230949264686e-06
2020-03-18,14,40,3,1,10,21.428571,7.142857,8.586523328970562e-06,11646157,163046200,8.58652332897056e-05,6.133230949264686e-06
2020-03-17,10,25,3,0,7,30,0,6.133230949264687e-06,16304620,,6.133230949264687e-05,0
2020-03-16,8,60,2,0,6,25,0,4.9065847594117495e-06,20380775,,4.906584759411749e-05,0
2020-03-15,5,66.666667,0,0,5,0,0,3.0666154746323436e-06,32609240,,3.0666154746323436e-05,0
2020-03-14,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-13,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-12,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-11,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-10,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-09,3,0,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0
2020-03-08,3,,0,0,3,0,0,1.8399692847794062e-06,54348733,,1.8399692847794058e-05,0

