"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,38496,3.531184,8757,5683,24056,22.747818,14.762573,0.3336077578362639,300,2030,3.336077578362639,0.4924908789961263
2020-04-18,37183,2.891693,8348,5453,23382,22.45112,14.665304,0.3222292513410692,310,2116,3.2222925134106926,0.47255899404643265
2020-04-17,36138,3.817978,7961,5163,23014,22.029443,14.2869,0.3131732427443606,319,2235,3.131732427443606,0.44742748693594936
2020-04-16,34809,3.68153,7562,4857,22390,21.724267,13.953288,0.3016560796582115,332,2376,3.016560796582115,0.4209094139159221
2020-04-15,33573,7.885858,7107,4440,22026,21.168796,13.224913,0.29094485800698483,344,2599,2.9094485800698484,0.38477203989843406
2020-04-14,31119,1.732649,6868,4157,20094,22.070118,13.358398,0.26967840336935517,371,2776,2.6967840336935516,0.3602471553733762
2020-04-13,30589,3.177387,6707,3903,19979,21.926183,12.759489,0.265085403793991,377,2957,2.6508540379399097,0.3382354215593667
2020-04-12,29647,5.814119,6463,3600,19584,21.799845,12.142881,0.2569219970015512,389,3205,2.5692199700155123,0.31197732964737895
2020-04-11,28018,5.066187,5986,3346,18686,21.364837,11.942323,0.24280502283500732,412,3449,2.4280502283500733,0.28996559583336945
2020-04-10,26667,6.740584,5568,3019,18080,20.879739,11.321108,0.23109720693629596,433,3822,2.31097206936296,0.26162765505706587
2020-04-09,24983,6.751271,5164,2523,17296,20.670056,10.098867,0.21650360073834635,462,4574,2.165036007383464,0.21864411186120478
2020-04-08,23403,5.447418,4681,2240,16482,20.001709,9.571422,0.20281126238160027,493,5151,2.028112623816003,0.19411922733614692
2020-04-07,22194,6.630153,4157,2035,16002,18.730287,9.169145,0.19233402372760913,520,5670,1.9233402372760915,0.1763538516201156
2020-04-06,20814,5.703113,3986,1632,15196,19.150572,7.840876,0.18037489275779292,554,7071,1.8037489275779295,0.14142972277347846
2020-04-05,19691,6.836308,3751,1447,14493,19.049312,7.348535,0.17064293328018165,586,7975,1.7064293328018165,0.12539755444437706
2020-04-04,18431,9.904592,3247,1283,13901,17.617058,6.961098,0.1597237267425234,626,8994,1.597237267425234,0.11118525387155201
2020-04-03,16770,9.265051,2872,1143,12755,17.12582,6.815742,0.1453294393940707,688,10096,1.453294393940707,0.09905280216304282
2020-04-02,15348,9.9112,2495,1011,11842,16.25619,6.587177,0.13300633487299923,752,11414,1.3300633487299924,0.0876136334093056
2020-04-01,13964,9.307241,2132,828,11004,15.267832,5.929533,0.12101253975544443,826,13936,1.2101253975544444,0.07175478581889716
2020-03-31,12775,7.361963,1696,705,10374,13.27593,5.518591,0.11070862184014628,903,16368,1.107086218401463,0.06109556038927838
2020-03-30,11899,9.809893,1527,513,9859,12.833011,4.311287,0.1031171734853934,970,22494,1.031171734853934,0.0444567694747515
2020-03-29,10836,18.633676,1359,431,9046,12.541528,3.977482,0.09390517622386106,1065,26773,0.9390517622386108,0.037350619188338985
2020-03-28,9134,25.398133,1063,353,7718,11.637837,3.864681,0.07915558136108776,1263,32689,0.7915558136108777,0.030591110379312437
2020-03-27,7284,16.824379,858,289,6137,11.779242,3.9676,0.06312341303198635,1584,39928,0.6312341303198634,0.02504484674113681
2020-03-26,6235,26.29127,675,220,5340,10.825982,3.528468,0.054032740287539106,1851,52451,0.540327402875391,0.019065281256228715
2020-03-25,4937,15.647693,547,178,4212,11.079603,3.605428,0.04278422434636416,2337,64828,0.4278422434636417,0.01542554574367596
2020-03-24,4269,14.052899,461,122,3686,10.798782,2.857812,0.03699531167401836,2703,94584,0.36995311674018355,0.010572565060272288
2020-03-23,3743,10.055866,401,88,3254,10.713332,2.351055,0.03243697624639276,3083,131128,0.3243697624639276,0.007626112502491486
2020-03-22,3401,20.817052,263,75,3063,7.73302,2.205234,0.029473191614742662,3393,153857,0.29473191614742666,0.006499527700987062
2020-03-21,2815,24.723084,263,67,2485,9.342806,2.380107,0.024394893971038105,4099,172228,0.24394893971038106,0.005806244746215109
2020-03-20,2257,25.738162,1,37,2219,0.044307,1.639344,0.01955924536150373,5113,311873,0.19559245361503733,0.0032064336658202837
2020-03-19,1795,20.794078,31,21,1743,1.727019,1.169916,0.015555536297695701,6429,549490,0.15555536297695702,0.0018198677562763774
2020-03-18,1486,19.549477,31,14,1441,2.086137,0.942127,0.01287773088488903,7765,824236,0.12877730884889033,0.0012132451708509182
2020-03-17,1243,17.485822,1,10,1232,0.080451,0.804505,0.010771883909769223,9283,1153930,0.10771883909769224,0.0008666036934649416
2020-03-16,1058,19.413093,1,5,1052,0.094518,0.47259,0.009168667076859082,10907,2307860,0.09168667076859083,0.0004333018467324708
2020-03-15,886,28.592163,1,4,881,0.112867,0.451467,0.007678108724099382,13024,2884825,0.07678108724099382,0.00034664147738597663
2020-03-14,689,23.255814,1,4,684,0.145138,0.580552,0.005970899447973447,16748,2884825,0.059708994479734476,0.00034664147738597663
2020-03-13,559,78.025478,1,3,555,0.178891,0.536673,0.004844314646469023,20643,3846433,0.04844314646469024,0.0002599811080394825
2020-03-12,314,0,1,3,310,0.318471,0.955414,0.0027211355974799166,36749,3846433,0.027211355974799168,0.0002599811080394825
2020-03-11,314,17.602996,1,3,310,0.318471,0.955414,0.0027211355974799166,36749,3846433,0.027211355974799168,0.0002599811080394825
2020-03-10,267,11.715481,1,0,266,0.374532,0,0.0023138318615513937,43218,,0.02313831861551394,0
2020-03-09,239,19.5,1,0,238,0.41841,0,0.0020711828273812104,48282,,0.020711828273812103,0
2020-03-08,200,18.343195,1,0,199,0.5,0,0.0017332073869298832,57697,,0.01733207386929883,0
2020-03-07,169,55.045872,1,0,168,0.591716,0,0.0014645602419557512,68280,,0.014645602419557513,0
2020-03-06,109,118,1,0,108,0.917431,0,0.0009445980258767863,105865,,0.009445980258767863,0
2020-03-05,50,117.391304,1,0,49,2,0,0.0004333018467324708,230786,,0.004333018467324708,0
2020-03-04,23,76.923077,1,0,22,4.347826,0,0.00019931884949693656,501709,,0.0019931884949693657,0
2020-03-03,13,62.5,1,0,12,7.692308,0,0.0001126584801504424,887638,,0.0011265848015044242,0
2020-03-02,8,300,1,0,7,12.5,0,6.932829547719532e-05,1442413,,0.0006932829547719533,0
2020-03-01,2,100,1,0,1,50,0,1.733207386929883e-05,5769650,,0.00017332073869298832,0
2020-02-29,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-28,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-27,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-26,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-25,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-24,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-23,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-22,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-21,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
2020-02-20,1,0,1,0,0,100,0,8.666036934649415e-06,11539300,,8.666036934649416e-05,0
