"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,364,5.507246,108,18,238,29.67033,4.945055,0.0017912151721830188,55828,1128967
2020-04-05,345,8.490566,90,17,238,26.086957,4.927536,0.0016977176769317074,58903,1195376
2020-04-04,318,5.298013,66,16,236,20.754717,5.031447,0.0015648528152587913,63904,1270088
2020-04-03,302,4.861111,50,16,236,16.556291,5.298013,0.0014861180824155816,67289,1270088
2020-04-02,288,2.12766,50,16,222,17.361111,5.555556,0.001417225191177773,70560,1270088
2020-04-01,282,8.045977,46,16,220,16.312057,5.673759,0.0013876996663615695,72062,1270088
2020-03-31,261,6.097561,32,14,215,12.260536,5.363985,0.001284360329504857,77860,1451529
2020-03-30,246,10.810811,31,12,203,12.601626,4.878049,0.001210546517464348,82607,1693450
2020-03-29,222,7.246377,23,12,187,10.36036,5.405405,0.0010924444181995335,91538,1693450
2020-03-28,207,15,21,11,175,10.144928,5.31401,0.0010186306061590244,98171,1847400
2020-03-27,180,18.421053,12,9,159,6.666667,5,0.0008857657444861082,112897,2257933
2020-03-26,152,4.109589,10,7,135,6.578947,4.605263,0.0007479799620104914,133693,2903057
2020-03-25,146,28.070175,10,4,132,6.849315,2.739726,0.0007184544371942878,139188,5080350
2020-03-24,114,15.151515,7,4,103,6.140351,3.508772,0.0005609849715078686,178258,5080350
2020-03-23,99,32,5,4,90,5.050505,4.040404,0.0004871711594673595,205267,5080350
2020-03-22,75,17.1875,5,4,66,6.666667,5.333333,0.0003690690602025451,270952,5080350
2020-03-21,64,60,5,2,57,7.8125,3.125,0.0003149389313728385,317522,10160700
2020-03-20,40,21.212121,0,1,39,0,2.5,0.00019683683210802404,508035,20321400
2020-03-19,33,65,0,1,32,0,3.030303,0.00016239038648911984,615800,20321400
2020-03-18,20,33.333333,0,1,19,0,5,9.841841605401202e-05,1016070,20321400
2020-03-17,15,0,0,0,15,0,0,7.381381204050902e-05,1354760,
2020-03-16,15,400,0,0,15,0,0,7.381381204050902e-05,1354760,
2020-03-15,3,50,0,0,3,0,0,1.4762762408101804e-05,6773800,
2020-03-14,2,0,0,0,2,0,0,9.841841605401203e-06,10160700,
2020-03-13,2,0,0,0,2,0,0,9.841841605401203e-06,10160700,
2020-03-12,2,0,0,0,2,0,0,9.841841605401203e-06,10160700,
2020-03-11,2,100,0,0,2,0,0,9.841841605401203e-06,10160700,
2020-03-10,1,,0,0,1,0,0,4.920920802700602e-06,20321400,

