"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,12378,0.048497,11974,144,260,96.736145,1.163354,0.06091115769582804,1642,141121,0.6091115769582804,0.007086125955888865
2021-03-14,12372,0.178138,11965,144,263,96.710314,1.163919,0.06088163217101184,1643,141121,0.6088163217101183,0.007086125955888865
2021-03-13,12350,0.365705,11961,144,245,96.850202,1.165992,0.06077337191335243,1645,141121,0.6077337191335243,0.007086125955888865
2021-03-12,12305,0.244399,11951,144,210,97.123121,1.170256,0.0605519304772309,1651,141121,0.605519304772309,0.007086125955888865
2021-03-11,12275,0.367948,11905,143,227,96.985743,1.164969,0.060404302853149884,1656,142108,0.6040430285314987,0.007036916747861859
2021-03-10,12230,0.352835,11886,143,201,97.187244,1.169256,0.060182861417028354,1662,142108,0.6018286141702835,0.007036916747861859
2021-03-09,12187,0.049257,11860,143,184,97.316813,1.173381,0.05997126182251223,1667,142108,0.5997126182251222,0.007036916747861859
2021-03-08,12181,0,11816,143,222,97.00353,1.173959,0.05994173629769602,1668,142108,0.5994173629769602,0.007036916747861859
2021-03-07,12181,0.230396,11816,143,222,97.00353,1.173959,0.05994173629769602,1668,142108,0.5994173629769602,0.007036916747861859
2021-03-06,12153,0.247463,11754,143,256,96.71686,1.176664,0.05980395051522041,1672,142108,0.598039505152204,0.007036916747861859
2021-03-05,12123,0.165248,11722,143,258,96.692238,1.179576,0.05965632289113939,1676,142108,0.5965632289113939,0.007036916747861859
2021-03-04,12103,0.265098,11677,143,283,96.480212,1.181525,0.059557904475085376,1679,142108,0.5955790447508538,0.007036916747861859
2021-03-03,12071,0.19922,11657,143,271,96.570292,1.184657,0.059400435009398955,1683,142108,0.5940043500939896,0.007036916747861859
2021-03-02,12047,0.141313,11635,143,269,96.580061,1.187018,0.05928233291013414,1687,142108,0.5928233291013414,0.007036916747861859
2021-03-01,12030,0.400601,11588,143,299,96.325852,1.188695,0.05919867725648823,1689,142108,0.5919867725648823,0.007036916747861859
2021-02-28,11982,0,11493,142,347,95.918878,1.185111,0.058962473057958605,1696,143108,0.589624730579586,0.006987707539834853
2021-02-27,11982,0.360164,11493,142,347,95.918878,1.185111,0.058962473057958605,1696,143108,0.589624730579586,0.006987707539834853
2021-02-26,11939,0.209837,11404,142,393,95.518888,1.189379,0.05875087346344248,1702,143108,0.5875087346344248,0.006987707539834853
2021-02-25,11914,0.227139,11340,142,432,95.182139,1.191875,0.058627850443374964,1706,143108,0.5862785044337496,0.006987707539834853
2021-02-24,11887,0.160094,11320,142,425,95.230083,1.194582,0.05849498558170205,1710,143108,0.5849498558170204,0.006987707539834853
2021-02-23,11868,0.17726,11293,141,434,95.155039,1.188069,0.05840148808645074,1712,144123,0.5840148808645074,0.006938498331807847
2021-02-22,11847,0.423837,11211,139,497,94.631552,1.173293,0.05829814874959403,1715,146197,0.5829814874959403,0.006840079915753835
2021-02-21,11797,0.118815,11140,139,518,94.430787,1.178266,0.05805210270945899,1723,146197,0.5805210270945899,0.006840079915753835
2021-02-20,11783,0.170025,11140,139,504,94.542986,1.179666,0.057983209818221186,1725,146197,0.5798320981822118,0.006840079915753835
2021-02-19,11763,0.512689,11130,139,494,94.61872,1.181671,0.05788479140216717,1728,146197,0.5788479140216717,0.006840079915753835
2021-02-18,11703,0.265593,11094,139,470,94.796206,1.18773,0.05758953615400514,1736,146197,0.5758953615400514,0.006840079915753835
2021-02-17,11672,0.361135,11012,138,522,94.345442,1.182317,0.05743698760912142,1741,147257,0.5743698760912141,0.0067908707077268295
2021-02-16,11630,0,10979,138,513,94.402408,1.186586,0.057230308935407995,1747,147257,0.5723030893540799,0.0067908707077268295
2021-02-15,11630,0.362444,10979,138,513,94.402408,1.186586,0.057230308935407995,1747,147257,0.5723030893540799,0.0067908707077268295
2021-02-14,11588,0,10870,138,580,93.803935,1.190887,0.05702363026169457,1754,147257,0.5702363026169457,0.0067908707077268295
2021-02-13,11588,0.433351,10870,138,580,93.803935,1.190887,0.05702363026169457,1754,147257,0.5702363026169457,0.0067908707077268295
2021-02-12,11538,0.980221,10758,137,643,93.23973,1.187381,0.05677758422155954,1761,148331,0.5677758422155953,0.0067416614996998235
2021-02-11,11426,0,10279,134,1013,89.961491,1.172764,0.05622644109165707,1779,151652,0.5622644109165706,0.006594033875618805
2021-02-10,11426,0.519046,10279,134,1013,89.961491,1.172764,0.05622644109165707,1779,151652,0.5622644109165706,0.006594033875618805
2021-02-09,11367,0.512866,10232,134,1001,90.014956,1.178851,0.055936106764297736,1788,151652,0.5593610676429773,0.006594033875618805
2021-02-08,11309,0.212672,10161,134,1014,89.848793,1.184897,0.0556506933577411,1797,151652,0.556506933577411,0.006594033875618805
2021-02-07,11285,0.516612,10129,134,1022,89.756314,1.187417,0.05553259125847629,1801,151652,0.5553259125847628,0.006594033875618805
2021-02-06,11227,0.753836,10040,134,1053,89.427274,1.193551,0.055247177851919654,1810,151652,0.5524717785191965,0.006594033875618805
2021-02-05,11143,0.814259,9941,132,1070,89.212959,1.1846,0.0548338205044928,1824,153950,0.5483382050449279,0.006495615459564793
2021-02-04,11053,0.866947,9770,132,1151,88.392292,1.194246,0.054390937632249746,1839,153950,0.5439093763224975,0.006495615459564793
2021-02-03,10958,0.495231,9685,127,1146,88.382917,1.158971,0.05392345015599319,1854,160011,0.5392345015599319,0.0062495694194297634
2021-02-02,10904,1.263001,9585,126,1193,87.903522,1.155539,0.053657720432647354,1864,161281,0.5365772043264735,0.0062003602114027575
2021-02-01,10768,0.805093,9397,121,1250,87.267831,1.1237,0.05298847520348007,1887,167945,0.5298847520348007,0.005954314171267727
2021-01-31,10682,0.964083,9253,120,1309,86.622355,1.123385,0.052565276014447826,1902,169345,0.5256527601444781,0.005905104963240721
2021-01-30,10580,1.506284,9052,120,1408,85.557656,1.134216,0.052063342092572365,1921,169345,0.5206334209257236,0.005905104963240721
2021-01-29,10423,0.443288,8867,120,1436,85.071477,1.1513,0.05129075752654837,1950,169345,0.5129075752654837,0.005905104963240721
2021-01-28,10377,1.566017,8825,120,1432,85.043847,1.156404,0.05106439516962414,1958,169345,0.5106439516962413,0.005905104963240721
2021-01-27,10217,0.590726,8759,120,1338,85.729666,1.174513,0.050277047841192045,1989,169345,0.5027704784119204,0.005905104963240721
2021-01-26,10157,0.534495,8472,118,1567,83.410456,1.16176,0.04998179259303001,2001,172215,0.49981792593030006,0.005806686547186709
2021-01-25,10103,0.647539,8388,117,1598,83.024844,1.158072,0.04971606286968418,2011,173687,0.49716062869684174,0.005757477339159703
2021-01-24,10038,0.712351,8088,112,1838,80.573819,1.11576,0.04939620301750863,2024,181441,0.49396203017508633,0.005511431299024673
2021-01-23,9967,1.115958,7988,109,1870,80.144477,1.093609,0.049046817640516896,2039,186435,0.4904681764051689,0.005363803674943655
2021-01-22,9857,1.419899,7883,107,1867,79.973623,1.085523,0.04850551635221983,2062,189920,0.48505516352219824,0.005265385258889643
2021-01-21,9719,1.737674,7748,106,1865,79.720136,1.090647,0.04782642928144715,2091,191711,0.4782642928144714,0.005216176050862637
2021-01-20,9553,2.149273,7637,106,1810,79.943473,1.109599,0.047009556428198845,2127,191711,0.4700955642819884,0.005216176050862637
2021-01-19,9352,0,7448,105,1799,79.640719,1.122754,0.04602045134685603,2173,193537,0.46020451346856023,0.005166966842835631
2021-01-18,9352,1.784937,7448,105,1799,79.640719,1.122754,0.04602045134685603,2173,193537,0.46020451346856023,0.005166966842835631
2021-01-17,9188,2.088889,7391,102,1695,80.441881,1.110144,0.045213420335213125,2212,199229,0.4521342033521312,0.005019339218754613
2021-01-16,9000,1.32853,7102,101,1797,78.911111,1.122222,0.04428828722430541,2258,201202,0.4428828722430541,0.004970130010727607
2021-01-15,8882,0.828698,7027,97,1758,79.115064,1.092096,0.04370761856958674,2288,209499,0.43707618569586737,0.004773293178619583
2021-01-14,8809,3.077463,6877,97,1835,78.067885,1.101147,0.0433483913509896,2307,209499,0.43348391350989596,0.004773293178619583
2021-01-13,8546,0.98074,6119,93,2334,71.600749,1.088228,0.04205418917987934,2378,218510,0.42054189179879337,0.004576456346511559
2021-01-12,8463,2.222491,6028,92,2343,71.227697,1.087085,0.04164575275325519,2401,220885,0.4164575275325519,0.004527247138484553
2021-01-11,8279,2.437515,5872,89,2318,70.92644,1.075009,0.04074030332555828,2455,228330,0.40740303325558275,0.004379619514403535
2021-01-10,8082,2.745995,5845,89,2148,72.321208,1.101213,0.03977088192742626,2514,228330,0.39770881927426255,0.004379619514403535
2021-01-09,7866,0,5710,89,2067,72.590898,1.131452,0.03870796303404293,2583,228330,0.38707963034042925,0.004379619514403535
2021-01-08,7866,1.983664,5710,89,2067,72.590898,1.131452,0.03870796303404293,2583,228330,0.38707963034042925,0.004379619514403535
2021-01-07,7713,1.98334,5533,89,2091,71.73603,1.153896,0.037955062151229735,2635,228330,0.37955062151229735,0.004379619514403535
2021-01-06,7563,3.010079,5474,89,2000,72.378686,1.176782,0.03721692403082465,2687,228330,0.37216924030824644,0.004379619514403535
2021-01-05,7342,3.031154,5443,86,1813,74.135113,1.171343,0.036129400533427815,2768,236295,0.36129400533427813,0.004231991890322517
2021-01-04,7126,1.063679,5300,86,1740,74.375526,1.206848,0.035066481640044486,2852,236295,0.35066481640044483,0.004231991890322517
2021-01-03,7051,1.599424,5259,86,1706,74.585165,1.219685,0.03469741257984194,2882,236295,0.34697412579841935,0.004231991890322517
