"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,549,3.389831,39,22,488,7.103825,4.007286,0.007842745103641377,12751,318186
2020-04-05,531,5.5666,37,20,474,6.967985,3.766478,0.00758560591991543,13183,350005
2020-04-04,503,3.71134,34,17,452,6.759443,3.379722,0.007185611634119513,13917,411771
2020-04-03,485,6.126915,30,14,441,6.185567,2.886598,0.006928472450393566,14433,500007
2020-04-02,457,8.293839,25,10,422,5.47046,2.188184,0.006528478164597649,15318,700010
2020-04-01,422,5.764411,20,10,392,4.739336,2.369668,0.006028485307352752,16588,700010
2020-03-31,399,11.142061,17,8,374,4.260652,2.005013,0.00569991857259182,17544,875013
2020-03-30,359,3.757225,17,8,334,4.735376,2.228412,0.005128498164311939,19499,875013
2020-03-29,346,4.531722,14,8,324,4.046243,2.312139,0.004942786531620977,20232,875013
2020-03-28,331,12.969283,11,7,313,3.323263,2.114804,0.0047285038785160214,21148,1000014
2020-03-27,293,10.984848,9,3,281,3.071672,1.023891,0.004185654490650134,23891,2333367
2020-03-26,264,9.090909,8,3,253,3.030303,1.136364,0.003771374694647219,26516,2333367
2020-03-25,242,11.009174,4,3,235,1.652893,1.239669,0.0034570934700932842,28926,2333367
2020-03-24,218,8.457711,3,3,212,1.376147,1.376147,0.0031142412251253552,32111,2333367
2020-03-23,201,7.486631,3,3,195,1.492537,1.492537,0.0028713875516064055,34826,2333367
2020-03-22,187,14.723926,3,3,181,1.604278,1.604278,0.002671390408708447,37434,2333367
2020-03-21,163,28.346457,3,3,157,1.840491,1.840491,0.002328538163740518,42945,2333367
2020-03-20,127,35.106383,0,3,124,0,2.362205,0.0018142597962886244,55119,2333367
2020-03-19,94,2.173913,0,3,91,0,3.191489,0.001342837959457722,74469,2333367
2020-03-18,92,37.313433,0,2,90,0,2.173913,0.0013142669390437279,76088,3500050
2020-03-17,67,28.846154,0,2,65,0,2.985075,0.0009571291838688018,104479,3500050
2020-03-16,52,1.960784,0,2,50,0,3.846154,0.0007428465307638462,134617,3500050
2020-03-15,51,24.390244,0,2,49,0,3.921569,0.0007285610205568492,137257,3500050
2020-03-14,41,78.26087,0,2,39,0,4.878049,0.0005857059184868787,170734,3500050
2020-03-13,23,228.571429,0,1,22,0,4.347826,0.00032856673476093197,304352,7000100
2020-03-12,7,0,0,1,6,0,14.285714,9.99985714489793e-05,1000014,7000100
2020-03-11,7,75,0,1,6,0,14.285714,9.99985714489793e-05,1000014,7000100
2020-03-10,4,0,0,0,4,0,0,5.714204082798817e-05,1750025,
2020-03-09,4,0,0,0,4,0,0,5.714204082798817e-05,1750025,
2020-03-08,4,,0,0,4,0,0,5.714204082798817e-05,1750025,

