"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-07,13209,1.498386,7622,442,5145,57.703081,3.346203,0.18869730432422394,530,15837,1.8869730432422394,0.06314195511492693
2020-08-06,13014,2.335456,7374,435,5205,56.662056,3.342554,0.1859116298338595,538,16092,1.8591162983385952,0.06214196940043713
2020-08-05,12717,2.440793,7154,424,5139,56.255406,3.33412,0.1816688333023814,550,16510,1.816688333023814,0.06057056327766746
2020-08-04,12414,2.097212,6964,415,5035,56.097954,3.343,0.1773403237096613,564,16868,1.7734032370966129,0.05928486735903773
2020-08-03,12159,1.706399,6684,404,5071,54.971626,3.322642,0.17369751860687704,576,17327,1.7369751860687703,0.05771346123626805
2020-08-02,11955,1.005407,6420,388,5147,53.70138,3.245504,0.17078327452464964,586,18041,1.7078327452464963,0.05542777960314852
2020-08-01,11836,1.248931,6396,385,5055,54.038527,3.252788,0.169083298810017,591,18182,1.69083298810017,0.05499921429693861
2020-07-31,11690,2.364273,6319,383,4988,54.054748,3.276305,0.16699761431979543,599,18277,1.6699761431979543,0.054713504092798675
2020-07-30,11420,2.375616,6173,374,4873,54.054291,3.274956,0.16314052656390624,613,18717,1.6314052656390623,0.053427808174168936
2020-07-29,11155,2.612455,5971,368,4816,53.527566,3.298969,0.15935486635905202,628,19022,1.59354866359052,0.052570677561749116
2020-07-28,10871,2.353827,5766,355,4750,53.040199,3.265569,0.15529778146026485,644,19719,1.5529778146026485,0.0507135612348395
2020-07-27,10621,1.860554,5585,347,4689,52.584502,3.267112,0.1517264039085156,659,20173,1.517264039085156,0.049570720418279736
2020-07-26,10427,1.115206,5355,340,4732,51.357054,3.260765,0.14895501492835816,671,20589,1.4895501492835816,0.04857073470378994
2020-07-25,10312,1.867035,5306,338,4668,51.454616,3.277735,0.1473121812545535,679,20710,1.473121812545535,0.048285024499650005
2020-07-24,10123,2.740282,5252,337,4534,51.881853,3.329053,0.14461221982543107,692,20772,1.4461221982543107,0.04814216939758003
2020-07-23,9853,2.806761,5031,329,4493,51.060591,3.339085,0.14075513206954188,710,21277,1.4075513206954187,0.04699932858102027
2020-07-22,9584,3.566026,4643,321,4620,48.445326,3.349332,0.13691232982385965,730,21807,1.3691232982385966,0.0458564877644605
2020-07-21,9254,3.639825,4521,313,4420,48.854549,3.382321,0.13219811145555063,756,22365,1.3219811145555063,0.04471364694790074
2020-07-20,8929,2.24436,4205,308,4416,47.09374,3.449434,0.1275553206382766,784,22728,1.275553206382766,0.04399937143755089
