"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,11,0,4,1,6,36.363636,9.090909,9.539833139645812e-05,1048236,11530600,0.0009539833139645812,8.672575581496192e-05
2020-04-22,11,120,4,1,6,36.363636,9.090909,9.539833139645812e-05,1048236,11530600,0.0009539833139645812,8.672575581496192e-05
2020-04-21,5,0,4,1,0,80,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-20,5,0,4,1,0,80,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-19,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-18,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-17,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-16,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-15,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-14,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-13,5,0,0,1,4,0,20,4.336287790748096e-05,2306120,11530600,0.00043362877907480963,8.672575581496192e-05
2020-04-12,5,0,0,0,5,0,0,4.336287790748096e-05,2306120,,0.00043362877907480963,0
2020-04-11,5,66.666667,0,0,5,0,0,4.336287790748096e-05,2306120,,0.00043362877907480963,0
2020-04-10,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-09,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-08,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-07,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-06,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-05,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-04,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-03,3,0,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-02,3,50,0,0,3,0,0,2.601772674448858e-05,3843533,,0.0002601772674448858,0
2020-04-01,2,0,0,0,2,0,0,1.7345151162992386e-05,5765300,,0.00017345151162992384,0
2020-03-31,2,,0,0,2,0,0,1.7345151162992386e-05,5765300,,0.00017345151162992384,0

