"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,2213,0,1793,40,380,81.021238,1.807501,0.018752330271497815,5333,295030,0.18752330271497814,0.003389485815001864
2020-09-06,2213,0,1793,40,380,81.021238,1.807501,0.018752330271497815,5333,295030,0.18752330271497814,0.003389485815001864
2020-09-05,2213,0.865998,1793,40,380,81.021238,1.807501,0.018752330271497815,5333,295030,0.18752330271497814,0.003389485815001864
2020-09-04,2194,0,1738,40,416,79.216044,1.823154,0.018591329695285225,5379,295030,0.18591329695285225,0.003389485815001864
2020-09-03,2194,0,1738,40,416,79.216044,1.823154,0.018591329695285225,5379,295030,0.18591329695285225,0.003389485815001864
2020-09-02,2194,2.284382,1738,40,416,79.216044,1.823154,0.018591329695285225,5379,295030,0.18591329695285225,0.003389485815001864
2020-09-01,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-31,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-30,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-29,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-28,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-27,2145,0,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-26,2145,1.41844,1738,40,367,81.025641,1.864802,0.018176117682947496,5502,295030,0.18176117682947496,0.003389485815001864
2020-08-25,2115,0,1705,39,371,80.614657,1.843972,0.017921906246822356,5580,302595,0.17921906246822356,0.0033047486696268173
2020-08-24,2115,0,1705,39,371,80.614657,1.843972,0.017921906246822356,5580,302595,0.17921906246822356,0.0033047486696268173
2020-08-23,2115,0,1705,39,371,80.614657,1.843972,0.017921906246822356,5580,302595,0.17921906246822356,0.0033047486696268173
2020-08-22,2115,0.954654,1705,39,371,80.614657,1.843972,0.017921906246822356,5580,302595,0.17921906246822356,0.0033047486696268173
2020-08-21,2095,0,1705,39,351,81.384248,1.861575,0.017752431956072266,5633,302595,0.17752431956072262,0.0033047486696268173
2020-08-20,2095,0,1705,39,351,81.384248,1.861575,0.017752431956072266,5633,302595,0.17752431956072262,0.0033047486696268173
2020-08-19,2095,1.551139,1690,39,366,80.668258,1.861575,0.017752431956072266,5633,302595,0.17752431956072262,0.0033047486696268173
2020-08-18,2063,0,1690,39,334,81.919535,1.890451,0.017481273090872114,5720,302595,0.17481273090872113,0.0033047486696268173
2020-08-17,2063,0,1690,39,334,81.919535,1.890451,0.017481273090872114,5720,302595,0.17481273090872113,0.0033047486696268173
2020-08-16,2063,0,1690,39,334,81.919535,1.890451,0.017481273090872114,5720,302595,0.17481273090872113,0.0033047486696268173
2020-08-15,2063,2.432969,1690,39,334,81.919535,1.890451,0.017481273090872114,5720,302595,0.17481273090872113,0.0033047486696268173
2020-08-14,2014,0,1681,38,295,83.46574,1.886792,0.017066061078534388,5860,310558,0.17066061078534386,0.003220011524251771
2020-08-13,2014,0,1681,38,295,83.46574,1.886792,0.017066061078534388,5860,310558,0.17066061078534386,0.003220011524251771
2020-08-12,2014,0.649675,1681,38,295,83.46574,1.886792,0.017066061078534388,5860,310558,0.17066061078534386,0.003220011524251771
2020-08-11,2001,3.357438,1681,38,282,84.007996,1.89905,0.016955902789546826,5898,310558,0.16955902789546826,0.003220011524251771
2020-08-10,1936,0,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-09,1936,0,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-08,1936,0,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-07,1936,0,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-06,1936,0,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-05,1936,1.149425,1600,38,298,82.644628,1.96281,0.016405111344609022,6096,310558,0.16405111344609022,0.003220011524251771
2020-08-04,1914,6.038781,1036,38,840,54.127482,1.985371,0.01621868962478392,6166,310558,0.1621868962478392,0.003220011524251771
2020-08-03,1805,0,1036,36,733,57.396122,1.99446,0.015295054740195912,6538,327811,0.15295054740195912,0.0030505372335016775
2020-08-02,1805,0,1036,36,733,57.396122,1.99446,0.015295054740195912,6538,327811,0.15295054740195912,0.0030505372335016775
2020-08-01,1805,0,1036,36,733,57.396122,1.99446,0.015295054740195912,6538,327811,0.15295054740195912,0.0030505372335016775
2020-07-31,1805,0,1036,36,733,57.396122,1.99446,0.015295054740195912,6538,327811,0.15295054740195912,0.0030505372335016775
2020-07-30,1805,0,1036,36,733,57.396122,1.99446,0.015295054740195912,6538,327811,0.15295054740195912,0.0030505372335016775
