"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,118,0,61,7,50,51.694915,5.932203,0.1888,530,8929,1.888,0.112
2020-05-07,118,0,61,7,50,51.694915,5.932203,0.1888,530,8929,1.888,0.112
2020-05-06,118,2.608696,59,7,52,50,5.932203,0.1888,530,8929,1.888,0.112
2020-05-05,115,0,54,7,54,46.956522,6.086957,0.184,543,8929,1.84,0.112
2020-05-04,115,0,54,7,54,46.956522,6.086957,0.184,543,8929,1.84,0.112
2020-05-03,115,0.877193,51,7,57,44.347826,6.086957,0.184,543,8929,1.84,0.112
2020-05-02,114,0,51,7,56,44.736842,6.140351,0.1824,548,8929,1.824,0.112
2020-05-01,114,0,48,6,60,42.105263,5.263158,0.1824,548,10417,1.824,0.096
2020-04-30,114,2.702703,48,6,60,42.105263,5.263158,0.1824,548,10417,1.824,0.096
2020-04-29,111,0.909091,48,6,57,43.243243,5.405405,0.1776,563,10417,1.776,0.096
2020-04-28,110,0,44,6,60,40,5.454545,0.176,568,10417,1.76,0.096
2020-04-27,110,0.917431,44,6,60,40,5.454545,0.176,568,10417,1.76,0.096
2020-04-26,109,0,39,5,65,35.779817,4.587156,0.1744,573,12500,1.744,0.08
2020-04-25,109,10.10101,39,5,65,35.779817,4.587156,0.1744,573,12500,1.744,0.08
2020-04-24,99,0,39,5,55,39.393939,5.050505,0.1584,631,12500,1.584,0.08
2020-04-23,99,0,39,5,55,39.393939,5.050505,0.1584,631,12500,1.584,0.08
2020-04-22,99,15.116279,39,5,55,39.393939,5.050505,0.1584,631,12500,1.584,0.08
2020-04-21,86,0,37,5,44,43.023256,5.813953,0.1376,727,12500,1.376,0.08
2020-04-20,86,0,37,5,44,43.023256,5.813953,0.1376,727,12500,1.376,0.08
2020-04-19,86,3.614458,35,5,46,40.697674,5.813953,0.1376,727,12500,1.376,0.08
2020-04-18,83,0,35,5,43,42.168675,6.024096,0.1328,753,12500,1.328,0.08
2020-04-17,83,2.469136,35,5,43,42.168675,6.024096,0.1328,753,12500,1.328,0.08
2020-04-16,81,0,33,5,43,40.740741,6.17284,0.1296,772,12500,1.296,0.08
2020-04-15,81,42.105263,33,5,43,40.740741,6.17284,0.1296,772,12500,1.296,0.08
2020-04-14,57,0,30,5,22,52.631579,8.77193,0.0912,1096,12500,0.912,0.08
2020-04-13,57,0,30,5,22,52.631579,8.77193,0.0912,1096,12500,0.912,0.08
2020-04-12,57,18.75,29,4,24,50.877193,7.017544,0.0912,1096,15625,0.912,0.064
2020-04-11,48,0,25,4,19,52.083333,8.333333,0.0768,1302,15625,0.768,0.064
2020-04-10,48,0,25,4,19,52.083333,8.333333,0.0768,1302,15625,0.768,0.064
2020-04-09,48,23.076923,25,4,19,52.083333,8.333333,0.0768,1302,15625,0.768,0.064
2020-04-08,39,0,23,3,13,58.974359,7.692308,0.0624,1603,20833,0.624,0.048
2020-04-07,39,0,17,2,20,43.589744,5.128205,0.0624,1603,31250,0.624,0.032
2020-04-06,39,5.405405,17,2,20,43.589744,5.128205,0.0624,1603,31250,0.624,0.032
2020-04-05,37,5.714286,14,0,23,37.837838,0,0.0592,1689,,0.592,0
2020-04-04,35,0,14,0,21,40,0,0.056,1786,,0.56,0
2020-04-03,35,0,14,0,21,40,0,0.056,1786,,0.56,0
2020-04-02,35,9.375,11,0,24,31.428571,0,0.056,1786,,0.56,0
2020-04-01,32,0,10,0,22,31.25,0,0.0512,1953,,0.512,0
2020-03-31,32,18.518519,10,0,22,31.25,0,0.0512,1953,,0.512,0
2020-03-30,27,22.727273,2,0,25,7.407407,0,0.0432,2315,,0.432,0
2020-03-29,22,29.411765,2,0,20,9.090909,0,0.0352,2841,,0.352,0
2020-03-28,17,0,2,0,15,11.764706,0,0.0272,3676,,0.272,0
2020-03-27,17,13.333333,2,0,15,11.764706,0,0.0272,3676,,0.272,0
2020-03-26,15,114.285714,2,0,13,13.333333,0,0.024,4167,,0.24,0
2020-03-25,7,16.666667,0,0,7,0,0,0.0112,8929,,0.112,0
2020-03-24,6,0,0,0,6,0,0,0.0096,10417,,0.096,0
2020-03-23,6,200,0,0,6,0,0,0.0096,10417,,0.096,0
2020-03-22,2,0,0,0,2,0,0,0.0032,31250,,0.032,0
2020-03-21,2,0,0,0,2,0,0,0.0032,31250,,0.032,0
2020-03-20,2,0,0,0,2,0,0,0.0032,31250,,0.032,0
2020-03-19,2,,0,0,2,0,0,0.0032,31250,,0.032,0

