"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,135,0,82,1,52,60.740741,0.740741,0.03115624278790676,3210,433300
2020-04-05,135,0,73,1,61,54.074074,0.740741,0.03115624278790676,3210,433300
2020-04-04,135,0.746269,66,1,68,48.888889,0.740741,0.03115624278790676,3210,433300
2020-04-03,134,0.75188,65,1,68,48.507463,0.746269,0.030925455804292637,3234,433300
2020-04-02,133,1.526718,56,1,76,42.105263,0.75188,0.030694668820678513,3258,433300
2020-04-01,131,1.550388,52,1,78,39.694656,0.763359,0.030233094853450264,3308,433300
2020-03-31,129,1.574803,45,1,83,34.883721,0.775194,0.02977152088622202,3359,433300
2020-03-30,127,0.793651,38,1,88,29.92126,0.787402,0.02930994691899377,3412,433300
2020-03-29,126,5,34,1,91,26.984127,0.793651,0.029079159935379646,3439,433300
2020-03-28,120,4.347826,25,1,94,20.833333,0.833333,0.0276944380336949,3611,433300
2020-03-27,115,0.877193,11,0,104,9.565217,0,0.026540503115624278,3768,
2020-03-26,114,4.587156,5,0,109,4.385965,0,0.026309716132010153,3801,
2020-03-25,109,4.807692,2,0,107,1.834862,0,0.025155781213939535,3975,
2020-03-24,104,14.285714,2,0,102,1.923077,0,0.024001846295868913,4166,
2020-03-23,91,3.409091,2,0,89,2.197802,0,0.0210016155088853,4762,
2020-03-22,88,6.024096,2,0,86,2.272727,0,0.020309254558042927,4924,
2020-03-21,83,6.410256,2,0,81,2.409639,0,0.019155319639972305,5220,
2020-03-20,78,4,1,0,77,1.282051,0,0.018001384721901683,5555,
2020-03-19,75,10.294118,0,0,75,0,0,0.017309023771059313,5777,
2020-03-18,68,21.428571,0,0,68,0,0,0.015693514885760443,6372,
2020-03-17,56,3.703704,0,0,56,0,0,0.012924071082390954,7738,
2020-03-16,54,8,0,0,54,0,0,0.012462497115162705,8024,
2020-03-15,50,25,0,0,50,0,0,0.011539349180706208,8666,
2020-03-14,40,8.108108,0,0,40,0,0,0.009231479344564966,10833,
2020-03-13,37,236.363636,0,0,37,0,0,0.008539118393722595,11711,
2020-03-12,11,0,0,0,11,0,0,0.002538656819755366,39391,
2020-03-11,11,1000,0,0,11,0,0,0.002538656819755366,39391,
2020-03-10,1,0,0,0,1,0,0,0.00023078698361412417,433300,
2020-03-09,1,,0,0,1,0,0,0.00023078698361412417,433300,

