"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,1229,10.720721,134,66,1029,10.903173,5.37022,0.010674796536119725,9368,174441,0.10674796536119724,0.005732600255361284
2020-04-30,1110,0,117,59,934,10.540541,5.315315,0.00964119133856216,10372,195137,0.09641191338562159,0.005124597197974481
2020-04-29,1110,9.467456,117,59,934,10.540541,5.315315,0.00964119133856216,10372,195137,0.09641191338562159,0.005124597197974481
2020-04-28,1014,0,98,53,863,9.664694,5.226824,0.008807358574145973,11354,217228,0.08807358574145972,0.0046034517202143644
2020-04-27,1014,6.736842,98,53,863,9.664694,5.226824,0.008807358574145973,11354,217228,0.08807358574145972,0.0046034517202143644
2020-04-26,950,9.699769,80,50,820,8.421053,5.263158,0.008251470064535181,12119,230262,0.08251470064535181,0.004342878981334306
2020-04-25,866,7.311029,54,46,766,6.235566,5.311778,0.007521866395671018,13295,250285,0.07521866395671017,0.0039954486628275615
2020-04-24,807,14.793741,54,44,709,6.69145,5.452292,0.00700940667587357,14267,261661,0.0700940667587357,0.003821733503574189
2020-04-23,703,15.43514,44,43,616,6.25889,6.116643,0.006106087847756034,16377,267747,0.061060878477560344,0.003734875923947503
2020-04-22,609,1.839465,44,37,528,7.224959,6.075534,0.005289626599265185,18905,311165,0.05289626599265185,0.0032137304461873862
2020-04-21,598,6.028369,37,34,527,6.187291,5.685619,0.00519408326167583,19253,338621,0.051940832616758296,0.0029531577073073282
2020-04-20,564,8.461538,31,33,500,5.496454,5.851064,0.004898767490945097,20413,348882,0.048987674909450975,0.002866300127680642
2020-04-19,520,5.476673,31,32,457,5.961538,6.153846,0.004516594140587678,22141,359784,0.045165941405876785,0.002779442548053956
2020-04-18,493,6.021505,31,31,431,6.288032,6.288032,0.004282078675595626,23353,371390,0.042820786755956255,0.00269258496842727
2020-04-17,465,5.442177,26,31,408,5.591398,6.666667,0.0040388774526409045,24759,371390,0.040388774526409044,0.00269258496842727
2020-04-16,441,11.083123,14,29,398,3.174603,6.575964,0.003830419261536858,26107,397003,0.038304192615368576,0.0025188698091738976
2020-04-15,397,12.146893,7,28,362,1.763224,7.052897,0.003448245911179439,29000,411182,0.034482459111794386,0.0024320122295472114
2020-04-14,354,7.272727,6,28,320,1.694915,7.909605,0.0030747583187846887,32523,411182,0.030747583187846886,0.0024320122295472114
2020-04-13,330,10,2,27,301,0.606061,8.181818,0.002866300127680642,34888,426411,0.02866300127680642,0.0023451546499205253
2020-04-12,300,9.090909,2,24,274,0.666667,8,0.0026057273888005837,38377,479713,0.026057273888005834,0.002084581911040467
2020-04-11,275,2.61194,2,20,253,0.727273,7.272727,0.0023885834397338684,41866,575655,0.023885834397338684,0.0017371515925337223
2020-04-10,268,1.515152,2,19,247,0.746269,7.089552,0.002327783133995188,42959,605953,0.02327783133995188,0.0016502940129070362
2020-04-09,264,25.714286,2,18,244,0.757576,6.818182,0.0022930401021445134,43610,639617,0.022930401021445137,0.0015634364332803503
2020-04-08,210,8.247423,2,15,193,0.952381,7.142857,0.0018240091721604087,54824,767540,0.018240091721604085,0.0013028636944002918
2020-04-07,194,6.010929,2,14,178,1.030928,7.216495,0.0016850370447577107,59346,822364,0.016850370447577107,0.0012160061147736057
2020-04-06,183,16.56051,2,11,170,1.092896,6.010929,0.001589493707168356,62913,1046645,0.01589493707168356,0.0009554333758935473
2020-04-05,157,12.94964,2,10,145,1.273885,6.369427,0.001363664000138972,73332,1151310,0.01363664000138972,0.0008685757962668612
2020-04-04,139,5.30303,1,10,128,0.719424,7.194245,0.0012073203568109371,82828,1151310,0.012073203568109371,0.0008685757962668612
2020-04-03,132,7.317073,1,9,122,0.757576,6.818182,0.0011465200510722567,87220,1279233,0.011465200510722568,0.0007817182166401751
2020-04-02,123,6.956522,1,8,114,0.813008,6.504065,0.0010683482294082394,93602,1439138,0.010683482294082393,0.000694860637013489
2020-04-01,115,7.476636,1,7,107,0.869565,6.086957,0.0009988621657068904,100114,1644729,0.009988621657068904,0.0006080030573868029
2020-03-31,107,10.309278,0,6,101,0,5.607477,0.0009293761020055415,107599,1918850,0.009293761020055415,0.0005211454777601167
2020-03-30,97,19.753086,0,4,93,0,4.123711,0.0008425185223788553,118692,2878275,0.008425185223788554,0.0003474303185067445
2020-03-29,81,9.459459,0,1,80,0,1.234568,0.0007035463949761576,142137,11513100,0.007035463949761575,8.685757962668612e-05
2020-03-28,74,21.311475,0,0,74,0,0,0.0006427460892374774,155582,,0.0064274608923747725,0
2020-03-27,61,41.860465,0,0,61,0,0,0.0005298312357227854,188739,,0.0052983123572278535,0
2020-03-26,43,34.375,0,0,43,0,0,0.0003734875923947503,267747,,0.003734875923947503,0
2020-03-25,32,10.344828,0,0,32,0,0,0.0002779442548053956,359784,,0.002779442548053956,0
2020-03-24,29,7.407407,0,0,29,0,0,0.00025188698091738973,397003,,0.0025188698091738976,0
2020-03-23,27,12.5,0,0,27,0,0,0.00023451546499205254,426411,,0.0023451546499205253,0
2020-03-22,24,26.315789,0,0,24,0,0,0.0002084581911040467,479713,,0.002084581911040467,0
2020-03-21,19,26.666667,0,0,19,0,0,0.00016502940129070362,605953,,0.0016502940129070362,0
2020-03-20,15,25,0,0,15,0,0,0.00013028636944002918,767540,,0.0013028636944002918,0
2020-03-19,12,0,0,0,12,0,0,0.00010422909555202335,959425,,0.0010422909555202334,0
2020-03-18,12,9.090909,0,0,12,0,0,0.00010422909555202335,959425,,0.0010422909555202334,0
2020-03-17,11,0,0,0,11,0,0,9.554333758935474e-05,1046645,,0.0009554333758935473,0
2020-03-16,11,10,0,0,11,0,0,9.554333758935474e-05,1046645,,0.0009554333758935473,0
2020-03-15,10,0,0,0,10,0,0,8.685757962668612e-05,1151310,,0.0008685757962668612,0
2020-03-14,10,233.333333,0,0,10,0,0,8.685757962668612e-05,1151310,,0.0008685757962668612,0
2020-03-13,3,50,0,0,3,0,0,2.6057273888005837e-05,3837700,,0.00026057273888005836,0
2020-03-12,2,0,0,0,2,0,0,1.7371515925337226e-05,5756550,,0.00017371515925337225,0
2020-03-11,2,,0,0,2,0,0,1.7371515925337226e-05,5756550,,0.00017371515925337225,0

