"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-01,526447,2.2526993,211080,29937,285430,40.0952043,5.6866123,0.24944242938268035,401,7050,2.4944242938268038,0.1418482393940758
2020-05-31,514849,3.292071,206555,29314,278980,40.1195302,5.6937083,0.24394703612185767,410,7200,2.439470361218577,0.13889632526966422
2020-05-30,498440,7.1531453,200892,28834,268714,40.304149,5.784849,0.23617208285260094,423,7319,2.361720828526009,0.13662197730864087
2020-05-29,465166,6.1446064,189476,27878,247812,40.7329856,5.9931293,0.22040611325779022,454,7570,2.2040611325779023,0.13209223428626934
2020-05-28,438238,6.4146802,177604,26754,233880,40.526837,6.1049019,0.20764702119644918,482,7889,2.0764702119644918,0.12676646947753964
2020-05-27,411821,5.2652969,166647,25598,219576,40.465882,6.2158074,0.19513005242845874,512,8245,1.9513005242845873,0.12128908147140836
2020-05-26,391222,4.354251,158593,24512,208117,40.5378532,6.2654963,0.18536978291822534,539,8610,1.8536978291822535,0.116143369209593
2020-05-25,374898,3.2176889,153833,23473,197592,41.0332944,6.2611697,0.17763510456077838,563,8991,1.776351045607784,0.11122035351896119
2020-05-24,363211,4.5518397,149911,22666,190634,41.273805,6.2404498,0.1720975410981784,581,9311,1.7209754109817839,0.10739660600949066
2020-05-23,347398,4.988969,142587,22013,182798,41.0442777,6.3365362,0.16460498603408205,608,9587,1.6460498603408205,0.10430254513751513
2020-05-22,330890,6.7087624,135430,21048,174412,40.92901,6.361026,0.15678312433812922,638,10027,1.567831243381292,0.09973015809087442
2020-05-21,310087,6.3475079,125960,20047,164080,40.620858,6.4649598,0.14692619503955234,681,10528,1.4692619503955233,0.09498719494715695
2020-05-20,291579,7.243504,116683,18859,156037,40.0176282,6.4678869,0.13815668835983974,724,11191,1.3815668835983976,0.08935818374362413
2020-05-19,271885,6.467921,106794,17983,147108,39.279107,6.614194,0.12882522820475764,776,11736,1.2882522820475766,0.0852074987147565
2020-05-18,255368,5.926663,100459,16853,138056,39.338915,6.599496,0.12099910210637789,826,12523,1.209991021063779,0.07985330455651399
2020-05-17,241080,3.241389,94122,16118,130840,39.041812,6.685747,0.11422912634239835,875,13094,1.1422912634239835,0.07637070924119697
2020-05-16,233511,6.001153,89672,15662,128177,38.4016171,6.7071787,0.11064276390135963,904,13475,1.1064276390135963,0.07421007867822478
2020-05-15,220291,8.429602,84970,14962,120359,38.5717074,6.7919252,0.1043788305587078,958,14106,1.0437883055870778,0.07089332123506571
2020-05-14,203165,6.8519015,79479,13999,109687,39.120419,6.890458,0.09626414656277318,1039,15076,0.9626414656277319,0.06633041063826259
2020-05-13,190137,6.690271,78424,13240,98473,41.2460489,6.9634001,0.09009118713856228,1110,15940,0.9009118713856228,0.0627340979248944
2020-05-12,178214,5.082727,72597,12461,93156,40.735857,6.992155,0.08444180156787863,1184,16937,0.8444180156787863,0.059043020713150235
2020-05-11,169594,4.2378871,67384,11653,90557,39.732538,6.871116,0.08035745168787417,1244,18111,0.8035745168787417,0.05521453497876091
2020-05-10,162699,4.253465,64957,11123,86619,39.9246461,6.8365509,0.07709044560636248,1297,18974,0.7709044560636249,0.05270327577179761
2020-05-09,156061,6.240554,61685,10656,83720,39.5262109,6.8280993,0.07394521190526393,1352,19806,0.7394521190526393,0.050490524734718635
2020-05-08,146894,8.190877,59297,10017,77580,40.367204,6.819203,0.06960168112220119,1437,21069,0.6960168112220119,0.047462799011606285
2020-05-07,135773,7.2363381,55350,9190,71233,40.7665736,6.7686506,0.06433230119000519,1554,22965,0.6433230119000519,0.04354428700375978
2020-05-06,126611,9.662639,51370,8588,66653,40.573094,6.7829809,0.05999113951940185,1667,24575,0.5999113951940185,0.04069187560264298
2020-05-05,115455,6.29258,48221,7938,59296,41.766056,6.875406,0.05470517579999005,1828,26587,0.5470517579999005,0.037612029405423845
2020-05-04,108620,6.672166,45815,7367,55438,42.179157,6.782361,0.051466599067991156,1943,28648,0.5146659906799116,0.03490650297678981
2020-05-03,101826,4.867147,42991,7051,51784,42.220062,6.924558,0.04824744905815934,2073,29932,0.4824744905815934,0.03340922390244942
2020-05-02,97100,5.312249,40937,6761,49402,42.159629,6.962925,0.04600816396153509,2174,31216,0.4600816396153509,0.03203513867599781
2020-05-01,92202,5.752004,38039,6412,47751,41.256155,6.954296,0.0436873813963075,2289,32915,0.436873813963075,0.030381498179337076
2020-04-30,87187,9.41457,35935,6006,45246,41.216007,6.888642,0.041311161599529966,2421,35140,0.41311161599529966,0.028457778862304814
2020-04-29,79685,8.807264,34132,5513,40040,42.833658,6.918492,0.03775654526544721,2649,38282,0.37756545265447206,0.02612183397733707
2020-04-28,73235,8.583163,32544,5083,35608,44.437769,6.94067,0.03470039019282206,2882,41521,0.3470039019282206,0.024084397262253643
2020-04-27,67446,6.88748,31142,4603,31701,46.173235,6.824719,0.031957431787329516,3129,45850,0.31957431787329516,0.021810049301230282
2020-04-26,63100,6.365046,30152,4286,28662,47.784469,6.792393,0.029898199237619612,3345,49242,0.2989819923761961,0.0203080320019711
2020-04-25,59324,9.771848,29160,4057,26107,49.153799,6.838716,0.028109045508281232,3558,52021,0.28109045508281233,0.019222978495566204
2020-04-24,54043,8.008234,27655,3704,22684,51.172215,6.853802,0.025606788928663655,3905,56979,0.25606788928663654,0.017550385099230275
2020-04-23,50036,9.351575,26573,3331,20132,53.107762,6.657207,0.023708182203701026,4218,63359,0.23708182203701028,0.015783027204518373
2020-04-22,45757,6.216486,25318,2906,17533,55.331425,6.350941,0.021680695760947076,4612,72625,0.21680695760947077,0.013769281614028937
2020-04-21,43079,5.7335,22991,2741,17347,53.369391,6.362729,0.02041179912769279,4899,76997,0.20411799127692792,0.012987474502427156
2020-04-20,40743,5.404357,22130,2587,16026,54.316079,6.349557,0.019304949786661422,5180,81581,0.19304949786661424,0.01225778786493216
