"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,233,2.192982,151,0,82,64.806867,0,0.030533350805923207,3275,,0.3053335080592321,0
2020-09-06,228,0,150,0,78,65.789474,0,0.029878128685624426,3347,,0.2987812868562443,0
2020-09-05,228,0,150,0,78,65.789474,0,0.029878128685624426,3347,,0.2987812868562443,0
2020-09-04,228,0.440529,150,0,78,65.789474,0,0.029878128685624426,3347,,0.2987812868562443,0
2020-09-03,227,0,150,0,77,66.079295,0,0.02974708426156467,3362,,0.2974708426156467,0
2020-09-02,227,0,144,0,83,63.436123,0,0.02974708426156467,3362,,0.2974708426156467,0
2020-09-01,227,0.888889,142,0,85,62.555066,0,0.02974708426156467,3362,,0.2974708426156467,0
2020-08-31,225,0.446429,142,0,83,63.111111,0,0.029484995413445157,3392,,0.2948499541344516,0
2020-08-30,224,14.871795,140,0,84,62.5,0,0.0293539509893854,3407,,0.293539509893854,0
2020-08-29,195,0,135,0,60,69.230769,0,0.02555366269165247,3913,,0.2555366269165247,0
2020-08-28,195,5.978261,120,0,75,61.538462,0,0.02555366269165247,3913,,0.2555366269165247,0
2020-08-27,184,6.358382,119,0,65,64.673913,0,0.024112174026995153,4147,,0.2411217402699515,0
2020-08-26,173,0,118,0,55,68.208092,0,0.022670685362337833,4411,,0.2267068536233783,0
2020-08-25,173,10.897436,118,0,55,68.208092,0,0.022670685362337833,4411,,0.2267068536233783,0
2020-08-24,156,0.645161,117,0,39,75,0,0.020442930153321975,4892,,0.20442930153321975,0
2020-08-23,155,0,112,0,43,72.258065,0,0.02031188572926222,4923,,0.2031188572926222,0
2020-08-22,155,0.649351,112,0,43,72.258065,0,0.02031188572926222,4923,,0.2031188572926222,0
2020-08-21,154,0.653595,110,0,44,71.428571,0,0.020180841305202462,4955,,0.20180841305202463,0
2020-08-20,153,4.081633,108,0,45,70.588235,0,0.02004979688114271,4988,,0.20049796881142706,0
2020-08-19,147,0,103,0,44,70.068027,0,0.01926353033678417,5191,,0.19263530336784168,0
2020-08-18,147,4.255319,103,0,44,70.068027,0,0.01926353033678417,5191,,0.19263530336784168,0
2020-08-17,141,2.173913,103,0,38,73.049645,0,0.018477263792425633,5412,,0.18477263792425633,0
2020-08-16,138,3.759398,102,0,36,73.913043,0,0.018084130520246364,5530,,0.18084130520246364,0
2020-08-15,133,0,102,0,31,76.691729,0,0.017428908399947582,5738,,0.17428908399947582,0
2020-08-14,133,3.90625,102,0,31,76.691729,0,0.017428908399947582,5738,,0.17428908399947582,0
2020-08-13,128,13.274336,100,0,28,78.125,0,0.0167736862796488,5962,,0.167736862796488,0
2020-08-12,113,0,97,0,16,85.840708,0,0.014808019918752456,6753,,0.14808019918752457,0
2020-08-11,113,2.727273,97,0,16,85.840708,0,0.014808019918752456,6753,,0.14808019918752457,0
2020-08-10,110,0,96,0,14,87.272727,0,0.014414886646573189,6937,,0.14414886646573188,0
2020-08-09,110,1.851852,96,0,14,87.272727,0,0.014414886646573189,6937,,0.14414886646573188,0
2020-08-08,108,0,96,0,12,88.888889,0,0.014152797798453676,7066,,0.14152797798453676,0
2020-08-07,108,0,96,0,12,88.888889,0,0.014152797798453676,7066,,0.14152797798453676,0
2020-08-06,108,2.857143,96,0,12,88.888889,0,0.014152797798453676,7066,,0.14152797798453676,0
2020-08-05,105,0,93,0,12,88.571429,0,0.013759664526274407,7268,,0.13759664526274407,0
2020-08-04,105,1.941748,93,0,12,88.571429,0,0.013759664526274407,7268,,0.13759664526274407,0
2020-08-03,103,0.980392,90,0,13,87.378641,0,0.013497575678154895,7409,,0.13497575678154894,0
