"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-16,60,0,24,1,35,40,1.666667,0.002604505795025394,38395,2303700,0.02604505795025394,0.00043408429917089905
2020-06-15,60,0,24,1,35,40,1.666667,0.002604505795025394,38395,2303700,0.02604505795025394,0.00043408429917089905
2020-06-14,60,0,24,1,35,40,1.666667,0.002604505795025394,38395,2303700,0.02604505795025394,0.00043408429917089905
2020-06-13,60,25,24,1,35,40,1.666667,0.002604505795025394,38395,2303700,0.02604505795025394,0.00043408429917089905
2020-06-12,48,0,24,1,23,50,2.083333,0.002083604636020315,47994,2303700,0.020836046360203152,0.00043408429917089905
2020-06-11,48,0,24,1,23,50,2.083333,0.002083604636020315,47994,2303700,0.020836046360203152,0.00043408429917089905
2020-06-10,48,14.285714,24,1,23,50,2.083333,0.002083604636020315,47994,2303700,0.020836046360203152,0.00043408429917089905
2020-06-09,42,0,24,1,17,57.142857,2.380952,0.0018231540565177757,54850,2303700,0.01823154056517776,0.00043408429917089905
2020-06-08,42,5,24,1,17,57.142857,2.380952,0.0018231540565177757,54850,2303700,0.01823154056517776,0.00043408429917089905
2020-06-07,40,0,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-06,40,0,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-05,40,0,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-04,40,0,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-03,40,0,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-02,40,5.263158,23,1,16,57.5,2.5,0.001736337196683596,57593,2303700,0.01736337196683596,0.00043408429917089905
2020-06-01,38,8.571429,20,1,17,52.631579,2.631579,0.0016495203368494162,60624,2303700,0.016495203368494162,0.00043408429917089905
2020-05-31,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-30,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-29,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-28,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-27,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-26,35,0,20,1,14,57.142857,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-25,35,0,19,1,15,54.285714,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-24,35,16.666667,19,1,15,54.285714,2.857143,0.0015192950470981465,65820,2303700,0.015192950470981466,0.00043408429917089905
2020-05-23,30,0,19,1,10,63.333333,3.333333,0.001302252897512697,76790,2303700,0.01302252897512697,0.00043408429917089905
2020-05-22,30,3.448276,19,1,10,63.333333,3.333333,0.001302252897512697,76790,2303700,0.01302252897512697,0.00043408429917089905
2020-05-21,29,16,19,1,9,65.517241,3.448276,0.001258844467595607,79438,2303700,0.012588444675956071,0.00043408429917089905
2020-05-20,25,0,17,1,7,68,4,0.0010852107479272476,92148,2303700,0.010852107479272476,0.00043408429917089905
2020-05-19,25,0,17,1,7,68,4,0.0010852107479272476,92148,2303700,0.010852107479272476,0.00043408429917089905
2020-05-18,25,0,17,1,7,68,4,0.0010852107479272476,92148,2303700,0.010852107479272476,0.00043408429917089905
2020-05-17,25,4.166667,17,1,7,68,4,0.0010852107479272476,92148,2303700,0.010852107479272476,0.00043408429917089905
