"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,7,40,0,1,6,0,14.285714,0.001793032786885246,55771,390400
2020-04-05,5,25,0,0,5,0,0,0.0012807377049180327,78080,
2020-04-04,4,0,0,0,4,0,0,0.0010245901639344263,97600,
2020-04-03,4,33.333333,0,0,4,0,0,0.0010245901639344263,97600,
2020-04-02,3,0,0,0,3,0,0,0.0007684426229508197,130133,
2020-04-01,3,0,0,0,3,0,0,0.0007684426229508197,130133,
2020-03-31,3,0,0,0,3,0,0,0.0007684426229508197,130133,
2020-03-30,3,50,0,0,3,0,0,0.0007684426229508197,130133,
2020-03-29,2,0,0,0,2,0,0,0.0005122950819672131,195200,
2020-03-28,2,0,0,0,2,0,0,0.0005122950819672131,195200,
2020-03-27,2,0,0,0,2,0,0,0.0005122950819672131,195200,
2020-03-26,2,0,0,0,2,0,0,0.0005122950819672131,195200,
2020-03-25,2,100,0,0,2,0,0,0.0005122950819672131,195200,
2020-03-24,1,0,0,0,1,0,0,0.00025614754098360657,390400,
2020-03-23,1,,0,0,1,0,0,0.00025614754098360657,390400,

