"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,18,0,5,2,11,27.777778,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-22,18,0,2,2,14,11.111111,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-21,18,0,2,2,14,11.111111,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-20,18,0,2,2,14,11.111111,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-19,18,0,2,2,14,11.111111,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-18,18,0,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-17,18,0,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-16,18,0,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-15,18,0,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-14,18,0,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-13,18,28.571429,0,2,16,0,11.111111,0.004610655737704918,21689,195200,0.04610655737704918,0.005122950819672132
2020-04-12,14,7.692308,0,2,12,0,14.285714,0.003586065573770492,27886,195200,0.03586065573770492,0.005122950819672132
2020-04-11,13,30,0,2,11,0,15.384615,0.003329918032786885,30031,195200,0.033299180327868855,0.005122950819672132
2020-04-10,10,11.111111,0,2,8,0,20,0.0025614754098360654,39040,195200,0.025614754098360656,0.005122950819672132
2020-04-09,9,12.5,0,1,8,0,11.111111,0.002305327868852459,43378,390400,0.02305327868852459,0.002561475409836066
2020-04-08,8,14.285714,0,1,7,0,12.5,0.0020491803278688526,48800,390400,0.020491803278688527,0.002561475409836066
2020-04-07,7,0,0,1,6,0,14.285714,0.001793032786885246,55771,390400,0.01793032786885246,0.002561475409836066
2020-04-06,7,40,0,1,6,0,14.285714,0.001793032786885246,55771,390400,0.01793032786885246,0.002561475409836066
2020-04-05,5,25,0,0,5,0,0,0.0012807377049180327,78080,,0.012807377049180328,0
2020-04-04,4,0,0,0,4,0,0,0.0010245901639344263,97600,,0.010245901639344263,0
2020-04-03,4,33.333333,0,0,4,0,0,0.0010245901639344263,97600,,0.010245901639344263,0
2020-04-02,3,0,0,0,3,0,0,0.0007684426229508197,130133,,0.0076844262295081974,0
2020-04-01,3,0,0,0,3,0,0,0.0007684426229508197,130133,,0.0076844262295081974,0
2020-03-31,3,0,0,0,3,0,0,0.0007684426229508197,130133,,0.0076844262295081974,0
2020-03-30,3,50,0,0,3,0,0,0.0007684426229508197,130133,,0.0076844262295081974,0
2020-03-29,2,0,0,0,2,0,0,0.0005122950819672131,195200,,0.005122950819672132,0
2020-03-28,2,0,0,0,2,0,0,0.0005122950819672131,195200,,0.005122950819672132,0
2020-03-27,2,0,0,0,2,0,0,0.0005122950819672131,195200,,0.005122950819672132,0
2020-03-26,2,0,0,0,2,0,0,0.0005122950819672131,195200,,0.005122950819672132,0
2020-03-25,2,100,0,0,2,0,0,0.0005122950819672131,195200,,0.005122950819672132,0
2020-03-24,1,0,0,0,1,0,0,0.00025614754098360657,390400,,0.002561475409836066,0
2020-03-23,1,,0,0,1,0,0,0.00025614754098360657,390400,,0.002561475409836066,0

