"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-11,672931,1.2526219,575152,17096,80683,85.4696841,2.5405279,1.798751704044265,56,2188,17.98751704044265,0.45697789420224
2021-01-10,664606,1.1079789,565049,16960,82597,85.0201473,2.5518879,1.776498890700596,56,2206,17.76498890700596,0.4533425997701211
2021-01-09,657323,1.29336,558594,16869,81860,84.9801391,2.5663182,1.757031354414477,57,2218,17.57031354414477,0.4509101601133356
2021-01-08,648930,1.4439739,551983,16735,80212,85.060484,2.578861,1.734596776349202,58,2235,17.34596776349202,0.4473283258934538
2021-01-07,639693,1.3028413,544047,16595,79051,85.0481403,2.5942132,1.709906177327524,58,2254,17.09906177327524,0.4435861110368608
2021-01-06,631466,1.296472,537024,16403,78039,85.0440087,2.5976062,1.6879153190238165,59,2281,16.879153190238164,0.43845393066210475
2021-01-05,623384,1.176692,529580,16253,77551,84.952453,2.6072212,1.6663120472588275,60,2302,16.663120472588275,0.43444441474432655
2021-01-04,616134,1.6595278,523448,16098,76588,84.9568438,2.6127433,1.6469327203228996,61,2324,16.469327203228996,0.43030124829595573
2021-01-03,606076,2.7360641,510595,15880,79601,84.2460352,2.6201334,1.620047579588891,62,2356,16.20047579588891,0.4244740851621181
2021-01-02,589935,0.774684,497492,15707,76736,84.3299686,2.6624967,1.5769025153029859,63,2382,15.769025153029858,0.4198497768036139
2021-01-01,585400,0.169573,494437,15644,75319,84.461394,2.672361,1.5647804121782363,64,2391,15.647804121782363,0.4181657801181471
2020-12-31,584409,1.237384,493638,15632,75139,84.4678983,2.674839,1.5621314586618908,64,2393,15.621314586618908,0.4178450188447248
2020-12-30,577266,1.4871477,490229,15498,71539,84.9225487,2.684724,1.5430381438614311,65,2414,15.430381438614312,0.41426318462484296
2020-12-29,568807,1.4607094,482944,15387,70476,84.9047216,2.7051355,1.520427147095774,66,2431,15.204271470957739,0.4112961428456871
2020-12-28,560618,1.1666453,473200,15169,72249,84.406851,2.705764,1.4985378631953168,67,2466,14.98537863195317,0.4054689797118495
2020-12-27,554153,1.8564368,461134,15021,77998,83.2142026,2.7106232,1.481256849589693,68,2491,14.81256849589693,0.4015129240063083
2020-12-26,544053,0.5756656,450669,14834,78550,82.8354958,2.7265726,1.4542594424099864,69,2522,14.542594424099864,0.39651439416214485
2020-12-25,540939,0.324375,448829,14794,77316,82.972202,2.734874,1.445935687364679,69,2529,14.459356873646788,0.39544518991740396
2020-12-24,539190,1.255197,448119,14775,76296,83.109664,2.740221,1.4412605918045496,69,2532,14.412605918045495,0.39493731790115205
2020-12-23,532506,1.316818,444166,14616,73724,83.4105156,2.744758,1.4233941888749297,70,2560,14.233941888749298,0.39068723102830716
2020-12-22,525585,1.205411,437458,14444,73683,83.2325884,2.7481758,1.4048942824303012,71,2590,14.048942824303012,0.3860896527759215
2020-12-21,519325,1.4806116,429372,14346,75607,82.678862,2.762432,1.388161236000107,72,2608,13.88161236000107,0.3834701023763064
2020-12-20,511748,1.1877621,422175,14245,75328,82.4966585,2.7835966,1.3679078345941034,73,2626,13.679078345941033,0.3807703616583358
2020-12-19,505741,1.2936577,416901,14171,74669,82.4336963,2.8020271,1.3518510598487077,74,2640,13.518510598487076,0.3787923338055652
2020-12-18,499282,1.3601796,410988,14055,74239,82.3158055,2.8150424,1.3345860843067547,75,2662,13.345860843067546,0.37569164149581674
2020-12-17,492582,1.442823,403667,13940,74975,81.9491983,2.8299857,1.3166769132073455,76,2684,13.166769132073455,0.3726176792921868
2020-12-16,485576,1.359317,397217,13815,74544,81.8032605,2.8450747,1.2979498008607093,77,2708,12.979498008607095,0.3692764160273716
2020-12-15,479064,1.320587,391435,13685,73944,81.7082895,2.8566121,1.2805431557563283,78,2734,12.805431557563283,0.36580150223196384
2020-12-14,472820,1.8036659,385021,13570,74229,81.430777,2.870014,1.2638528774959237,79,2757,12.638528774959237,0.3627275400283339
2020-12-13,464443,1.2902185,378653,13451,72339,81.5284115,2.8961573,1.2414610676004383,81,2781,12.414610676004385,0.3595466574002299
2020-12-12,458527,1.3223053,373898,13367,71262,81.5432897,2.9152046,1.2256475368207211,82,2799,12.256475368207212,0.3573013284862741
2020-12-11,452543,1.5061862,367837,13267,71439,81.2822207,2.9316551,1.209652241319398,83,2820,12.09652241319398,0.35462831787442195
2020-12-10,445828,1.5225144,361020,13130,71678,80.9774173,2.945082,1.191702975060811,84,2849,11.91702975060811,0.35096629333618456
2020-12-09,439142,1.4787068,355401,13009,70732,80.9307695,2.9623675,1.1738312261099677,85,2876,11.738312261099676,0.3477319504958435
2020-12-08,432743,1.4466491,349629,12887,70227,80.7936812,2.97798,1.156726631204726,86,2903,11.56726631204726,0.3444708775493839
2020-12-07,426572,1.844106,344034,12796,69742,80.6508632,2.9997281,1.1402314827189863,88,2924,11.402314827189864,0.3420384378925984
2020-12-06,418848,1.5283255,334375,12688,71785,79.8320632,3.029261,1.1195851487530406,89,2949,11.195851487530405,0.33915158643179816
2020-12-05,412543,1.5642964,329676,12607,70260,79.9131242,3.0559239,1.1027318168453129,91,2967,11.027318168453128,0.3369864478361979
2020-12-04,406189,1.605673,324802,12519,68868,79.9632683,3.0820628,1.0857475074176044,92,2988,10.857475074176044,0.33463419849776804
2020-12-03,399770,1.5918436,319250,12423,68097,79.858419,3.107537,1.0685894523001256,94,3011,10.685894523001256,0.33206810831039
2020-12-02,393506,1.667476,314529,12342,66635,79.9299121,3.1364198,1.051845713827484,95,3031,10.518457138274838,0.3299029697147898
2020-12-01,387052,1.4401518,309557,12229,65266,79.978142,3.159524,1.0345941033385904,97,3059,10.345941033385902,0.32688246772339685
2020-11-30,381557,2.1128721,304595,12147,64815,79.8294881,3.1835348,1.019905910026463,98,3080,10.199059100264629,0.32469059902167813
2020-11-29,373662,1.4616636,299095,12046,62521,80.0442646,3.2237691,0.9988024912458903,100,3106,9.988024912458902,0.32199085830370744
2020-11-28,368279,1.565068,295475,11993,60811,80.231292,3.2564985,0.9844136751222903,102,3119,9.844136751222903,0.32057416267942584
2020-11-27,362604,1.669424,291221,11916,59467,80.313786,3.28623,0.9692443399000295,103,3140,9.692443399000293,0.3185159445082997
2020-11-26,356650,1.6180824,285672,11818,59160,80.098696,3.313613,0.9533292347170619,105,3166,9.533292347170619,0.3158963941086846
2020-11-25,350971,1.4328941,281883,11733,57355,80.3151827,3.3430112,0.9381492074523536,107,3189,9.381492074523536,0.3136243350886103
2020-11-24,346013,1.5501965,278191,11676,56146,80.3990023,3.3744397,0.9248964208387908,108,3204,9.248964208387907,0.3121007190398546
2020-11-23,340731,2.034821,274315,11570,54846,80.5077906,3.3956405,0.9107775787869877,110,3233,9.107775787869878,0.30926732779129135
2020-11-22,333936,1.4414124,269137,11502,53297,80.595384,3.444373,0.8926144716794525,112,3253,8.926144716794525,0.30744968057523187
2020-11-21,329191,1.5288341,265568,11455,52168,80.6729224,3.4797428,0.8799310363262142,114,3266,8.799310363262142,0.30619336558766136
2020-11-20,324234,1.5621133,261754,11385,51095,80.7299666,3.511353,0.8666809227232632,115,3286,8.666809227232632,0.30432225815936487
2020-11-19,319247,1.5245522,257310,11314,50623,80.5990346,3.5439644,0.8533506188019566,117,3307,8.533506188019567,0.3024244206249499
2020-11-18,314453,1.457725,253089,11238,50126,80.485478,3.573825,0.8405362059287376,119,3329,8.405362059287375,0.30039293255994226
2020-11-17,309935,1.4606856,248859,11136,49940,80.293933,3.593011,0.8284595439843896,121,3359,8.284595439843896,0.2976664617358531
2020-11-16,305473,2.014761,244699,11075,49699,80.104952,3.625525,0.8165325706343054,122,3378,8.165325706343054,0.2960359252626233
2020-11-15,299440,1.4572795,240434,11001,48005,80.29455,3.673858,0.8004062976130015,125,3401,8.004062976130015,0.2940578974098527
2020-11-14,295139,1.5238606,236870,10947,47322,80.2570992,3.7090998,0.7889096789714255,127,3417,7.889096789714255,0.2926144716794526
2020-11-13,290709,1.668188,234404,10885,45420,80.6318346,3.7442941,0.7770682419609206,129,3437,7.770682419609206,0.29095720510010425
2020-11-12,285939,1.951759,230429,10828,44682,80.5867685,3.7868217,0.7643179813423859,131,3455,7.643179813423859,0.28943358905134853
2020-11-11,280465,1.440967,226826,10748,42891,80.874975,3.832207,0.7496859212531074,133,3481,7.496859212531073,0.2872951805618668
2020-11-10,276481,1.633975,224912,10693,40876,81.3480854,3.8675352,0.7390366469754885,135,3499,7.390366469754885,0.28582502472534815
2020-11-09,272036,1.823218,221758,10620,39658,81.517887,3.903895,0.7271551148058057,138,3523,7.271551148058058,0.2838737269786961
2020-11-08,267165,1.4983607,218279,10575,38311,81.701944,3.958228,0.7141348801154741,140,3538,7.141348801154741,0.2826708722033626
2020-11-07,263221,1.678803,216338,10547,36336,82.1887311,4.0068991,0.7035925262623293,142,3547,7.035925262623293,0.281922429232044
2020-11-06,258875,2.1275672,214441,10493,33941,82.835732,4.053308,0.69197562214322,145,3565,6.919756221432199,0.2804790035016439
2020-11-05,253482,1.110499,210429,10432,32621,83.015362,4.1154796,0.6775600759135014,148,3586,6.775600759135013,0.2788484670284141
2020-11-04,250698,1.122154,208815,10385,31498,83.293445,4.1424343,0.670118414370105,149,3602,6.701184143701051,0.2775921520408436
2020-11-03,247916,1.948367,206691,10334,30891,83.371384,4.168347,0.6626820988479324,151,3620,6.6268209884793245,0.276228916628799
2020-11-02,243178,1.4725703,203128,10262,29788,83.5305825,4.2199541,0.650017374568977,154,3646,6.500173745689771,0.2743043489882655
2020-11-01,239649,0.984354,200768,10230,28651,83.7758555,4.268743,0.6405843201197509,156,3657,6.405843201197508,0.2734489855924728
2020-10-31,237313,1.0104751,198952,10187,28174,83.8352724,4.292643,0.6343401673304643,158,3672,6.343401673304643,0.2722995910293764
2020-10-30,234939,1.5368458,196935,10163,27841,83.823886,4.3258037,0.6279944401379274,159,3681,6.279944401379273,0.2716580684825319
2020-10-29,231383,1.3211249,194105,10127,27151,83.8890498,4.376726,0.6184892144021812,162,3694,6.184892144021812,0.2706957846622651
2020-10-28,228366,1.1798691,191723,10084,26559,83.9542664,4.4157186,0.6104247413862233,164,3710,6.104247413862233,0.2695463900991687
2020-10-27,225703,1.2243635,189350,10052,26301,83.8934352,4.4536404,0.6033065141268611,166,3722,6.033065141268611,0.268691026703376
2020-10-26,222973,1.872767,187100,10026,25847,83.911505,4.4965085,0.5960091951565047,168,3731,5.9600919515650475,0.26799604394429444
2020-10-25,218874,1.306636,184194,9995,24685,84.155267,4.5665543,0.5850525246585229,171,3743,5.850525246585229,0.2671674106546203
2020-10-24,216051,0.7141559,181974,9969,24108,84.227335,4.614188,0.5775066157012644,173,3753,5.775066157012644,0.26647242789553877
2020-10-23,214519,1.3713454,180626,9940,23953,84.2004671,4.6336222,0.5734115634439069,174,3764,5.7341156344390685,0.26569725481810164
2020-10-22,211617,1.234716,173299,9916,28402,81.892759,4.6858239,0.565654486648312,177,3773,5.65654486648312,0.2650557322712571
2020-10-21,209036,1.3021628,171405,9883,27748,81.997838,4.727894,0.5587554462591217,179,3785,5.587554462591217,0.2641736387693459
2020-10-20,206349,1.096462,174514,9849,21986,84.5722538,4.772982,0.551573066745075,181,3798,5.515730667450749,0.26326481516131617
2020-10-19,204111,1.64688,172406,9832,21873,84.4667852,4.8169868,0.5455908689957499,183,3805,5.455908689957499,0.2628104033573013
2020-10-18,200804,1.8963094,169751,9816,21237,84.535667,4.888349,0.5367512229023549,186,3811,5.367512229023549,0.26238272165940496
2020-10-17,197067,0.070584,166444,9782,20841,84.4606149,4.963794,0.5267621822458635,190,3824,5.2676218224586355,0.2614738980513753
2020-10-16,196928,1.320217,166313,9781,20834,84.453709,4.96679,0.5263906337708161,190,3825,5.2639063377081605,0.26144716794525674
2020-10-15,194362,1.196476,164154,9756,20452,84.457867,5.0195,0.5195316885408036,192,3835,5.195316885408035,0.2607789152922937
