"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,234,4.932735,16,20,198,6.837607,8.547009,0.00026961445133459155,370900,4339530,0.002696144513345915,0.00023043970199537736
2020-04-11,223,3.72093,16,20,187,7.174888,8.96861,0.00025694026772484575,389196,4339530,0.0025694026772484575,0.00023043970199537736
2020-04-10,215,19.444444,13,20,182,6.046512,9.302326,0.0002477226796450307,403677,4339530,0.0024772267964503067,0.00023043970199537736
2020-04-09,180,0,9,18,153,5,10,0.00020739573179583964,482170,4821700,0.002073957317958396,0.00020739573179583964
2020-04-08,180,0,9,18,153,5,10,0.00020739573179583964,482170,4821700,0.002073957317958396,0.00020739573179583964
2020-04-07,180,11.801242,9,18,153,5,10,0.00020739573179583964,482170,4821700,0.002073957317958396,0.00020739573179583964
2020-04-06,161,4.545455,5,18,138,3.10559,11.180124,0.0001855039601062788,539072,4821700,0.0018550396010627878,0.00020739573179583964
2020-04-05,154,0,3,18,133,1.948052,11.688312,0.00017743857053644058,563575,4821700,0.0017743857053644056,0.00020739573179583964
2020-04-04,154,14.925373,3,18,133,1.948052,11.688312,0.00017743857053644058,563575,4821700,0.0017743857053644056,0.00020739573179583964
2020-04-03,134,0,3,13,118,2.238806,9.701493,0.00015439460033690286,647691,6676200,0.0015439460033690284,0.00014978580629699528
2020-04-02,134,22.93578,3,13,118,2.238806,9.701493,0.00015439460033690286,647691,6676200,0.0015439460033690284,0.00014978580629699528
2020-04-01,109,11.22449,3,9,97,2.752294,8.256881,0.00012558963758748068,796244,9643400,0.0012558963758748066,0.00010369786589791982
2020-03-31,98,20.987654,2,8,88,2.040816,8.163265,0.00011291545397773492,885618,10848825,0.0011291545397773492,9.217588079815095e-05
2020-03-30,81,24.615385,2,8,71,2.469136,9.876543,9.332807930812784e-05,1071489,10848825,0.0009332807930812784,9.217588079815095e-05
2020-03-29,65,0,2,6,57,3.076923,9.230769,7.489290314849765e-05,1335240,14465100,0.0007489290314849765,6.913191059861321e-05
2020-03-28,65,27.45098,2,6,57,3.076923,9.230769,7.489290314849765e-05,1335240,14465100,0.0007489290314849765,6.913191059861321e-05
2020-03-27,51,0,2,3,46,3.921569,5.882353,5.8762124008821235e-05,1701776,28930200,0.0005876212400882123,3.4565955299306604e-05
2020-03-26,51,6.25,0,3,48,0,5.882353,5.8762124008821235e-05,1701776,28930200,0.0005876212400882123,3.4565955299306604e-05
2020-03-25,48,6.666667,0,2,46,0,4.166667,5.530552847889057e-05,1808138,43395300,0.0005530552847889057,2.3043970199537736e-05
2020-03-24,45,25,0,2,43,0,4.444444,5.184893294895991e-05,1928680,43395300,0.000518489329489599,2.3043970199537736e-05
2020-03-23,36,20,0,1,35,0,2.777778,4.147914635916793e-05,2410850,86790600,0.0004147914635916793,1.1521985099768868e-05
2020-03-22,30,30.434783,0,1,29,0,3.333333,3.4565955299306604e-05,2893020,86790600,0.00034565955299306606,1.1521985099768868e-05
2020-03-21,23,27.777778,0,1,22,0,4.347826,2.65005657294684e-05,3773504,86790600,0.000265005657294684,1.1521985099768868e-05
2020-03-20,18,28.571429,0,0,18,0,0,2.0739573179583965e-05,4821700,,0.00020739573179583964,0
2020-03-19,14,250,0,0,14,0,0,1.6130779139676418e-05,6199329,,0.00016130779139676417,0
2020-03-18,4,33.333333,0,0,4,0,0,4.608794039907547e-06,21697650,,4.608794039907547e-05,0
2020-03-17,3,50,0,0,3,0,0,3.4565955299306608e-06,28930200,,3.4565955299306604e-05,0
2020-03-16,2,0,0,0,2,0,0,2.3043970199537737e-06,43395300,,2.3043970199537736e-05,0
2020-03-15,2,0,0,0,2,0,0,2.3043970199537737e-06,43395300,,2.3043970199537736e-05,0
2020-03-14,2,0,0,0,2,0,0,2.3043970199537737e-06,43395300,,2.3043970199537736e-05,0
2020-03-13,2,100,0,0,2,0,0,2.3043970199537737e-06,43395300,,2.3043970199537736e-05,0
2020-03-12,1,0,0,0,1,0,0,1.1521985099768869e-06,86790600,,1.1521985099768868e-05,0
2020-03-11,1,,0,0,1,0,0,1.1521985099768869e-06,86790600,,1.1521985099768868e-05,0

