"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-10,4641,0,1721,60,2860,37.082525,1.292825,0.09780409677147434,1022,79087,0.9780409677147434,0.012644356402259126
2020-08-09,4641,0,1721,60,2860,37.082525,1.292825,0.09780409677147434,1022,79087,0.9780409677147434,0.012644356402259126
2020-08-08,4641,0,1716,59,2866,36.97479,1.271278,0.09780409677147434,1022,80427,0.9780409677147434,0.01243361712888814
2020-08-07,4641,0.454545,1716,59,2866,36.97479,1.271278,0.09780409677147434,1022,80427,0.9780409677147434,0.01243361712888814
2020-08-06,4620,0.043309,1641,59,2920,35.519481,1.277056,0.09736154429739527,1027,80427,0.9736154429739526,0.01243361712888814
2020-08-05,4618,0,1640,59,2919,35.513209,1.277609,0.09731939644272107,1028,80427,0.9731939644272107,0.01243361712888814
2020-08-04,4618,0.086693,1640,59,2919,35.513209,1.277609,0.09731939644272107,1028,80427,0.9731939644272107,0.01243361712888814
2020-08-03,4614,0,1635,59,2920,35.435631,1.278717,0.09723510073337267,1028,80427,0.9723510073337267,0.01243361712888814
2020-08-02,4614,0,1635,59,2920,35.435631,1.278717,0.09723510073337267,1028,80427,0.9723510073337267,0.01243361712888814
2020-08-01,4614,0.130208,1635,59,2920,35.435631,1.278717,0.09723510073337267,1028,80427,0.9723510073337267,0.01243361712888814
2020-07-31,4608,0.065147,1606,59,2943,34.852431,1.280382,0.09710865716935008,1030,80427,0.9710865716935009,0.01243361712888814
2020-07-30,4605,0,1574,59,2972,34.180239,1.281216,0.09704543538733879,1030,80427,0.9704543538733879,0.01243361712888814
2020-07-29,4605,0.130463,1574,59,2972,34.180239,1.281216,0.09704543538733879,1030,80427,0.9704543538733879,0.01243361712888814
2020-07-28,4599,0,1546,59,2994,33.616003,1.282888,0.09691899182331619,1032,80427,0.9691899182331619,0.01243361712888814
2020-07-27,4599,0,1546,59,2994,33.616003,1.282888,0.09691899182331619,1032,80427,0.9691899182331619,0.01243361712888814
2020-07-26,4599,0.021749,1546,59,2994,33.616003,1.282888,0.09691899182331619,1032,80427,0.9691899182331619,0.01243361712888814
2020-07-25,4598,0.108861,1506,59,3033,32.753371,1.283167,0.0968979178959791,1032,80427,0.968979178959791,0.01243361712888814
2020-07-24,4593,0.065359,1483,59,3051,32.288265,1.284563,0.0967925482592936,1033,80427,0.9679254825929361,0.01243361712888814
2020-07-23,4590,0.349803,1452,58,3080,31.633987,1.263617,0.0967293264772823,1034,81814,0.9672932647728231,0.012222877855517155
2020-07-22,4574,0.285025,1437,57,3080,31.416703,1.246174,0.09639214363988872,1037,83249,0.9639214363988874,0.012012138582146168
2020-07-21,4561,0.28584,1411,55,3095,30.936198,1.205876,0.09611818258450645,1040,86276,0.9611818258450645,0.011590660035404198
2020-07-20,4548,1.404682,1400,55,3093,30.782762,1.209323,0.09584422152912417,1043,86276,0.9584422152912417,0.011590660035404198
2020-07-19,4485,0,1348,55,3082,30.055741,1.22631,0.09451656410688695,1058,86276,0.9451656410688696,0.011590660035404198
2020-07-18,4485,2.187286,1348,55,3082,30.055741,1.22631,0.09451656410688695,1058,86276,0.9451656410688696,0.011590660035404198
2020-07-17,4389,0.365882,1288,53,3048,29.346093,1.207564,0.0924934670825255,1081,89532,0.924934670825255,0.011169181488662227
2020-07-16,4373,0.252178,1265,53,3055,28.92751,1.211983,0.09215628424513192,1085,89532,0.9215628424513193,0.011169181488662227
2020-07-15,4362,0.137741,1261,53,3048,28.908757,1.215039,0.09192447104442383,1088,89532,0.9192447104442384,0.011169181488662227
2020-07-14,4356,0.809998,1229,53,3074,28.213958,1.216713,0.09179802748040125,1089,89532,0.9179802748040126,0.011169181488662227
2020-07-13,4321,0.76959,1208,53,3060,27.956492,1.226568,0.09106044002360279,1098,89532,0.9106044002360281,0.011169181488662227
2020-07-12,4288,0,1145,53,3090,26.702425,1.236007,0.09036500042147855,1107,89532,0.9036500042147855,0.011169181488662227
2020-07-11,4288,0.680911,1145,53,3090,26.702425,1.236007,0.09036500042147855,1107,89532,0.9036500042147855,0.011169181488662227
2020-07-10,4259,1.404762,1142,53,3064,26.813806,1.244424,0.08975385652870269,1114,89532,0.8975385652870269,0.011169181488662227
2020-07-09,4200,2.214651,1142,52,3006,27.190476,1.238095,0.08851049481581387,1130,91254,0.8851049481581388,0.010958442215291242
2020-07-08,4109,0.933432,1050,52,3007,25.553663,1.265515,0.0865927674281379,1155,91254,0.8659276742813791,0.010958442215291242
2020-07-07,4071,0.942227,976,52,3043,23.974453,1.277327,0.08579195818932817,1166,91254,0.8579195818932817,0.010958442215291242
2020-07-06,4033,1.612497,970,52,3011,24.051575,1.289363,0.08499114895051842,1177,91254,0.8499114895051842,0.010958442215291242
2020-07-05,3969,0,914,48,3007,23.028471,1.209373,0.08364241760094411,1196,98858,0.8364241760094412,0.0101154851218073
2020-07-04,3969,1.301685,914,48,3007,23.028471,1.209373,0.08364241760094411,1196,98858,0.8364241760094412,0.0101154851218073
2020-07-03,3918,3.43189,859,48,3011,21.924451,1.225115,0.08256764730675209,1211,98858,0.8256764730675209,0.0101154851218073
2020-07-02,3788,1.148198,810,47,2931,21.383316,1.24076,0.07982803675292928,1253,100962,0.7982803675292928,0.009904745848436316
2020-07-01,3745,0,787,47,2911,21.014686,1.255007,0.07892185787743404,1267,100962,0.7892185787743404,0.009904745848436316
2020-06-30,3745,3.653474,787,47,2911,21.014686,1.255007,0.07892185787743404,1267,100962,0.7892185787743404,0.009904745848436316
2020-06-29,3613,5.365996,773,47,2793,21.394963,1.300858,0.07614009946893703,1313,100962,0.7614009946893704,0.009904745848436316
2020-06-28,3429,0,699,45,2685,20.384952,1.312336,0.0722624968389109,1384,105449,0.7226249683891091,0.009483267301694345
2020-06-27,3429,2.664671,699,45,2685,20.384952,1.312336,0.0722624968389109,1384,105449,0.7226249683891091,0.009483267301694345
2020-06-26,3340,2.959309,661,40,2639,19.790419,1.197605,0.07038691730590912,1421,118630,0.7038691730590914,0.008429570934839417
2020-06-25,3244,4.678929,607,40,2597,18.711467,1.233046,0.06836382028154767,1463,118630,0.6836382028154767,0.008429570934839417
2020-06-24,3099,1.573255,572,38,2489,18.457567,1.226202,0.06530810081766839,1531,124874,0.6530810081766838,0.008008092388097446
2020-06-23,3051,2.969963,522,37,2492,17.109145,1.212717,0.06429655230548766,1555,128249,0.6429655230548765,0.007797353114726461
2020-06-22,2963,5.519943,495,30,2438,16.706041,1.012487,0.06244204669982298,1601,158173,0.6244204669982298,0.006322178201129563
2020-06-21,2808,4.54207,472,23,2313,16.809117,0.819088,0.059175587962572704,1690,206313,0.5917558796257271,0.004847003287532665
2020-06-20,2686,3.109405,420,19,2247,15.636634,0.707372,0.05660456882744668,1767,249747,0.5660456882744669,0.004004046194048723
2020-06-19,2605,0,417,19,2169,16.007678,0.729367,0.0548975807131417,1822,249747,0.548975807131417,0.004004046194048723
2020-06-18,2605,1.599064,417,19,2169,16.007678,0.729367,0.0548975807131417,1822,249747,0.548975807131417,0.004004046194048723
2020-06-17,2564,6.390041,402,18,2144,15.678627,0.702028,0.05403354969232066,1851,263622,0.5403354969232066,0.003793306920677738
2020-06-16,2410,8.460846,396,14,2000,16.431535,0.580913,0.050788164882407484,1969,338943,0.5078816488240748,0.0029503498271937958
2020-06-15,2222,8.02139,369,7,1846,16.606661,0.315032,0.04682626654303296,2136,677886,0.46826266543032963,0.0014751749135968979
2020-06-14,2057,0,363,7,1687,17.647059,0.340301,0.0433490685324117,2307,677886,0.433490685324117,0.0014751749135968979
2020-06-13,2057,0.636008,363,7,1687,17.647059,0.340301,0.0433490685324117,2307,677886,0.433490685324117,0.0014751749135968979
2020-06-12,2044,4.713115,360,7,1677,17.612524,0.342466,0.04307510747702942,2322,677886,0.43075107477029423,0.0014751749135968979
2020-06-11,1952,3.389831,38,5,1909,1.946721,0.256148,0.041136306162016356,2431,949040,0.41136306162016356,0.001053696366854927
2020-06-10,1888,2.054054,38,5,1845,2.012712,0.264831,0.03978757481244204,2513,949040,0.3978757481244205,0.001053696366854927
2020-06-09,1850,0,38,5,1807,2.054054,0.27027,0.0389867655736323,2565,949040,0.38986765573632304,0.001053696366854927
2020-06-08,1850,13.219094,38,5,1807,2.054054,0.27027,0.0389867655736323,2565,949040,0.38986765573632304,0.001053696366854927
2020-06-07,1634,4.076433,38,5,1591,2.325581,0.305998,0.03443479726881902,2904,949040,0.3443479726881902,0.001053696366854927
2020-06-06,1570,8.201241,37,5,1528,2.356688,0.318471,0.03308606591924471,3022,949040,0.3308606591924471,0.001053696366854927
2020-06-05,1451,12.65528,29,4,1418,1.998622,0.275672,0.030578268566129985,3270,1186300,0.30578268566129985,0.0008429570934839417
2020-06-04,1288,9.803922,23,4,1261,1.785714,0.310559,0.027143218410182923,3684,1186300,0.27143218410182923,0.0008429570934839417
2020-06-03,1173,9.728718,23,4,1146,1.960784,0.341006,0.02471971676641659,4045,1186300,0.2471971676641659,0.0008429570934839417
2020-06-02,1069,0,23,4,1042,2.151543,0.374181,0.022528028323358342,4439,1186300,0.22528028323358343,0.0008429570934839417
2020-06-01,1069,5.736894,23,4,1042,2.151543,0.374181,0.022528028323358342,4439,1186300,0.22528028323358343,0.0008429570934839417
2020-05-31,1011,5.093555,23,2,986,2.274975,0.197824,0.021305740537806626,4694,2372600,0.21305740537806628,0.00042147854674197085
2020-05-30,962,10.06865,23,1,938,2.390852,0.10395,0.020273118098288797,4933,4745200,0.20273118098288798,0.00021073927337098542
2020-05-29,874,15.761589,23,1,850,2.631579,0.114416,0.018418612492624126,5429,4745200,0.18418612492624126,0.00021073927337098542
2020-05-28,755,7.549858,23,1,731,3.046358,0.13245,0.0159108151395094,6285,4745200,0.159108151395094,0.00021073927337098542
2020-05-27,702,4.61997,23,1,678,3.276353,0.14245,0.014793896990643176,6760,4745200,0.14793896990643177,0.00021073927337098542
2020-05-26,671,2.91411,22,1,648,3.278689,0.149031,0.01414060524319312,7072,4745200,0.14140605243193122,0.00021073927337098542
2020-05-25,652,7.94702,22,1,629,3.374233,0.153374,0.01374020062378825,7278,4745200,0.13740200623788248,0.00021073927337098542
2020-05-24,604,9.42029,22,1,581,3.642384,0.165563,0.012728652111607518,7856,4745200,0.1272865211160752,0.00021073927337098542
2020-05-23,552,15.240084,18,1,533,3.26087,0.181159,0.011632807890078395,8596,4745200,0.11632807890078395,0.00021073927337098542
2020-05-22,479,9.862385,18,0,461,3.757829,0,0.010094411194470201,9906,,0.10094411194470201,0
2020-05-21,436,4.30622,18,0,418,4.12844,0,0.009188232318974964,10883,,0.09188232318974965,0
2020-05-20,418,14.20765,18,0,400,4.30622,0,0.00880890162690719,11352,,0.08808901626907191,0
2020-05-19,366,11.926606,18,0,348,4.918033,0,0.007713057405378066,12965,,0.07713057405378067,0
2020-05-18,327,0,13,0,314,3.975535,0,0.006891174239231223,14511,,0.06891174239231224,0
2020-05-17,327,0,13,0,314,3.975535,0,0.006891174239231223,14511,,0.06891174239231224,0
2020-05-16,327,8.637874,13,0,314,3.975535,0,0.006891174239231223,14511,,0.06891174239231224,0
2020-05-15,301,110.48951,13,0,288,4.318937,0,0.006343252128466661,15765,,0.06343252128466662,0
2020-05-14,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-13,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-12,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-11,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-10,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-09,143,0,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-08,143,52.12766,10,0,133,6.993007,0,0.0030135716092050914,33183,,0.030135716092050915,0
2020-05-07,94,0,10,0,84,10.638298,0,0.001980949169687263,50481,,0.01980949169687263,0
2020-05-06,94,10.588235,10,0,84,10.638298,0,0.001980949169687263,50481,,0.01980949169687263,0
2020-05-05,85,0,10,0,75,11.764706,0,0.001791283823653376,55826,,0.01791283823653376,0
2020-05-04,85,18.055556,10,0,75,11.764706,0,0.001791283823653376,55826,,0.01791283823653376,0
2020-05-03,72,0,10,0,62,13.888889,0,0.001517322768271095,65906,,0.015173227682710951,0
2020-05-02,72,0,10,0,62,13.888889,0,0.001517322768271095,65906,,0.015173227682710951,0
2020-05-01,72,44,10,0,62,13.888889,0,0.001517322768271095,65906,,0.015173227682710951,0
2020-04-30,50,0,10,0,40,20,0,0.001053696366854927,94904,,0.010536963668549271,0
2020-04-29,50,0,10,0,40,20,0,0.001053696366854927,94904,,0.010536963668549271,0
2020-04-28,50,163.157895,10,0,40,20,0,0.001053696366854927,94904,,0.010536963668549271,0
2020-04-27,19,0,10,0,9,52.631579,0,0.00040040461940487227,249747,,0.004004046194048723,0
2020-04-26,19,18.75,10,0,9,52.631579,0,0.00040040461940487227,249747,,0.004004046194048723,0
2020-04-25,16,0,10,0,6,62.5,0,0.0003371828373935767,296575,,0.003371828373935767,0
2020-04-24,16,0,10,0,6,62.5,0,0.0003371828373935767,296575,,0.003371828373935767,0
2020-04-23,16,14.285714,10,0,6,62.5,0,0.0003371828373935767,296575,,0.003371828373935767,0
2020-04-22,14,0,10,0,4,71.428571,0,0.00029503498271937957,338943,,0.0029503498271937958,0
2020-04-21,14,16.666667,10,0,4,71.428571,0,0.00029503498271937957,338943,,0.0029503498271937958,0
2020-04-20,12,0,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-19,12,0,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-18,12,0,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-17,12,0,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-16,12,0,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-15,12,9.090909,4,0,8,33.333333,0,0.0002528871280451825,395433,,0.002528871280451825,0
2020-04-14,11,0,4,0,7,36.363636,0,0.00023181320070808395,431382,,0.0023181320070808395,0
2020-04-13,11,37.5,3,0,8,27.272727,0,0.00023181320070808395,431382,,0.0023181320070808395,0
2020-04-12,8,0,0,0,8,0,0,0.00016859141869678834,593150,,0.0016859141869678834,0
