"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,4815,7.694028,728,37,4050,15.119418,0.768432,0.02540628957365977,3936,512216
2020-04-05,4471,7.450132,618,34,3819,13.822411,0.760456,0.023591177712114816,4239,557412
2020-04-04,4161,11.345999,528,27,3606,12.689257,0.648882,0.021955466441536512,4555,701926
2020-04-03,3737,9.782609,427,22,3288,11.426278,0.588708,0.019718235542422965,5071,861455
2020-04-02,3404,12.30617,335,18,3051,9.841363,0.52879,0.017961165048543688,5568,1052889
2020-04-01,3031,10.701242,234,16,2781,7.720224,0.527879,0.015993035035880118,6253,1184500
2020-03-31,2738,11.800735,156,12,2570,5.697589,0.438276,0.014447024060785142,6922,1579333
2020-03-30,2449,14.492754,156,8,2285,6.369947,0.326664,0.012922119037568595,7739,2369000
2020-03-29,2139,12.048193,75,7,2057,3.506311,0.327256,0.01128640776699029,8860,2707429
2020-03-28,1909,18.571429,61,6,1842,3.19539,0.314301,0.010072815533980583,9928,3158667
2020-03-27,1610,23.277182,43,5,1562,2.670807,0.310559,0.00849514563106796,11771,3790400
2020-03-26,1306,14.360771,22,4,1280,1.684533,0.306279,0.0068910932883073026,14511,4738000
2020-03-25,1142,23.861171,22,3,1117,1.926445,0.262697,0.006025749261291684,16595,6317333
2020-03-24,922,23.592493,17,2,903,1.843818,0.21692,0.00486492190797805,20555,9476000
2020-03-23,746,18.037975,11,2,733,1.474531,0.268097,0.003936260025327142,25405,9476000
2020-03-22,632,17.690875,8,1,623,1.265823,0.158228,0.0033347403967918954,29987,18952000
2020-03-21,537,23.732719,6,0,531,1.117318,0,0.0028334740396791895,35292,
2020-03-20,434,82.352941,6,0,428,1.382488,0,0.0022899957788096244,43668,
2020-03-19,238,0,0,0,238,0,0,0.0012558041367665682,79630,
2020-03-18,238,18.40796,0,0,238,0,0,0.0012558041367665682,79630,
2020-03-17,201,29.677419,0,0,201,0,0,0.0010605740818910932,94289,
2020-03-16,155,109.459459,0,0,155,0,0,0.0008178556352891515,122271,
2020-03-15,74,21.311475,0,0,74,0,0,0.0003904601097509498,256108,
2020-03-14,61,41.860465,0,0,61,0,0,0.0003218657661460532,310689,
2020-03-13,43,86.956522,0,0,43,0,0,0.00022688898269311946,440744,
2020-03-12,23,0,0,0,23,0,0,0.00012135922330097087,824000,
2020-03-11,23,76.923077,0,0,23,0,0,0.00012135922330097087,824000,
2020-03-10,13,62.5,0,0,13,0,0,6.859434360489658e-05,1457846,
2020-03-09,8,0,0,0,8,0,0,4.2211903756859436e-05,2369000,
2020-03-08,8,100,0,0,8,0,0,4.2211903756859436e-05,2369000,
2020-03-07,4,0,0,0,4,0,0,2.1105951878429718e-05,4738000,
2020-03-06,4,0,0,0,4,0,0,2.1105951878429718e-05,4738000,
2020-03-05,4,300,0,0,4,0,0,2.1105951878429718e-05,4738000,
2020-03-04,1,0,0,0,1,0,0,5.2764879696074294e-06,18952000,
2020-03-03,1,,0,0,1,0,0,5.2764879696074294e-06,18952000,

