"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-28,714143,0.5993903,670336,18174,25633,93.8657944,2.5448685,3.7681669480793585,27,1043,37.68166948079358,0.9589489235964542
2021-01-27,709888,0.479547,666799,18040,25049,93.9301693,2.541246,3.745715491768679,27,1051,37.457154917686786,0.9518784297171803
2021-01-26,706500,0.4724266,662460,18023,26017,93.766454,2.551026,3.7278387505276487,27,1052,37.27838750527649,0.950981426762347
2021-01-25,703178,0.581883,658324,17999,26855,93.6212453,2.5596648,3.710310257492613,27,1053,37.103102574926126,0.9497150696496413
2021-01-24,699110,0.6424846,654101,17933,27076,93.561957,2.565119,3.68884550443225,27,1057,36.8884550443225,0.9462325875897003
2021-01-23,694647,0.66385,649802,17854,26991,93.544203,2.570226,3.665296538623892,27,1061,36.65296538623892,0.9420641620937105
2021-01-22,690066,0.723829,645035,17786,27245,93.4743923,2.5774346,3.64112494723512,27,1066,36.4112494723512,0.9384761502743774
2021-01-21,685107,0.641508,642004,17702,25401,93.708574,2.58383,3.614958843393837,28,1071,36.14958843393837,0.9340439003799071
2021-01-20,680740,0.5300147,639091,17594,24055,93.881805,2.58454,3.5919164204305614,28,1077,35.919164204305616,0.9283452933727311
2021-01-19,677151,0.504787,634960,17573,24618,93.7693365,2.5951376,3.5729791051076405,28,1078,35.729791051076404,0.9272372308991136
2021-01-18,673750,0.584923,630818,17547,25385,93.627904,2.604378,3.5550337695230056,28,1080,35.550337695230056,0.9258653440270156
2021-01-17,669832,0.6519978,626528,17477,25827,93.535095,2.6091617,3.5343604896580834,28,1084,35.343604896580835,0.9221718024482904
2021-01-16,665493,0.652319,622321,17435,25737,93.5127792,2.6198623,3.511465808357957,28,1087,35.11465808357957,0.9199556775010553
2021-01-15,661180,0.680359,617372,17369,26439,93.37427,2.62697,3.4887083157450403,29,1091,34.8870831574504,0.9164731954411144
2021-01-14,656712,0.641661,614267,17294,25151,93.5367406,2.633422,3.4651329674968343,29,1096,34.65132967496834,0.9125158294639089
2021-01-13,652525,0.5222334,611564,17204,23757,93.722693,2.636527,3.4430403123680877,29,1102,34.430403123680875,0.9077669902912622
2021-01-12,649135,0.5020963,608804,17182,23149,93.7869627,2.646907,3.4251530181511187,29,1103,34.251530181511185,0.9066061629379485
2021-01-11,645892,0.6182985,606055,17162,22675,93.8322506,2.6571006,3.4080413676656818,29,1104,34.08041367665682,0.9055508653440271
2021-01-10,641923,0.6555943,602861,17096,21966,93.9148465,2.6632478,3.3870989869143098,30,1109,33.870989869143095,0.9020683832840861
2021-01-09,637742,0.688527,599604,17037,21101,94.0198387,2.6714565,3.365037990713381,30,1112,33.65037990713381,0.8989552553820177
2021-01-08,633381,0.6683345,595799,16974,20608,94.0664466,2.6799036,3.342027226677923,30,1117,33.42027226677923,0.8956310679611651
2021-01-07,629176,0.5904237,593235,16913,19028,94.2876079,2.6881191,3.3198395947657238,30,1121,33.19839594765724,0.8924124102997045
2021-01-06,625483,0.3822815,591081,16816,17586,94.4999305,2.6884823,3.3003535246939637,30,1127,33.003535246939634,0.8872942169691853
2021-01-05,623101,0.3963644,588991,16788,17322,94.5257671,2.6942663,3.287784930350359,30,1129,32.87784930350359,0.8858168003376953
2021-01-04,620641,0.396318,586900,16767,16974,94.5635238,2.7015618,3.2748047699451246,31,1130,32.74804769945125,0.8847087378640777
2021-01-03,618191,0.37165,584457,16767,16967,94.5431105,2.7122685,3.261877374419586,31,1130,32.61877374419586,0.8847087378640777
2021-01-02,615902,0.5449227,581961,16724,17217,94.4892207,2.715367,3.249799493457155,31,1133,32.49799493457155,0.8824398480371465
2021-01-01,612564,0.5896813,579203,16660,16701,94.5538752,2.7197158,3.2321865766146054,31,1138,32.321865766146054,0.8790628957365977
2020-12-31,608973,0.333306,577382,16608,14983,94.8124137,2.7272145,3.213238708315745,31,1141,32.132387083157454,0.8763191219924018
