"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,15331,0.788903,13675,124,1532,89.198356,0.808819,0.0011147518144801686,89706,11090998,0.011147518144801687,9.016321505155627e-05
2020-04-11,15211,0.48223,13613,124,1474,89.494445,0.8152,0.0011060263420558246,90414,11090998,0.011060263420558245,9.016321505155627e-05
2020-04-10,15138,0.384615,13555,124,1459,89.542872,0.819131,0.0011007183463310152,90850,11090998,0.011007183463310153,9.016321505155627e-05
2020-04-09,15080,0.493136,13492,124,1464,89.469496,0.822281,0.001096501034659249,91199,11090998,0.010965010346592488,9.016321505155627e-05
2020-04-08,15006,0.610124,13425,124,1457,89.464214,0.826336,0.0010911203266642366,91649,11090998,0.010911203266642367,9.016321505155627e-05
2020-04-07,14915,0.356614,13337,123,1455,89.420047,0.824673,0.0010845035100757756,92208,11181168,0.010845035100757757,8.943609234952759e-05
2020-04-06,14862,0.425704,13296,123,1443,89.46306,0.827614,0.0010806497597550236,92537,11181168,0.010806497597550237,8.943609234952759e-05
2020-04-05,14799,0.400271,13262,123,1414,89.614163,0.831137,0.0010760688867322429,92931,11181168,0.01076068886732243,8.943609234952759e-05
2020-04-04,14740,0.210755,13184,123,1433,89.443691,0.834464,0.0010717788627902737,93303,11181168,0.010717788627902737,8.943609234952759e-05
2020-04-03,14709,0.539986,13148,123,1438,89.38745,0.836223,0.0010695247824139848,93499,11181168,0.010695247824139848,8.943609234952759e-05
2020-04-02,14630,0.487671,13094,123,1413,89.501025,0.840738,0.0010637805130679582,94004,11181168,0.010637805130679584,8.943609234952759e-05
2020-04-01,14559,0.55947,13079,123,1357,89.834467,0.844838,0.0010586179418835546,94463,11181168,0.010586179418835547,8.943609234952759e-05
2020-03-31,14478,0.562617,13053,122,1303,90.15748,0.842658,0.0010527282479971224,94991,11272817,0.010527282479971223,8.870896964749891e-05
2020-03-30,14397,0.530689,13034,122,1241,90.53275,0.847399,0.00104683855411069,95526,11272817,0.0104683855411069,8.870896964749891e-05
2020-03-29,14321,0.866319,13012,122,1187,90.859577,0.851896,0.001041312421575272,96033,11272817,0.01041312421575272,8.870896964749891e-05
2020-03-28,14198,0.72361,13002,122,1074,91.576278,0.859276,0.0010323688123403192,96865,11272817,0.010323688123403193,8.870896964749891e-05
2020-03-27,14096,0.822545,12988,122,986,92.139614,0.865494,0.0010249521607796268,97566,11272817,0.010249521607796267,8.870896964749891e-05
2020-03-26,13981,0.873016,12980,122,879,92.840283,0.872613,0.001016590249706297,98368,11272817,0.01016590249706297,8.870896964749891e-05
2020-03-25,13860,0.507614,12962,122,776,93.520924,0.880231,0.0010077920650117499,99227,11272817,0.0100779206501175,8.870896964749891e-05
2020-03-24,13790,0.686332,12956,121,713,93.952139,0.877447,0.0010027022060975492,99731,11365981,0.010027022060975492,8.798184694547024e-05
2020-03-23,13696,0.728102,12937,121,638,94.458236,0.88347,0.0009958672526984797,100415,11365981,0.009958672526984796,8.798184694547024e-05
2020-03-22,13597,0.681229,12929,121,547,95.087152,0.889902,0.0009886687379483956,101146,11365981,0.009886687379483956,8.798184694547024e-05
2020-03-21,13505,0.408922,12911,120,474,95.601629,0.88856,0.0009819792090897319,101835,11460698,0.009819792090897318,8.725472424344156e-05
2020-03-20,13450,0.703804,12884,120,446,95.791822,0.892193,0.000977980034228574,102252,11460698,0.009779800342285741,8.725472424344156e-05
2020-03-19,13356,0.405954,12853,119,384,96.233902,0.890985,0.0009711450808295045,102971,11557006,0.009711450808295045,8.652760154141288e-05
2020-03-18,13302,0.324308,12828,119,355,96.436626,0.894602,0.0009672186182385496,103389,11557006,0.009672186182385497,8.652760154141288e-05
2020-03-17,13259,0.181337,12795,119,345,96.50049,0.897504,0.0009640919906198263,103725,11557006,0.009640919906198264,8.652760154141288e-05
2020-03-16,13235,0.196835,12768,118,349,96.471477,0.891575,0.0009623468961349575,103913,11654947,0.009623468961349574,8.58004788393842e-05
2020-03-15,13209,0.166831,12729,118,362,96.366114,0.89333,0.0009604563771096829,104117,11654947,0.009604563771096829,8.58004788393842e-05
2020-03-14,13187,0.212782,12700,118,369,96.306969,0.894821,0.0009588567071652198,104291,11654947,0.009588567071652199,8.58004788393842e-05
2020-03-13,13159,0.060832,12643,118,398,96.078729,0.896725,0.0009568207635995395,104513,11654947,0.009568207635995396,8.58004788393842e-05
2020-03-12,13151,0.022817,12583,116,452,95.680937,0.882062,0.0009562390654379166,104576,11855894,0.009562390654379166,8.434623343532684e-05
2020-03-11,13148,0.797301,12510,115,523,95.147551,0.874658,0.000956020928627308,104600,11958989,0.00956020928627308,8.361911073329816e-05
2020-03-10,13044,0.400246,12380,113,551,94.909537,0.866299,0.0009484588525262097,105434,12170652,0.009484588525262096,8.216486532924079e-05
2020-03-09,12992,0,12247,112,633,94.265702,0.862069,0.0009446778144756605,105856,12279319,0.009446778144756605,8.143774262721213e-05
2020-03-08,12992,0.046204,12085,111,796,93.018781,0.854372,0.0009446778144756605,105856,12389943,0.009446778144756605,8.071061992518344e-05
