"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,487,0.828157,442,1,44,90.759754,0.205339,0.0012628030597692209,79189,38565000,0.012628030597692208,2.5930247633864902e-05
2020-11-27,483,0.4158,440,1,42,91.097308,0.207039,0.0012524309607156749,79845,38565000,0.012524309607156748,2.5930247633864902e-05
2020-11-26,481,0.208333,438,1,42,91.060291,0.2079,0.001247244911188902,80177,38565000,0.012472449111889019,2.5930247633864902e-05
2020-11-25,480,0.208768,437,1,42,91.041667,0.208333,0.0012446518864255153,80344,38565000,0.012446518864255154,2.5930247633864902e-05
2020-11-24,479,0.209205,437,1,41,91.231733,0.208768,0.001242058861662129,80511,38565000,0.012420588616621289,2.5930247633864902e-05
2020-11-23,478,0.843882,434,1,43,90.794979,0.209205,0.0012394658368987423,80680,38565000,0.012394658368987423,2.5930247633864902e-05
2020-11-22,474,0.211416,434,1,39,91.561181,0.21097,0.0012290937378451965,81361,38565000,0.012290937378451964,2.5930247633864902e-05
2020-11-21,473,0.852878,434,1,38,91.754757,0.211416,0.00122650071308181,81533,38565000,0.012265007130818099,2.5930247633864902e-05
2020-11-20,469,0,434,1,34,92.537313,0.21322,0.001216128614028264,82228,38565000,0.01216128614028264,2.5930247633864902e-05
2020-11-19,469,1.295896,433,1,35,92.324094,0.21322,0.001216128614028264,82228,38565000,0.01216128614028264,2.5930247633864902e-05
2020-11-18,463,0.433839,431,1,31,93.088553,0.215983,0.001200570465447945,83294,38565000,0.01200570465447945,2.5930247633864902e-05
2020-11-17,461,0,431,1,29,93.492408,0.21692,0.0011953844159211721,83655,38565000,0.01195384415921172,2.5930247633864902e-05
2020-11-16,461,0,430,1,30,93.275488,0.21692,0.0011953844159211721,83655,38565000,0.01195384415921172,2.5930247633864902e-05
