"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-11,2076,0.048193,2025,8,43,97.543353,0.385356,0.0018297197250132205,54653,14182500,0.018297197250132204,7.050943063634761e-05
2021-01-10,2075,0.338491,2024,8,43,97.542169,0.385542,0.0018288383571302663,54680,14182500,0.018288383571302663,7.050943063634761e-05
2021-01-09,2068,0.048379,2022,8,38,97.775629,0.386847,0.0018226687819495858,54865,14182500,0.01822668781949586,7.050943063634761e-05
2021-01-08,2067,0.096852,2022,8,37,97.822932,0.387034,0.0018217874140666315,54891,14182500,0.018217874140666314,7.050943063634761e-05
2021-01-07,2065,0.14549,2020,8,37,97.820823,0.387409,0.0018200246783007228,54944,14182500,0.01820024678300723,7.050943063634761e-05
2021-01-06,2062,0.097087,2018,8,36,97.866149,0.387973,0.0018173805746518597,55024,14182500,0.018173805746518598,7.050943063634761e-05
2021-01-05,2060,0.145843,2015,8,37,97.815534,0.38835,0.001815617838885951,55078,14182500,0.01815617838885951,7.050943063634761e-05
2021-01-04,2057,0.194837,2014,8,35,97.909577,0.388916,0.001812973735237088,55158,14182500,0.01812973735237088,7.050943063634761e-05
2021-01-03,2053,0.097513,2012,8,33,98.002923,0.389674,0.0018094482637052707,55265,14182500,0.018094482637052704,7.050943063634761e-05
2021-01-02,2051,0.244379,2012,8,31,98.098489,0.390054,0.001807685527939362,55319,14182500,0.01807685527939362,7.050943063634761e-05
2021-01-01,2046,0,2011,8,27,98.289345,0.391007,0.0018032786885245902,55455,14182500,0.018032786885245903,7.050943063634761e-05
2020-12-31,2046,0.097847,2010,8,28,98.240469,0.391007,0.0018032786885245902,55455,14182500,0.018032786885245903,7.050943063634761e-05
2020-12-30,2044,0.146987,2008,8,28,98.238748,0.391389,0.0018015159527586815,55509,14182500,0.018015159527586814,7.050943063634761e-05
2020-12-29,2041,0.04902,2008,8,25,98.383146,0.391965,0.0017988718491098185,55590,14182500,0.017988718491098184,7.050943063634761e-05
2020-12-28,2040,0.049044,2008,8,24,98.431373,0.392157,0.001797990481226864,55618,14182500,0.017979904812268643,7.050943063634761e-05
2020-12-27,2039,0.049068,2003,8,28,98.234429,0.392349,0.0017971091133439099,55645,14182500,0.017971091133439098,7.050943063634761e-05
2020-12-26,2038,0,1999,8,31,98.086359,0.392542,0.0017962277454609554,55672,14182500,0.017962277454609554,7.050943063634761e-05
2020-12-25,2038,0.049092,1997,8,33,97.988224,0.392542,0.0017962277454609554,55672,14182500,0.017962277454609554,7.050943063634761e-05
2020-12-24,2037,0.049116,1995,8,34,97.938144,0.392734,0.0017953463775780012,55700,14182500,0.01795346377578001,7.050943063634761e-05
2020-12-23,2036,0.04914,1993,8,35,97.888016,0.392927,0.0017944650096950467,55727,14182500,0.017944650096950468,7.050943063634761e-05
2020-12-22,2035,0.049164,1986,8,41,97.592138,0.39312,0.0017935836418120925,55754,14182500,0.017935836418120923,7.050943063634761e-05
2020-12-21,2034,0.14771,1982,8,44,97.443461,0.393314,0.001792702273929138,55782,14182500,0.01792702273929138,7.050943063634761e-05
2020-12-20,2031,0.147929,1982,8,41,97.587395,0.393895,0.001790058170280275,55864,14182500,0.01790058170280275,7.050943063634761e-05
2020-12-19,2028,0.049334,1979,8,41,97.583826,0.394477,0.001787414066631412,55947,14182500,0.01787414066631412,7.050943063634761e-05
2020-12-18,2027,0.049358,1977,8,42,97.5333,0.394672,0.0017865326987484577,55974,14182500,0.017865326987484578,7.050943063634761e-05
2020-12-17,2026,0.197824,1973,8,45,97.384008,0.394867,0.0017856513308655033,56002,14182500,0.017856513308655033,7.050943063634761e-05
2020-12-16,2022,0.04948,1973,8,41,97.576657,0.395648,0.0017821258593336859,56113,14182500,0.01782125859333686,7.050943063634761e-05
2020-12-15,2021,0.148662,1973,8,40,97.624938,0.395844,0.0017812444914507316,56141,14182500,0.017812444914507314,7.050943063634761e-05
2020-12-14,2018,0.049579,1973,8,37,97.770069,0.396432,0.0017786003878018685,56224,14182500,0.017786003878018684,7.050943063634761e-05
2020-12-13,2017,0.049603,1973,8,36,97.818542,0.396629,0.0017777190199189143,56252,14182500,0.017777190199189143,7.050943063634761e-05
2020-12-12,2016,0.049628,1972,8,36,97.81746,0.396825,0.0017768376520359598,56280,14182500,0.017768376520359598,7.050943063634761e-05
2020-12-11,2015,0.099354,1970,8,37,97.766749,0.397022,0.0017759562841530056,56308,14182500,0.017759562841530054,7.050943063634761e-05
2020-12-10,2013,0.149254,1969,8,36,97.814208,0.397417,0.0017741935483870969,56364,14182500,0.017741935483870968,7.050943063634761e-05
2020-12-09,2010,0.049776,1968,8,34,97.910448,0.39801,0.0017715494447382337,56448,14182500,0.017715494447382338,7.050943063634761e-05
2020-12-08,2009,0.099651,1966,8,35,97.859632,0.398208,0.0017706680768552795,56476,14182500,0.017706680768552793,7.050943063634761e-05
2020-12-07,2007,0.149701,1964,8,35,97.857499,0.398605,0.0017689053410893708,56532,14182500,0.017689053410893708,7.050943063634761e-05
2020-12-06,2004,0.0999,1960,8,36,97.804391,0.399202,0.0017662612374405077,56617,14182500,0.017662612374405078,7.050943063634761e-05
2020-12-05,2002,0.1,1958,8,36,97.802198,0.3996,0.001764498501674599,56673,14182500,0.01764498501674599,7.050943063634761e-05
