"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-22,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-21,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-20,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-19,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-18,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-17,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-16,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-15,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-14,1276,0,1254,22,0,98.275862,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-13,1276,0,1253,22,1,98.197492,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-12,1276,0,1253,22,1,98.197492,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-11,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-10,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-09,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-08,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-07,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-06,1276,0,1252,22,2,98.119122,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
2020-04-05,1276,0,1251,22,3,98.040752,1.724138,0.001334867663981588,74914,4345000,0.013348676639815881,0.00023014959723820482
