"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,67803,0,64014,3212,577,94.411752,4.737254,0.1159025641025641,863,18213
2020-04-05,67803,0,63945,3210,648,94.309986,4.734304,0.1159025641025641,863,18224
2020-04-04,67803,0.001475,63762,3207,834,94.040087,4.729879,0.1159025641025641,863,18241
2020-04-03,67802,0,63612,3203,987,93.820241,4.724049,0.1159008547008547,863,18264
2020-04-02,67802,0,63471,3199,1132,93.612283,4.71815,0.1159008547008547,863,18287
2020-04-01,67802,0.001475,63326,3193,1283,93.398425,4.709301,0.1159008547008547,863,18321
2020-03-31,67801,0,63153,3187,1461,93.144644,4.700521,0.1158991452991453,863,18356
2020-03-30,67801,0,62889,3186,1726,92.755269,4.699046,0.1158991452991453,863,18362
2020-03-29,67801,0,62570,3182,2049,92.284775,4.693146,0.1158991452991453,863,18385
2020-03-28,67801,0,62098,3177,2526,91.58862,4.685772,0.1158991452991453,863,18414
2020-03-27,67801,0,61732,3174,2895,91.048805,4.681347,0.1158991452991453,863,18431
2020-03-26,67801,0,61201,3169,3431,90.26563,4.673972,0.1158991452991453,863,18460
2020-03-25,67801,0,60811,3163,3827,89.690418,4.665123,0.1158991452991453,863,18495
2020-03-24,67801,0.001475,60324,3160,4317,88.972139,4.660698,0.1158991452991453,863,18513
2020-03-23,67800,0,59882,3153,4765,88.321534,4.650442,0.1158974358974359,863,18554
2020-03-22,67800,0,59433,3144,5223,87.659292,4.637168,0.1158974358974359,863,18607
2020-03-21,67800,0,58946,3139,5715,86.941003,4.629794,0.1158974358974359,863,18637
2020-03-20,67800,0,58382,3133,6285,86.109145,4.620944,0.1158974358974359,863,18672
2020-03-19,67800,0,57682,3130,6988,85.076696,4.616519,0.1158974358974359,863,18690
2020-03-18,67800,0.001475,56927,3122,7751,83.963127,4.60472,0.1158974358974359,863,18738
2020-03-17,67799,0.001475,56003,3111,8685,82.601513,4.588563,0.11589572649572649,863,18804
2020-03-16,67798,0.0059,55142,3099,9557,81.332783,4.570931,0.11589401709401709,863,18877
2020-03-15,67794,0.005901,54288,3085,10421,80.077883,4.55055,0.11588717948717948,863,18963
2020-03-14,67790,0.005901,52960,3075,11755,78.123617,4.536067,0.11588034188034188,863,19024
2020-03-13,67786,0.007377,51553,3062,13171,76.052577,4.517157,0.11587350427350428,863,19105
2020-03-12,67781,0.011804,50318,3056,14407,74.236143,4.508638,0.11586495726495727,863,19143
2020-03-11,67773,0.019185,49134,3046,15593,72.497897,4.494415,0.11585128205128205,863,19206
2020-03-10,67760,0.025095,47743,3024,16993,70.458973,4.46281,0.11582905982905983,863,19345
2020-03-09,67743,0.05317,46488,3008,18247,68.624064,4.440311,0.1158,864,19448
2020-03-08,67707,0.060592,45235,2986,19486,66.809931,4.410179,0.11573846153846154,864,19591
2020-03-07,67666,0.10948,43500,2959,21207,64.286348,4.372949,0.11566837606837607,865,19770
2020-03-06,67592,0.186761,42033,2931,22628,62.186353,4.336312,0.11554188034188034,865,19959
2020-03-05,67466,0.199014,40592,2902,23972,60.166602,4.301426,0.11532649572649573,867,20159
2020-03-04,67332,0.171088,38557,2871,25904,57.264005,4.263946,0.1150974358974359,869,20376
2020-03-03,67217,0.169888,36208,2835,28174,53.867325,4.217683,0.1149008547008547,870,20635
2020-03-02,67103,0.292944,33934,2803,30366,50.570019,4.17716,0.11470598290598291,872,20870
2020-03-01,66907,0.859249,31536,2761,32610,47.134082,4.126624,0.11437094017094017,874,21188
2020-02-29,66337,0.641745,28993,2727,34617,43.705624,4.110828,0.11339658119658119,882,21452
2020-02-28,65914,0.484786,26403,2682,36829,40.056741,4.068938,0.11267350427350427,888,21812
2020-02-27,65596,0.627426,23383,2641,39572,35.646991,4.02616,0.11212991452991453,892,22151
2020-02-26,65187,0.618961,20969,2615,41603,32.167457,4.011536,0.11143076923076924,897,22371
2020-02-25,64786,0.776207,18971,2563,43252,29.282561,3.956102,0.11074529914529914,903,22825
2020-02-24,64287,0.316772,16748,2495,45044,26.051923,3.881033,0.10989230769230769,910,23447
2020-02-23,64084,0,15343,2346,46395,23.942014,3.66082,0.10954529914529915,913,24936
2020-02-22,64084,2.269318,15299,2346,46439,23.873354,3.66082,0.10954529914529915,913,24936
2020-02-21,62662,0.352327,11881,2144,48637,18.960455,3.421531,0.10711452991452991,934,27285
2020-02-20,62442,0.662572,11788,2144,48510,18.878319,3.433586,0.10673846153846153,937,27285
2020-02-19,62031,0.565805,10337,2029,49665,16.664249,3.270945,0.10603589743589743,943,28832
2020-02-18,61682,2.822184,9128,1921,50633,14.798483,3.114361,0.10543931623931624,948,30453
2020-02-17,59989,3.105772,7862,1789,50338,13.105736,2.982213,0.10254529914529914,975,32700
2020-02-16,58182,3.436506,6639,1696,49847,11.410746,2.914991,0.09945641025641026,1005,34493
2020-02-15,56249,3.387494,5623,1596,49030,9.996622,2.837384,0.09615213675213675,1040,36654
2020-02-14,54406,12.86147,4774,1457,48175,8.774767,2.678013,0.0930017094017094,1075,40151
2020-02-13,48206,44.476413,3459,1310,43437,7.175455,2.717504,0.08240341880341881,1214,44656
2020-02-12,33366,0,2686,1068,29612,8.050111,3.200863,0.05703589743589744,1753,54775
2020-02-11,33366,5.162632,2639,1068,29659,7.909249,3.200863,0.05703589743589744,1753,54775
2020-02-10,31728,7.077048,2222,974,28532,7.003278,3.069844,0.054235897435897434,1844,60062
2020-02-09,29631,9.339483,1795,871,26965,6.057845,2.939489,0.050651282051282054,1974,67164
2020-02-08,27100,8.604176,1439,780,24881,5.309963,2.878229,0.04632478632478632,2159,75000
2020-02-07,24953,12.848227,1115,699,23139,4.468401,2.801266,0.042654700854700855,2344,83691
2020-02-06,22112,12.443427,817,618,20677,3.694826,2.794863,0.037798290598290596,2646,94660
2020-02-05,19665,17.909821,633,549,18483,3.218917,2.791762,0.033615384615384616,2975,106557
2020-02-04,16678,23.339743,522,479,15677,3.129872,2.872047,0.028509401709401708,3508,122129
2020-02-03,13522,20.980585,386,414,12722,2.854607,3.061677,0.023114529914529915,4326,141304
2020-02-02,11177,56.256116,295,350,10532,2.639349,3.131431,0.019105982905982907,5234,167143
2020-02-01,7153,23.200138,168,249,6736,2.348665,3.481057,0.012227350427350427,8178,234940
2020-01-31,5806,18.417296,141,204,5461,2.428522,3.513607,0.009924786324786324,10076,286765
2020-01-30,4903,37.957231,90,162,4651,1.835611,3.3041,0.008381196581196581,11931,361111
2020-01-29,3554,0,88,125,3341,2.476083,3.517164,0.006075213675213675,16460,468000
2020-01-28,3554,149.754041,80,125,3349,2.250985,3.517164,0.006075213675213675,16460,468000
2020-01-27,1423,34.499055,45,76,1302,3.162333,5.340829,0.0024324786324786325,41110,769737
2020-01-26,1058,39.027595,42,52,964,3.969754,4.914934,0.0018085470085470086,55293,1125000
2020-01-25,761,38.615665,32,40,689,4.204993,5.256242,0.0013008547008547008,76873,1462500
2020-01-24,549,23.648649,31,24,494,5.64663,4.371585,0.0009384615384615385,106557,2437500
2020-01-23,444,0,28,17,399,6.306306,3.828829,0.000758974358974359,131757,3441176
2020-01-22,444,,28,17,399,6.306306,3.828829,0.000758974358974359,131757,3441176

