"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,168,0,162,6,0,96.428571,3.571429,0.001814725198755617,55105,1542933
2020-04-05,168,0,162,6,0,96.428571,3.571429,0.001814725198755617,55105,1542933
2020-04-04,168,0,162,6,0,96.428571,3.571429,0.001814725198755617,55105,1542933
2020-04-03,168,0,162,6,0,96.428571,3.571429,0.001814725198755617,55105,1542933
2020-04-02,168,0,162,6,0,96.428571,3.571429,0.001814725198755617,55105,1542933
2020-04-01,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-31,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-30,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-29,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-28,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-27,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-26,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-25,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-24,168,0,168,6,-6,100,3.571429,0.001814725198755617,55105,1542933
2020-03-23,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-22,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-21,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-20,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-19,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-18,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-17,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-16,168,0,161,6,1,95.833333,3.571429,0.001814725198755617,55105,1542933
2020-03-15,168,0,160,6,2,95.238095,3.571429,0.001814725198755617,55105,1542933
2020-03-14,168,0,160,6,2,95.238095,3.571429,0.001814725198755617,55105,1542933
2020-03-13,168,0,160,6,2,95.238095,3.571429,0.001814725198755617,55105,1542933
2020-03-12,168,0,160,6,2,95.238095,3.571429,0.001814725198755617,55105,1542933
2020-03-11,168,0,159,6,3,94.642857,3.571429,0.001814725198755617,55105,1542933
2020-03-10,168,0,159,6,3,94.642857,3.571429,0.001814725198755617,55105,1542933
2020-03-09,168,0,159,6,3,94.642857,3.571429,0.001814725198755617,55105,1542933
2020-03-08,168,0,159,6,3,94.642857,3.571429,0.001814725198755617,55105,1542933
2020-03-07,168,0,158,6,4,94.047619,3.571429,0.001814725198755617,55105,1542933
2020-03-06,168,0,158,6,4,94.047619,3.571429,0.001814725198755617,55105,1542933
2020-03-05,168,0,158,6,4,94.047619,3.571429,0.001814725198755617,55105,1542933
2020-03-04,168,0,158,5,5,94.047619,2.97619,0.001814725198755617,55105,1851520
2020-03-03,168,0,155,5,8,92.261905,2.97619,0.001814725198755617,55105,1851520
2020-03-02,168,0,151,5,12,89.880952,2.97619,0.001814725198755617,55105,1851520
2020-03-01,168,0,149,5,14,88.690476,2.97619,0.001814725198755617,55105,1851520
2020-02-29,168,0,148,5,15,88.095238,2.97619,0.001814725198755617,55105,1851520
2020-02-28,168,0,133,5,30,79.166667,2.97619,0.001814725198755617,55105,1851520
2020-02-27,168,0,131,5,32,77.97619,2.97619,0.001814725198755617,55105,1851520
2020-02-26,168,0,129,5,34,76.785714,2.97619,0.001814725198755617,55105,1851520
2020-02-25,168,0,124,5,39,73.809524,2.97619,0.001814725198755617,55105,1851520
2020-02-24,168,0,116,5,47,69.047619,2.97619,0.001814725198755617,55105,1851520
2020-02-23,168,0,106,5,57,63.095238,2.97619,0.001814725198755617,55105,1851520
2020-02-22,168,0,104,4,60,61.904762,2.380952,0.001814725198755617,55105,2314400
2020-02-21,168,0,95,4,69,56.547619,2.380952,0.001814725198755617,55105,2314400
2020-02-20,168,0,86,4,78,51.190476,2.380952,0.001814725198755617,55105,2314400
2020-02-19,168,3.067485,84,4,80,50,2.380952,0.001814725198755617,55105,2314400
2020-02-18,163,0,79,4,80,48.466258,2.453988,0.0017607155202212237,56795,2314400
2020-02-17,163,0.617284,59,4,100,36.196319,2.453988,0.0017607155202212237,56795,2314400
