"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,898,0.672646,472,13,413,52.561247,1.447661,0.002343899430114002,42664,2947094,0.02343899430114002,0.0003393172894374391
2020-04-18,892,2.293578,472,13,407,52.914798,1.457399,0.0023282386321399665,42951,2947094,0.023282386321399666,0.0003393172894374391
2020-04-17,872,1.277584,471,13,388,54.013761,1.490826,0.0022760359722265146,43936,2947094,0.022760359722265144,0.0003393172894374391
2020-04-16,861,2.378121,471,13,377,54.703833,1.509872,0.0022473245092741157,44497,2947094,0.022473245092741158,0.0003393172894374391
2020-04-15,841,2.686203,470,13,358,55.88585,1.545779,0.002195121849360664,45556,2947094,0.021951218493606636,0.0003393172894374391
2020-04-14,819,10.675676,470,13,336,57.387057,1.587302,0.0021376989234558664,46779,2947094,0.02137698923455866,0.0003393172894374391
2020-04-13,740,8.187135,470,13,257,63.513514,1.756757,0.0019314984167977303,51773,2947094,0.0193149841679773,0.0003393172894374391
2020-04-12,684,3.479576,470,13,201,68.71345,1.900585,0.001785330969040064,56012,2947094,0.01785330969040064,0.0003393172894374391
2020-04-11,661,3.605016,470,13,178,71.104387,1.966717,0.001725297910139594,57961,2947094,0.01725297910139594,0.0003393172894374391
2020-04-10,638,4.761905,470,13,155,73.667712,2.037618,0.0016652648512391242,60051,2947094,0.01665264851239124,0.0003393172894374391
2020-04-09,609,7.029877,470,13,126,77.175698,2.134647,0.0015895709943646184,62910,2947094,0.015895709943646183,0.0003393172894374391
2020-04-08,569,4.595588,470,13,86,82.601054,2.28471,0.0014851656745377142,67333,2947094,0.01485165674537714,0.0003393172894374391
2020-04-07,544,3.816794,469,13,62,86.213235,2.389706,0.001419912349645899,70427,2947094,0.014199123496458988,0.0003393172894374391
2020-04-06,524,3.968254,469,13,42,89.503817,2.480916,0.0013677096897324467,73115,2947094,0.013677096897324466,0.0003393172894374391
2020-04-05,504,2.647658,469,13,22,93.055556,2.579365,0.0013155070298189945,76016,2947094,0.013155070298189945,0.0003393172894374391
2020-04-04,491,0.408998,469,13,9,95.519348,2.647658,0.0012815753008752506,78029,2947094,0.012815753008752507,0.0003393172894374391
2020-04-03,489,0.204918,469,13,7,95.91002,2.658487,0.0012763550348839055,78348,2947094,0.012763550348839053,0.0003393172894374391
2020-04-02,488,0.826446,469,13,6,96.106557,2.663934,0.0012737449018882328,78509,2947094,0.012737449018882328,0.0003393172894374391
2020-04-01,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-31,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-30,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-29,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-28,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-27,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-26,484,0,469,13,2,96.900826,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-25,484,0,468,13,3,96.694215,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-24,484,0,468,13,3,96.694215,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-23,484,0,465,13,6,96.07438,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-22,484,0,466,13,5,96.280992,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-21,484,0,463,13,8,95.661157,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-20,484,0.207039,463,13,8,95.661157,2.68595,0.0012633043699055424,79157,2947094,0.012633043699055423,0.0003393172894374391
2020-03-19,483,0.207469,460,13,10,95.238095,2.691511,0.00126069423690987,79321,2947094,0.012606942369098697,0.0003393172894374391
2020-03-18,482,0,459,13,10,95.228216,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-17,482,0,456,13,13,94.605809,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-16,482,0,455,13,14,94.39834,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-15,482,0,453,13,16,93.983402,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-14,482,0,447,13,22,92.738589,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-13,482,0,446,13,23,92.53112,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-12,482,0,441,13,28,91.493776,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-11,482,0.2079,436,13,33,90.456432,2.697095,0.0012580841039141972,79486,2947094,0.012580841039141972,0.0003393172894374391
2020-03-10,481,0,434,13,34,90.22869,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-09,481,0,430,13,38,89.397089,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-08,481,0,412,13,56,85.654886,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-07,481,0,403,13,65,83.783784,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-06,481,0,396,13,72,82.328482,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-05,481,0.208333,379,13,89,78.794179,2.702703,0.0012554739709185246,79651,2947094,0.012554739709185246,0.0003393172894374391
2020-03-04,480,0,373,13,94,77.708333,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-03-03,480,0,366,13,101,76.25,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-03-02,480,0,356,13,111,74.166667,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-03-01,480,0,342,13,125,71.25,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-02-29,480,0,301,13,166,62.708333,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-02-28,480,0,283,13,184,58.958333,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-02-27,480,0,270,13,197,56.25,2.708333,0.001252863837922852,79817,2947094,0.01252863837922852,0.0003393172894374391
2020-02-26,480,0,249,12,219,51.875,2.5,0.001252863837922852,79817,3192685,0.01252863837922852,0.00031321595948071297
