"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-24,684,0,679,0,5,99.269006,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-23,684,0,679,0,5,99.269006,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-22,684,0,679,0,5,99.269006,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-21,684,0,679,0,5,99.269006,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-20,684,0,679,0,5,99.269006,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-19,684,0,678,0,6,99.122807,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-18,684,0,677,0,7,98.976608,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-17,684,0,676,0,8,98.830409,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-16,684,0,675,0,9,98.684211,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-15,684,0,675,0,9,98.684211,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-14,684,0,675,0,9,98.684211,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-13,684,0,675,0,9,98.684211,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-12,684,0.146413,675,0,9,98.684211,0,0.0008507462686567164,117544,,0.008507462686567165,0
2020-12-11,683,0.293686,675,0,8,98.828697,0,0.0008495024875621891,117716,,0.008495024875621891,0
2020-12-10,681,0,675,0,6,99.118943,0,0.0008470149253731343,118062,,0.008470149253731343,0
2020-12-09,681,0,675,0,6,99.118943,0,0.0008470149253731343,118062,,0.008470149253731343,0
2020-12-08,681,0.147059,675,0,6,99.118943,0,0.0008470149253731343,118062,,0.008470149253731343,0
2020-12-07,680,0,674,0,6,99.117647,0,0.000845771144278607,118235,,0.00845771144278607,0
2020-12-06,680,0,674,0,6,99.117647,0,0.000845771144278607,118235,,0.00845771144278607,0
