"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-13,288,0.699301,280,2,6,97.222222,0.694444,0.0006560364464692483,152431,21950000,0.006560364464692483,4.555808656036447e-05
2020-11-12,286,0,280,2,4,97.902098,0.699301,0.0006514806378132118,153497,21950000,0.006514806378132118,4.555808656036447e-05
2020-11-11,286,0,280,2,4,97.902098,0.699301,0.0006514806378132118,153497,21950000,0.006514806378132118,4.555808656036447e-05
2020-11-10,286,0.350877,280,2,4,97.902098,0.699301,0.0006514806378132118,153497,21950000,0.006514806378132118,4.555808656036447e-05
2020-11-09,285,0,280,2,3,98.245614,0.701754,0.0006492027334851936,154035,21950000,0.006492027334851936,4.555808656036447e-05
2020-11-08,285,0.352113,279,2,4,97.894737,0.701754,0.0006492027334851936,154035,21950000,0.006492027334851936,4.555808656036447e-05
2020-11-07,284,0,279,2,3,98.239437,0.704225,0.0006469248291571754,154577,21950000,0.006469248291571754,4.555808656036447e-05
2020-11-06,284,0,279,2,3,98.239437,0.704225,0.0006469248291571754,154577,21950000,0.006469248291571754,4.555808656036447e-05
2020-11-05,284,0.353357,279,2,3,98.239437,0.704225,0.0006469248291571754,154577,21950000,0.006469248291571754,4.555808656036447e-05
2020-11-04,283,0,278,2,3,98.233216,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-11-03,283,0,278,2,3,98.233216,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-11-02,283,0,278,2,3,98.233216,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-11-01,283,0,278,2,3,98.233216,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-31,283,0,278,2,3,98.233216,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-30,283,0,276,2,5,97.526502,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-29,283,0,276,2,5,97.526502,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-28,283,0,276,2,5,97.526502,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-27,283,0,273,2,8,96.466431,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-26,283,0,273,2,8,96.466431,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-25,283,0,272,2,9,96.113074,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-24,283,1.071429,272,2,9,96.113074,0.706714,0.0006446469248291572,155124,21950000,0.006446469248291572,4.555808656036447e-05
2020-10-23,280,0,271,2,7,96.785714,0.714286,0.0006378132118451025,156786,21950000,0.006378132118451025,4.555808656036447e-05
