"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,364,0.275482,344,3,17,94.505495,0.824176,0.0023301666965405985,42915,5207067,0.023301666965405986,0.00019204670575884055
2021-03-14,363,0.276243,344,3,16,94.76584,0.826446,0.0023237651396819706,43034,5207067,0.023237651396819707,0.00019204670575884055
2021-03-13,362,0,344,3,15,95.027624,0.828729,0.0023173635828233428,43152,5207067,0.023173635828233424,0.00019204670575884055
2021-03-12,362,0.277008,344,3,15,95.027624,0.828729,0.0023173635828233428,43152,5207067,0.023173635828233424,0.00019204670575884055
2021-03-11,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-10,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-09,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-08,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-07,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-06,361,0,343,3,15,95.01385,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-05,361,0.837989,341,3,17,94.459834,0.831025,0.0023109620259647145,43272,5207067,0.023109620259647145,0.00019204670575884055
2021-03-04,358,0.280112,339,3,16,94.692737,0.837989,0.0022917573553888305,43635,5207067,0.022917573553888303,0.00019204670575884055
2021-03-03,357,0,339,3,15,94.957983,0.840336,0.0022853557985302027,43757,5207067,0.022853557985302024,0.00019204670575884055
2021-03-02,357,0,338,3,16,94.677871,0.840336,0.0022853557985302027,43757,5207067,0.022853557985302024,0.00019204670575884055
2021-03-01,357,0.280899,338,3,16,94.677871,0.840336,0.0022853557985302027,43757,5207067,0.022853557985302024,0.00019204670575884055
2021-02-28,356,0,337,3,16,94.662921,0.842697,0.0022789542416715744,43880,5207067,0.022789542416715745,0.00019204670575884055
2021-02-27,356,0.28169,337,3,16,94.662921,0.842697,0.0022789542416715744,43880,5207067,0.022789542416715745,0.00019204670575884055
2021-02-26,355,0.282486,337,3,15,94.929577,0.84507,0.0022725526848129465,44003,5207067,0.022725526848129465,0.00019204670575884055
2021-02-25,354,0,337,3,14,95.19774,0.847458,0.0022661511279543187,44128,5207067,0.022661511279543183,0.00019204670575884055
2021-02-24,354,0.283286,337,3,14,95.19774,0.847458,0.0022661511279543187,44128,5207067,0.022661511279543183,0.00019204670575884055
2021-02-23,353,0.284091,336,3,14,95.184136,0.849858,0.0022597495710956904,44253,5207067,0.022597495710956903,0.00019204670575884055
2021-02-22,352,0,335,3,14,95.170455,0.852273,0.0022533480142370626,44378,5207067,0.022533480142370624,0.00019204670575884055
2021-02-21,352,0.2849,335,3,14,95.170455,0.852273,0.0022533480142370626,44378,5207067,0.022533480142370624,0.00019204670575884055
2021-02-20,351,0,335,3,13,95.441595,0.854701,0.0022469464573784343,44505,5207067,0.022469464573784344,0.00019204670575884055
2021-02-19,351,0,335,3,13,95.441595,0.854701,0.0022469464573784343,44505,5207067,0.022469464573784344,0.00019204670575884055
2021-02-18,351,0.573066,334,3,14,95.156695,0.854701,0.0022469464573784343,44505,5207067,0.022469464573784344,0.00019204670575884055
2021-02-17,349,0,334,3,12,95.702006,0.859599,0.0022341433436611786,44760,5207067,0.022341433436611782,0.00019204670575884055
2021-02-16,349,0,333,3,13,95.415473,0.859599,0.0022341433436611786,44760,5207067,0.022341433436611782,0.00019204670575884055
2021-02-15,349,0,331,3,15,94.842407,0.859599,0.0022341433436611786,44760,5207067,0.022341433436611782,0.00019204670575884055
2021-02-14,349,0.287356,331,3,15,94.842407,0.859599,0.0022341433436611786,44760,5207067,0.022341433436611782,0.00019204670575884055
2021-02-13,348,0,331,3,14,95.114943,0.862069,0.0022277417868025503,44889,5207067,0.022277417868025503,0.00019204670575884055
2021-02-12,348,0.288184,330,3,15,94.827586,0.862069,0.0022277417868025503,44889,5207067,0.022277417868025503,0.00019204670575884055
2021-02-11,347,0,329,3,15,94.81268,0.864553,0.0022213402299439224,45018,5207067,0.022213402299439224,0.00019204670575884055
2021-02-10,347,0,329,3,15,94.81268,0.864553,0.0022213402299439224,45018,5207067,0.022213402299439224,0.00019204670575884055
2021-02-09,347,0.289017,328,3,16,94.524496,0.864553,0.0022213402299439224,45018,5207067,0.022213402299439224,0.00019204670575884055
2021-02-08,346,0,328,3,15,94.797688,0.867052,0.002214938673085294,45148,5207067,0.02214938673085294,0.00019204670575884055
2021-02-07,346,0,328,3,15,94.797688,0.867052,0.002214938673085294,45148,5207067,0.02214938673085294,0.00019204670575884055
2021-02-06,346,0,328,3,15,94.797688,0.867052,0.002214938673085294,45148,5207067,0.02214938673085294,0.00019204670575884055
2021-02-05,346,0.289855,327,3,16,94.508671,0.867052,0.002214938673085294,45148,5207067,0.02214938673085294,0.00019204670575884055
2021-02-04,345,0.290698,324,3,18,93.913043,0.869565,0.0022085371162266663,45279,5207067,0.02208537116226666,0.00019204670575884055
2021-02-03,344,0,323,3,18,93.895349,0.872093,0.0022021355593680385,45410,5207067,0.022021355593680382,0.00019204670575884055
2021-02-02,344,0,319,3,22,92.732558,0.872093,0.0022021355593680385,45410,5207067,0.022021355593680382,0.00019204670575884055
2021-02-01,344,0,319,3,22,92.732558,0.872093,0.0022021355593680385,45410,5207067,0.022021355593680382,0.00019204670575884055
2021-01-31,344,0.291545,319,3,22,92.732558,0.872093,0.0022021355593680385,45410,5207067,0.022021355593680382,0.00019204670575884055
2021-01-30,343,0,319,3,21,93.002915,0.874636,0.00219573400250941,45543,5207067,0.021957340025094103,0.00019204670575884055
2021-01-29,343,0,318,3,22,92.71137,0.874636,0.00219573400250941,45543,5207067,0.021957340025094103,0.00019204670575884055
2021-01-28,343,0.292398,313,3,27,91.253644,0.874636,0.00219573400250941,45543,5207067,0.021957340025094103,0.00019204670575884055
2021-01-27,342,0.588235,312,3,27,91.22807,0.877193,0.0021893324456507823,45676,5207067,0.021893324456507823,0.00019204670575884055
2021-01-26,340,0.591716,311,3,26,91.470588,0.882353,0.002176529331933526,45945,5207067,0.02176529331933526,0.00019204670575884055
2021-01-25,338,0,310,3,25,91.715976,0.887574,0.00216372621821627,46217,5207067,0.021637262182162702,0.00019204670575884055
2021-01-24,338,0.595238,309,3,26,91.420118,0.887574,0.00216372621821627,46217,5207067,0.021637262182162702,0.00019204670575884055
2021-01-23,336,0.298507,309,3,24,91.964286,0.892857,0.0021509231044990144,46492,5207067,0.02150923104499014,0.00019204670575884055
2021-01-22,335,0,309,3,23,92.238806,0.895522,0.002144521547640386,46630,5207067,0.02144521547640386,0.00019204670575884055
2021-01-21,335,0,308,3,24,91.940299,0.895522,0.002144521547640386,46630,5207067,0.02144521547640386,0.00019204670575884055
