"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-14,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-13,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-12,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-11,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-10,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-09,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-08,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-07,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-06,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-05,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-04,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-03,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-02,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-12-01,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-30,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-29,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-28,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-27,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-26,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-25,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-24,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-23,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-22,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-21,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-20,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-19,980,0,977,3,0,99.693878,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-18,980,0,973,3,4,99.285714,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-17,980,0,969,3,8,98.877551,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-16,980,0,962,3,15,98.163265,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-15,980,0,960,3,17,97.959184,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-14,980,0,952,3,25,97.142857,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-13,980,0,948,3,29,96.734694,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-12,980,0,941,3,36,96.020408,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-11,980,0,936,3,41,95.510204,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-10,980,0,925,3,52,94.387755,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-09,980,0,920,3,57,93.877551,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-08,980,0,918,3,59,93.673469,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-07,980,0,915,3,62,93.367347,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-06,980,0,903,3,74,92.142857,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-05,980,0.616016,899,3,78,91.734694,0.306122,0.004492153971786064,22261,7271938,0.04492153971786065,0.00013751491750365504
2020-11-04,974,0.828157,899,3,72,92.299795,0.308008,0.0044646509882853335,22398,7271938,0.04464650988285333,0.00013751491750365504
2020-11-03,966,0.207469,899,3,64,93.064182,0.310559,0.004427980343617692,22584,7271938,0.04427980343617692,0.00013751491750365504
2020-11-02,964,0.521376,899,3,62,93.257261,0.311203,0.004418812682450782,22631,7271938,0.04418812682450782,0.00013751491750365504
2020-11-01,959,0.313808,899,3,57,93.743483,0.312826,0.004395893529533506,22749,7271938,0.04395893529533506,0.00013751491750365504
2020-10-31,956,0.314795,899,3,54,94.037657,0.313808,0.004382142037783141,22820,7271938,0.043821420377831405,0.00013751491750365504
2020-10-30,953,0.63358,899,3,51,94.333683,0.314795,0.004368390546032775,22892,7271938,0.04368390546032775,0.00013751491750365504
2020-10-29,947,0,899,3,45,94.931362,0.31679,0.004340887562532044,23037,7271938,0.04340887562532044,0.00013751491750365504
2020-10-28,947,2.489177,899,3,45,94.931362,0.31679,0.004340887562532044,23037,7271938,0.04340887562532044,0.00013751491750365504
2020-10-27,924,2.439024,899,3,22,97.294372,0.324675,0.004235459459112575,23610,7271938,0.042354594591125755,0.00013751491750365504
2020-10-26,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-25,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-24,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-23,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-22,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-21,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-20,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-19,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-18,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-17,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-16,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-15,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-14,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-13,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-12,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-11,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-10,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-09,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-08,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
2020-10-07,902,0,899,3,0,99.667406,0.332594,0.004134615186276561,24186,7271938,0.041346151862765614,0.00013751491750365504
