"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,184,0,172,2,10,93.478261,1.086957,0.00040029378953540225,249817,22983120
2020-04-05,184,0,172,2,10,93.478261,1.086957,0.00040029378953540225,249817,22983120
2020-04-04,184,0,172,2,10,93.478261,1.086957,0.00040029378953540225,249817,22983120
2020-04-03,184,0.546448,172,2,10,93.478261,1.086957,0.00040029378953540225,249817,22983120
2020-04-02,183,0.549451,172,2,9,93.989071,1.092896,0.0003981182798096664,251182,22983120
2020-04-01,182,0,172,2,8,94.505495,1.098901,0.00039594277008393053,252562,22983120
2020-03-31,182,1.111111,172,2,8,94.505495,1.098901,0.00039594277008393053,252562,22983120
2020-03-30,180,0,172,2,6,95.555556,1.111111,0.00039159175063245875,255368,22983120
2020-03-29,180,0,172,2,6,95.555556,1.111111,0.00039159175063245875,255368,22983120
2020-03-28,180,0,172,2,6,95.555556,1.111111,0.00039159175063245875,255368,22983120
2020-03-27,180,1.123596,172,2,6,95.555556,1.111111,0.00039159175063245875,255368,22983120
2020-03-26,178,1.136364,172,2,4,96.629213,1.123596,0.00038724073118098697,258237,22983120
2020-03-25,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-24,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-23,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-22,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-21,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-20,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-19,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-18,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-17,176,0,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-16,176,1.149425,172,2,2,97.727273,1.136364,0.0003828897117295152,261172,22983120
2020-03-15,174,0,172,2,0,98.850575,1.149425,0.00037853869227804347,264174,22983120
2020-03-14,174,0,172,2,0,98.850575,1.149425,0.00037853869227804347,264174,22983120
2020-03-13,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-12,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-11,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-10,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-09,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-08,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-07,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-06,174,0,170,2,2,97.701149,1.149425,0.00037853869227804347,264174,22983120
2020-03-05,174,0,169,2,3,97.126437,1.149425,0.00037853869227804347,264174,22983120
2020-03-04,174,0,169,2,3,97.126437,1.149425,0.00037853869227804347,264174,22983120
2020-03-03,174,0,169,2,3,97.126437,1.149425,0.00037853869227804347,264174,22983120
2020-03-02,174,0,168,2,4,96.551724,1.149425,0.00037853869227804347,264174,22983120
2020-03-01,174,0,163,2,9,93.678161,1.149425,0.00037853869227804347,264174,22983120
2020-02-29,174,0,157,2,15,90.229885,1.149425,0.00037853869227804347,264174,22983120
2020-02-28,174,0,156,2,16,89.655172,1.149425,0.00037853869227804347,264174,22983120
2020-02-27,174,0,150,2,22,86.206897,1.149425,0.00037853869227804347,264174,22983120
2020-02-26,174,0,144,2,28,82.758621,1.149425,0.00037853869227804347,264174,22983120
2020-02-25,174,0,129,2,43,74.137931,1.149425,0.00037853869227804347,264174,22983120
2020-02-24,174,0,124,2,48,71.264368,1.149425,0.00037853869227804347,264174,22983120
2020-02-23,174,0,115,2,57,66.091954,1.149425,0.00037853869227804347,264174,22983120
2020-02-22,174,0,107,2,65,61.494253,1.149425,0.00037853869227804347,264174,22983120
2020-02-21,174,0,96,2,76,55.172414,1.149425,0.00037853869227804347,264174,22983120
2020-02-20,174,1.162791,79,2,93,45.402299,1.149425,0.00037853869227804347,264174,22983120
2020-02-19,172,0,60,1,111,34.883721,0.581395,0.0003741876728265717,267246,45966239
2020-02-18,172,0.584795,57,0,115,33.139535,0,0.0003741876728265717,267246,
2020-02-17,171,0,47,0,124,27.48538,0,0.0003720121631008358,268808,
2020-02-16,171,1.785714,42,0,129,24.561404,0,0.0003720121631008358,268808,
2020-02-15,168,3.703704,42,0,126,25,0,0.0003654856339236282,273609,
2020-02-14,162,3.846154,36,0,126,22.222222,0,0.00035243257556921286,283742,
2020-02-13,156,1.298701,27,0,129,17.307692,0,0.0003393795172147976,294655,
2020-02-12,154,0.653595,26,0,128,16.883117,0,0.0003350284977633258,298482,
2020-02-11,153,2.684564,20,0,133,13.071895,0,0.0003328529880375899,300433,
2020-02-10,149,5.673759,19,0,130,12.751678,0,0.0003241509491346464,308498,
2020-02-09,141,2.173913,18,0,123,12.765957,0,0.00030674687132875935,326002,
2020-02-08,138,0,17,0,121,12.318841,0,0.0003002203421515517,333089,
2020-02-07,138,3.759398,12,0,126,8.695652,0,0.0003002203421515517,333089,
2020-02-06,133,3.90625,7,0,126,5.263158,0,0.0002893427935228723,345611,
2020-02-05,128,4.918033,5,0,123,3.90625,0,0.0002784652448941929,359111,
2020-02-04,122,4.273504,5,0,117,4.098361,0,0.0002654121865397776,376772,
2020-02-03,117,11.428571,5,0,112,4.273504,0,0.0002545346379110982,392874,
2020-02-02,105,12.903226,3,0,102,2.857143,0,0.0002284285212022676,437774,
2020-02-01,93,12.048193,2,0,91,2.150538,0,0.00020232240449343701,494261,
2020-01-31,83,18.571429,1,0,82,1.204819,0,0.0001805673072360782,553810,
2020-01-30,70,27.272727,0,0,70,0,0,0.00015228568080151173,656661,
2020-01-29,55,25,0,0,55,0,0,0.00011965303491547351,835750,
2020-01-28,44,69.230769,0,0,44,0,0,9.57224279323788e-05,1044687,
2020-01-27,26,62.5,0,0,26,0,0,5.656325286913293e-05,1767932,
2020-01-26,16,45.454545,0,0,16,0,0,3.4808155611774113e-05,2872890,
