"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,82665,0.076269,77310,3335,2020,93.522047,4.034356,0.0057655140032628355,17345,429920
2020-04-05,82602,0.071478,77207,3333,2062,93.468681,4.035011,0.005761120035051312,17358,430178
2020-04-04,82543,0.038783,76946,3330,2267,93.219292,4.034261,0.005757005048948457,17370,430566
2020-04-03,82511,0.095837,76760,3326,2425,93.03002,4.030978,0.005754773192079112,17377,431083
2020-04-02,82432,0.086206,76565,3322,2545,92.882618,4.029988,0.005749263295432916,17394,431603
2020-04-01,82361,0.099661,76405,3316,2640,92.768422,4.026177,0.005744311363004057,17409,432384
2020-03-31,82279,0.098543,76206,3309,2764,92.619016,4.021682,0.00573859222977636,17426,433298
2020-03-30,82198,0.092545,75923,3308,2967,92.365994,4.024429,0.0057329428420758305,17443,433429
2020-03-29,82122,0.150002,75582,3304,3236,92.036239,4.023282,0.005727642182011136,17459,433954
2020-03-28,81999,0.124547,75100,3299,3600,91.586483,4.02322,0.005719063482169591,17485,434612
2020-03-27,81897,0.140618,74720,3296,3881,91.236553,4.024567,0.005711949438398554,17507,435007
2020-03-26,81782,0.148174,74181,3291,4310,90.705779,4.024113,0.005703928702774344,17532,435668
2020-03-25,81661,0.085794,73773,3285,4603,90.340554,4.022728,0.005695489493987133,17558,436464
2020-03-24,81591,0.11657,73280,3281,5030,89.813828,4.021277,0.005690607307085441,17573,436996
2020-03-23,81496,0.121626,72819,3274,5403,89.352852,4.017375,0.005683981482004573,17593,437930
2020-03-22,81397,0.113154,72362,3265,5770,88.900082,4.011204,0.005677076674815037,17615,439137
2020-03-21,81305,0.067692,71857,3259,6189,88.379558,4.008364,0.005670660086315669,17635,439946
2020-03-20,81250,0.115826,71266,3253,6731,87.712,4.003692,0.005666824082321483,17647,440757
2020-03-19,81156,0.066583,70535,3249,7372,86.912859,4.003401,0.005660268002767781,17667,441300
2020-03-18,81102,0.054282,69755,3241,8106,86.008976,3.996202,0.005656501744300762,17679,442389
2020-03-17,81058,0.030852,68798,3230,9030,84.875028,3.984801,0.005653432941105412,17688,443896
