"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,90078,0.022208,84900,4732,446,94.251649,5.253225,0.006282537596152055,15917,302997,0.06282537596152056,0.0033003583455440315
2020-09-06,90058,0.036656,84873,4730,455,94.242599,5.252171,0.006281142685608715,15921,303126,0.06281142685608715,0.003298963435000691
2020-09-05,90025,0.018887,84837,4728,460,94.237156,5.251874,0.006278841083212203,15927,303254,0.06278841083212203,0.0032975685244573502
2020-09-04,90008,0.024448,84782,4728,498,94.193849,5.252866,0.006277655409250363,15930,303254,0.06277655409250363,0.0032975685244573502
2020-09-03,89986,0.036686,84737,4728,521,94.16687,5.254151,0.006276121007652688,15933,303254,0.06276121007652688,0.0032975685244573502
2020-09-02,89953,0.022239,84695,4727,531,94.154725,5.254966,0.006273819405256177,15939,303318,0.06273819405256177,0.00329687106918568
2020-09-01,89933,0.021131,84652,4724,557,94.127851,5.252799,0.006272424494712835,15943,303511,0.06272424494712836,0.003294778703370669
2020-08-31,89914,0.021136,84594,4723,597,94.083235,5.252797,0.006271099329696662,15946,303575,0.06271099329696662,0.0032940812480989987
2020-08-30,89895,0.03561,84546,4722,627,94.049725,5.252795,0.0062697741646804885,15950,303639,0.06269774164680489,0.003293383792827328
2020-08-29,89863,0.030055,84484,4721,658,94.014222,5.253553,0.006267542307811143,15955,303703,0.06267542307811144,0.003292686337555658
2020-08-28,89836,0.024495,84419,4718,699,93.970123,5.251792,0.006265659178577633,15960,303897,0.06265659178577633,0.003290593971740647
2020-08-27,89814,0.033414,84335,4715,764,93.899615,5.249738,0.006264124776979959,15964,304090,0.06264124776979958,0.0032885016059256357
2020-08-26,89784,0.035654,84251,4713,820,93.837432,5.249265,0.006262032411164947,15969,304219,0.06262032411164947,0.0032871066953822953
2020-08-25,89752,0.037897,84168,4712,872,93.778412,5.250022,0.006259800554295603,15975,304283,0.06259800554295603,0.003286409240110625
2020-08-24,89718,0.025642,84058,4711,949,93.691344,5.250897,0.006257429206371923,15981,304348,0.06257429206371924,0.0032857117848389544
2020-08-23,89695,0.045731,83988,4711,996,93.637326,5.252244,0.006255825059247082,15985,304348,0.06255825059247082,0.0032857117848389544
2020-08-22,89654,0.042403,83924,4711,1019,93.608763,5.254646,0.006252965492633233,15992,304348,0.06252965492633233,0.0032857117848389544
2020-08-21,89616,0.054708,83793,4709,1114,93.502276,5.254642,0.006250315162600886,15999,304477,0.06250315162600886,0.003284316874295614
2020-08-20,89567,0.044679,83663,4709,1195,93.408287,5.257517,0.006246897631769701,16008,304477,0.06246897631769702,0.003284316874295614
2020-08-19,89527,0.036874,83566,4706,1255,93.341673,5.256515,0.00624410781068302,16015,304671,0.0624410781068302,0.003282224508480603
2020-08-18,89494,0.059257,83408,4705,1381,93.199544,5.257336,0.006241806208286508,16021,304736,0.06241806208286508,0.0032815270532089327
2020-08-17,89441,0.073846,83283,4703,1455,93.115014,5.258215,0.006238109695346655,16030,304866,0.06238109695346655,0.003280132142665592
2020-08-16,89375,0.107528,83200,4703,1472,93.090909,5.262098,0.006233506490553631,16042,304866,0.06233506490553631,0.003280132142665592
2020-08-15,89279,0.072859,83108,4703,1468,93.08796,5.267756,0.0062268109199455956,16060,304866,0.06226810919945596,0.003280132142665592
2020-08-14,89214,0.078525,82956,4701,1557,92.985406,5.269352,0.006222277460679738,16071,304995,0.062222774606797385,0.003278737232122251
2020-08-13,89144,0.11118,82804,4700,1640,92.887912,5.272368,0.006217395273778046,16084,305060,0.062173952737780466,0.0032780397768505808
