"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1579,6.329966,88,46,1445,5.573148,2.913236,0.0031367080259200545,31881,1094335
2020-04-05,1485,5.618777,88,35,1362,5.925926,2.356902,0.0029499755658589496,33899,1438269
2020-04-04,1406,10.970797,85,32,1289,6.045519,2.27596,0.0027930408387863183,35803,1573106
2020-04-03,1267,9.13006,55,25,1187,4.340963,1.973165,0.0025169151797597906,39731,2013576
2020-04-02,1161,9.014085,55,19,1087,4.737295,1.63652,0.0023063445333079058,43359,2649442
2020-04-01,1065,17.549669,39,17,1009,3.661972,1.596244,0.002115639042181671,47267,2961141
2020-03-31,906,13.533835,31,16,859,3.421634,1.766004,0.001799783072503844,55562,3146213
2020-03-30,798,13.675214,15,12,771,1.879699,1.503759,0.0015852393949868295,63082,4194950
2020-03-29,702,15.460526,10,10,682,1.424501,1.424501,0.0013945339038605943,71709,5033940
2020-03-28,608,12.801484,10,6,592,1.644737,0.986842,0.001207801443799489,82795,8389900
2020-03-27,539,9.775967,10,6,523,1.855288,1.113173,0.0010707318720525076,93394,8389900
2020-03-26,491,4.468085,8,6,477,1.629328,1.221996,0.00097537912648939,102524,8389900
2020-03-25,470,24.338624,8,4,458,1.702128,0.851064,0.0009336623003055261,107105,12584850
2020-03-24,378,36.462094,6,3,369,1.587302,0.793651,0.0007509028713095508,133173,16779800
2020-03-23,277,19.91342,3,3,271,1.083032,1.083032,0.0005502648025204909,181731,16779800
2020-03-22,231,17.857143,3,2,226,1.298701,0.865801,0.00045888508802250326,217919,25169700
2020-03-21,196,53.125,1,0,195,0.510204,0,0.00038935704438273003,256834,
2020-03-20,128,25.490196,1,0,127,0.78125,0,0.00025427398816831346,393277,
2020-03-19,102,9.677419,1,0,101,0.980392,0,0.00020262458432162482,493524,
2020-03-18,93,43.076923,1,0,92,1.075269,0,0.00018474594452854028,541284,
2020-03-17,65,20.37037,1,0,64,1.538462,0,0.00012912350961672168,774452,
2020-03-16,54,58.823529,0,0,54,0,0,0.00010727183875850725,932211,
2020-03-15,34,54.545455,0,0,34,0,0,6.754152810720827e-05,1480571,
2020-03-14,22,69.230769,0,0,22,0,0,4.370334171642888e-05,2288155,
2020-03-13,13,44.444444,0,0,13,0,0,2.5824701923344337e-05,3872262,
2020-03-12,9,0,0,0,9,0,0,1.7878639793084543e-05,5593267,
2020-03-11,9,200,0,0,9,0,0,1.7878639793084543e-05,5593267,
2020-03-10,3,200,0,0,3,0,0,5.959546597694847e-06,16779800,
2020-03-09,1,0,0,0,1,0,0,1.986515532564949e-06,50339400,
2020-03-08,1,0,0,0,1,0,0,1.986515532564949e-06,50339400,
2020-03-07,1,0,0,0,1,0,0,1.986515532564949e-06,50339400,
2020-03-06,1,,0,0,1,0,0,1.986515532564949e-06,50339400,

