"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,3977,4.878692,804,189,2984,20.216243,4.752326,0.007900372273010802,12658,266346,0.07900372273010803,0.0037545143565477536
2020-04-19,3792,10.264612,711,179,2902,18.75,4.720464,0.007532866899486287,13275,281226,0.07532866899486287,0.003555862803291259
2020-04-18,3439,0,634,153,2652,18.435592,4.448968,0.00683162691649086,14638,329016,0.0683162691649086,0.003039368764824372
2020-04-17,3439,6.371791,634,153,2652,18.435592,4.448968,0.00683162691649086,14638,329016,0.0683162691649086,0.003039368764824372
2020-04-16,3233,4.122383,550,144,2539,17.012063,4.454067,0.00642240471678248,15570,349579,0.0642240471678248,0.002860582366893527
2020-04-15,3105,4.229607,452,131,2522,14.557166,4.219002,0.006168130728614167,16212,384270,0.06168130728614167,0.0026023353476600833
2020-04-14,2979,4.453015,354,127,2498,11.883182,4.263176,0.005917829771510983,16898,396373,0.05917829771510983,0.0025228747263574855
2020-04-13,2852,2.737752,319,112,2421,11.185133,3.927069,0.005665542298875235,17651,449459,0.05665542298875235,0.002224897396472743
2020-04-12,2776,2.473237,270,109,2397,9.726225,3.926513,0.005514567118400299,18134,461829,0.05514567118400299,0.0021653019304957947
2020-04-11,2709,9.543065,214,100,2395,7.899594,3.691399,0.005381470577718447,18582,503394,0.05381470577718447,0.001986515532564949
2020-04-10,2473,11.246064,197,80,2196,7.966033,3.234937,0.004912652912033119,20356,629243,0.04912652912033119,0.0015892124260519593
2020-04-09,2223,8.227848,174,69,1980,7.82726,3.103914,0.004416024028891882,22645,729557,0.044160240288918816,0.0013706957174698148
2020-04-08,2054,15.393258,123,54,1877,5.988315,2.629017,0.004080302903888405,24508,932211,0.04080302903888405,0.0010727183875850724
2020-04-07,1780,12.729576,100,50,1630,5.617978,2.808989,0.0035359976479656095,28281,1006788,0.035359976479656094,0.0009932577662824745
2020-04-06,1579,6.329966,88,46,1445,5.573148,2.913236,0.0031367080259200545,31881,1094335,0.03136708025920055,0.0009137971449798766
2020-04-05,1485,5.618777,88,35,1362,5.925926,2.356902,0.0029499755658589496,33899,1438269,0.029499755658589494,0.0006952804363977321
2020-04-04,1406,10.970797,85,32,1289,6.045519,2.27596,0.0027930408387863183,35803,1573106,0.027930408387863183,0.0006356849704207837
2020-04-03,1267,9.13006,55,25,1187,4.340963,1.973165,0.0025169151797597906,39731,2013576,0.025169151797597905,0.0004966288831412373
2020-04-02,1161,9.014085,55,19,1087,4.737295,1.63652,0.0023063445333079058,43359,2649442,0.02306344533307906,0.0003774379511873403
2020-04-01,1065,17.549669,39,17,1009,3.661972,1.596244,0.002115639042181671,47267,2961141,0.021156390421816707,0.00033770764053604133
2020-03-31,906,13.533835,31,16,859,3.421634,1.766004,0.001799783072503844,55562,3146213,0.01799783072503844,0.00031784248521039187
2020-03-30,798,13.675214,15,12,771,1.879699,1.503759,0.0015852393949868295,63082,4194950,0.015852393949868294,0.0002383818639077939
2020-03-29,702,15.460526,10,10,682,1.424501,1.424501,0.0013945339038605943,71709,5033940,0.013945339038605942,0.00019865155325649492
2020-03-28,608,12.801484,10,6,592,1.644737,0.986842,0.001207801443799489,82795,8389900,0.01207801443799489,0.00011919093195389695
2020-03-27,539,9.775967,10,6,523,1.855288,1.113173,0.0010707318720525076,93394,8389900,0.010707318720525076,0.00011919093195389695
