"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,595,3.119584,56,3,536,9.411765,0.504202,0.011787780331246533,8483,1682533,0.11787780331246532,0.0005943418654410016
2020-04-11,577,3.405018,49,3,525,8.492201,0.519931,0.011431175211981932,8748,1682533,0.11431175211981931,0.0005943418654410016
2020-04-10,558,3.525046,42,3,513,7.526882,0.537634,0.01105475869720263,9046,1682533,0.1105475869720263,0.0005943418654410016
2020-04-09,539,7.370518,30,3,506,5.565863,0.556586,0.01067834218242333,9365,1682533,0.1067834218242333,0.0005943418654410016
2020-04-08,502,3.933747,29,3,470,5.776892,0.59761,0.009945320548379427,10055,1682533,0.09945320548379427,0.0005943418654410016
2020-04-07,483,3.426124,24,2,457,4.968944,0.414079,0.009568904033600127,10451,2523800,0.09568904033600126,0.00039622791029400107
2020-04-06,467,2.863436,18,2,447,3.85439,0.428266,0.009251921705364926,10809,2523800,0.09251921705364925,0.00039622791029400107
2020-04-05,454,4.367816,16,2,436,3.524229,0.440529,0.008994373563673825,11118,2523800,0.08994373563673824,0.00039622791029400107
2020-04-04,435,4.567308,13,2,420,2.988506,0.45977,0.008617957048894525,11604,2523800,0.08617957048894523,0.00039622791029400107
2020-04-03,416,5.050505,11,2,403,2.644231,0.480769,0.008241540534115223,12134,2523800,0.08241540534115223,0.00039622791029400107
2020-04-02,396,5.6,6,2,388,1.515152,0.505051,0.007845312623821222,12746,2523800,0.07845312623821221,0.00039622791029400107
2020-04-01,375,8.069164,4,2,369,1.066667,0.533333,0.007429273318012521,13460,2523800,0.0742927331801252,0.00039622791029400107
2020-03-31,347,5.151515,4,2,341,1.152738,0.576369,0.0068745542436009196,14546,2523800,0.0687455424360092,0.00039622791029400107
2020-03-30,330,5.095541,4,2,324,1.212121,0.606061,0.006537760519851018,15296,2523800,0.06537760519851017,0.00039622791029400107
2020-03-29,314,6.440678,3,2,309,0.955414,0.636943,0.0062207781916158176,16075,2523800,0.06220778191615817,0.00039622791029400107
2020-03-28,295,12.1673,3,2,290,1.016949,0.677966,0.005844361676836517,17111,2523800,0.05844361676836516,0.00039622791029400107
2020-03-27,263,13.852814,3,2,258,1.140684,0.760456,0.0052103970203661145,19192,2523800,0.05210397020366114,0.00039622791029400107
2020-03-26,231,14.925373,2,2,227,0.865801,0.865801,0.004576432363895713,21851,2523800,0.045764323638957126,0.00039622791029400107
2020-03-25,201,13.559322,2,2,197,0.995025,0.995025,0.003982090498454711,25112,2523800,0.03982090498454711,0.00039622791029400107
2020-03-24,177,12.025316,2,2,173,1.129944,1.129944,0.00350661700610191,28518,2523800,0.03506617006101909,0.00039622791029400107
2020-03-23,158,17.910448,2,2,154,1.265823,1.265823,0.0031302004913226085,31947,2523800,0.031302004913226086,0.00039622791029400107
2020-03-22,134,14.529915,2,2,130,1.492537,1.492537,0.0026547269989698075,37669,2523800,0.026547269989698072,0.00039622791029400107
2020-03-21,117,31.460674,2,2,113,1.709402,1.709402,0.0023179332752199066,43142,2523800,0.023179332752199064,0.00039622791029400107
2020-03-20,89,28.985507,0,1,88,0,1.123596,0.001763214200808305,56715,5047600,0.017632142008083048,0.00019811395514700053
2020-03-19,69,38,0,1,68,0,1.449275,0.0013669862905143037,73154,5047600,0.013669862905143037,0.00019811395514700053
2020-03-18,50,21.95122,0,0,50,0,0,0.0009905697757350029,100952,,0.009905697757350026,0
2020-03-17,41,17.142857,0,0,41,0,0,0.0008122672161027022,123112,,0.008122672161027022,0
2020-03-16,35,29.62963,0,0,35,0,0,0.000693398843014502,144217,,0.006933988430145019,0
2020-03-15,27,3.846154,0,0,27,0,0,0.0005349076788969015,186948,,0.005349076788969015,0
2020-03-14,26,13.043478,0,0,26,0,0,0.0005150962833822014,194138,,0.005150962833822014,0
2020-03-13,23,4.545455,0,0,23,0,0,0.0004556620968381013,219461,,0.0045566209683810125,0
2020-03-12,22,69.230769,0,0,22,0,0,0.0004358507013234012,229436,,0.004358507013234012,0
2020-03-11,13,44.444444,0,0,13,0,0,0.0002575481416911007,388277,,0.002575481416911007,0
2020-03-10,9,0,0,0,9,0,0,0.0001783025596323005,560844,,0.0017830255963230048,0
2020-03-09,9,80,0,0,9,0,0,0.0001783025596323005,560844,,0.0017830255963230048,0
2020-03-08,5,400,0,0,5,0,0,9.905697757350028e-05,1009520,,0.0009905697757350027,0
2020-03-07,1,0,0,0,1,0,0,1.9811395514700056e-05,5047600,,0.00019811395514700053,0
2020-03-06,1,,0,0,1,0,0,1.9811395514700056e-05,5047600,,0.00019811395514700053,0

