"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,14,0,11,1,2,78.571429,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-19,14,0,11,1,2,78.571429,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-18,14,0,11,1,2,78.571429,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-17,14,0,10,1,3,71.428571,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-16,14,0,10,1,3,71.428571,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-15,14,0,10,1,3,71.428571,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-14,14,0,10,1,3,71.428571,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-13,14,0,8,1,5,57.142857,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-12,14,0,8,1,5,57.142857,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-11,14,0,7,1,6,50,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-10,14,0,7,1,6,50,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-09,14,0,7,1,6,50,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-08,14,7.692308,7,1,6,50,7.142857,0.008567931456548347,11671,163400,0.08567931456548347,0.006119951040391676
2020-04-07,13,0,7,1,5,53.846154,7.692308,0.00795593635250918,12569,163400,0.0795593635250918,0.006119951040391676
2020-04-06,13,18.181818,5,1,7,38.461538,7.692308,0.00795593635250918,12569,163400,0.0795593635250918,0.006119951040391676
2020-04-05,11,0,5,1,5,45.454545,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-04-04,11,0,5,1,5,45.454545,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-04-03,11,0,3,1,7,27.272727,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-04-02,11,0,3,1,7,27.272727,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-04-01,11,0,3,1,7,27.272727,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-03-31,11,0,2,1,8,18.181818,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-03-30,11,37.5,2,1,8,18.181818,9.090909,0.006731946144430845,14855,163400,0.06731946144430845,0.006119951040391676
2020-03-29,8,0,2,1,5,25,12.5,0.004895960832313341,20425,163400,0.04895960832313341,0.006119951040391676
2020-03-28,8,0,2,1,5,25,12.5,0.004895960832313341,20425,163400,0.04895960832313341,0.006119951040391676
2020-03-27,8,33.333333,2,1,5,25,12.5,0.004895960832313341,20425,163400,0.04895960832313341,0.006119951040391676
2020-03-26,6,0,2,1,3,33.333333,16.666667,0.0036719706242350062,27233,163400,0.03671970624235006,0.006119951040391676
2020-03-25,6,0,0,1,5,0,16.666667,0.0036719706242350062,27233,163400,0.03671970624235006,0.006119951040391676
2020-03-24,6,50,0,1,5,0,16.666667,0.0036719706242350062,27233,163400,0.03671970624235006,0.006119951040391676
2020-03-23,4,33.333333,0,1,3,0,25,0.0024479804161566705,40850,163400,0.024479804161566705,0.006119951040391676
2020-03-22,3,0,0,1,2,0,33.333333,0.0018359853121175031,54467,163400,0.01835985312117503,0.006119951040391676
2020-03-21,3,0,0,1,2,0,33.333333,0.0018359853121175031,54467,163400,0.01835985312117503,0.006119951040391676
2020-03-20,3,0,0,1,2,0,33.333333,0.0018359853121175031,54467,163400,0.01835985312117503,0.006119951040391676
2020-03-19,3,0,0,1,2,0,33.333333,0.0018359853121175031,54467,163400,0.01835985312117503,0.006119951040391676
2020-03-18,3,0,0,0,3,0,0,0.0018359853121175031,54467,,0.01835985312117503,0
2020-03-17,3,200,0,0,3,0,0,0.0018359853121175031,54467,,0.01835985312117503,0
2020-03-16,1,0,0,0,1,0,0,0.0006119951040391676,163400,,0.006119951040391676,0
2020-03-15,1,0,0,0,1,0,0,0.0006119951040391676,163400,,0.006119951040391676,0
2020-03-14,1,,0,0,1,0,0,0.0006119951040391676,163400,,0.006119951040391676,0

