"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,922,0.43573,516,17,389,55.965293,1.843818,0.07692307692307693,1300,70506,0.7692307692307693,0.014183213749374271
2020-05-19,918,0.109051,515,17,386,56.100218,1.851852,0.07658935424662106,1306,70506,0.7658935424662107,0.014183213749374271
2020-05-18,917,0.10917,515,17,385,56.161396,1.853871,0.07650592357750709,1307,70506,0.765059235775071,0.014183213749374271
2020-05-17,916,0.218818,515,17,384,56.222707,1.855895,0.07642249290839312,1309,70506,0.7642249290839314,0.014183213749374271
2020-05-16,914,0.43956,515,17,382,56.345733,1.859956,0.0762556315701652,1311,70506,0.7625563157016519,0.014183213749374271
2020-05-15,910,0.330761,481,17,412,52.857143,1.868132,0.07592190889370933,1317,70506,0.7592190889370933,0.014183213749374271
2020-05-14,907,0.220994,481,17,409,53.031974,1.874311,0.07567161688636743,1321,70506,0.7567161688636743,0.014183213749374271
2020-05-13,905,0.221484,449,17,439,49.61326,1.878453,0.0755047555481395,1324,70506,0.755047555481395,0.014183213749374271
2020-05-12,903,0.221976,449,16,438,49.723145,1.771872,0.07533789420991156,1327,74913,0.7533789420991157,0.013348907058234608
2020-05-11,901,0.334076,401,16,484,44.506104,1.775805,0.07517103287168363,1330,74913,0.7517103287168364,0.013348907058234608
2020-05-10,898,0.672646,401,16,481,44.654788,1.781737,0.07492074086434174,1335,74913,0.7492074086434174,0.013348907058234608
2020-05-09,892,0.112233,401,15,476,44.955157,1.681614,0.07442015684965793,1344,79907,0.7442015684965794,0.012514600367094945
2020-05-08,891,0.224972,400,15,476,44.893378,1.683502,0.07433672618054397,1345,79907,0.7433672618054398,0.012514600367094945
2020-05-07,889,0.679502,400,15,474,44.994376,1.687289,0.07416986484231604,1348,79907,0.7416986484231604,0.012514600367094945
2020-05-06,883,0.569476,296,15,572,33.522084,1.698754,0.07366928082763224,1357,79907,0.7366928082763224,0.012514600367094945
2020-05-05,878,0.457666,296,15,567,33.712984,1.708428,0.0732521274820624,1365,79907,0.7325212748206241,0.012514600367094945
2020-05-04,874,0.229358,296,15,563,33.867277,1.716247,0.07291840480560655,1371,79907,0.7291840480560655,0.012514600367094945
2020-05-03,872,0.925926,296,15,561,33.944954,1.720183,0.07275154346737861,1375,79907,0.7275154346737861,0.012514600367094945
2020-05-02,864,0.816803,296,15,553,34.259259,1.736111,0.07208409811446688,1387,79907,0.7208409811446689,0.012514600367094945
2020-05-01,857,0.823529,296,15,546,34.53909,1.750292,0.07150008343066912,1399,79907,0.7150008343066911,0.012514600367094945
2020-04-30,850,0.830368,296,15,539,34.823529,1.764706,0.07091606874687136,1410,79907,0.7091606874687135,0.012514600367094945
2020-04-29,843,0.716846,148,15,680,17.556346,1.779359,0.07033205406307358,1422,79907,0.7033205406307359,0.012514600367094945
2020-04-28,837,1.824818,148,15,674,17.682198,1.792115,0.06983147004838978,1432,79907,0.698314700483898,0.012514600367094945
2020-04-27,822,0.611995,148,15,659,18.004866,1.824818,0.06858001001168029,1458,79907,0.685800100116803,0.012514600367094945
2020-04-26,817,0.864198,148,14,655,18.115055,1.713586,0.06816285666611047,1467,85614,0.6816285666611047,0.011680293675955283
2020-04-25,810,0.746269,148,14,648,18.271605,1.728395,0.0675788419823127,1480,85614,0.675788419823127,0.011680293675955283
2020-04-24,804,1.132075,98,14,692,12.189055,1.741294,0.0670782579676289,1491,85614,0.6707825796762891,0.011680293675955283
2020-04-23,795,0.632911,98,13,684,12.327044,1.63522,0.0663273819456032,1508,92200,0.6632738194560321,0.01084598698481562
2020-04-22,790,0.765306,98,13,679,12.405063,1.64557,0.06591022860003337,1517,92200,0.6591022860003338,0.01084598698481562
2020-04-21,784,1.554404,98,12,674,12.5,1.530612,0.06540964458534958,1529,99883,0.6540964458534958,0.010011680293675955
2020-04-20,772,0.65189,81,12,679,10.492228,1.554404,0.06440847655598197,1553,99883,0.6440847655598199,0.010011680293675955
2020-04-19,767,0.788436,81,12,674,10.560626,1.564537,0.06399132321041215,1563,99883,0.6399132321041215,0.010011680293675955
2020-04-18,761,1.466667,79,12,670,10.381078,1.576873,0.06349073919572835,1575,99883,0.6349073919572835,0.010011680293675955
2020-04-17,750,2.040816,77,12,661,10.266667,1.6,0.06257300183547472,1598,99883,0.6257300183547473,0.010011680293675955
2020-04-16,735,2.797203,77,12,646,10.47619,1.632653,0.06132154179876523,1631,99883,0.6132154179876523,0.010011680293675955
2020-04-15,715,2.877698,65,12,638,9.090909,1.678322,0.0596529284164859,1676,99883,0.5965292841648591,0.010011680293675955
2020-04-14,695,4.984894,65,12,618,9.352518,1.726619,0.05798431503420658,1725,99883,0.5798431503420658,0.010011680293675955
2020-04-13,662,4.581359,65,12,585,9.818731,1.812689,0.05523110295344569,1811,99883,0.5523110295344569,0.010011680293675955
2020-04-12,633,2.75974,65,11,557,10.268562,1.737757,0.052811613549140664,1894,108964,0.5281161354914067,0.009177373602536293
2020-04-11,616,3.529412,61,10,545,9.902597,1.623377,0.051393292174203235,1946,119860,0.5139329217420324,0.00834306691139663
2020-04-10,595,5.496454,58,10,527,9.747899,1.680672,0.04964124812280994,2014,119860,0.4964124812280995,0.00834306691139663
2020-04-09,564,7.224335,53,10,501,9.397163,1.77305,0.04705489738027699,2125,119860,0.47054897380276994,0.00834306691139663
2020-04-08,526,6.477733,52,9,465,9.885932,1.711027,0.043884531953946274,2279,133178,0.43884531953946276,0.007508760220256967
2020-04-07,494,6.236559,47,9,438,9.51417,1.821862,0.04121475054229935,2426,133178,0.4121475054229935,0.007508760220256967
2020-04-06,465,4.26009,45,9,411,9.677419,1.935484,0.03879526113799433,2578,133178,0.3879526113799433,0.007508760220256967
2020-04-05,446,4.694836,37,9,400,8.295964,2.017937,0.037210078424828964,2687,133178,0.3721007842482897,0.007508760220256967
2020-04-04,426,7.575758,33,11,382,7.746479,2.58216,0.03554146504254964,2814,108964,0.3554146504254964,0.009177373602536293
2020-04-03,396,11.235955,28,11,357,7.070707,2.777778,0.033038544969130654,3027,108964,0.33038544969130657,0.009177373602536293
2020-04-02,356,11.25,28,10,318,7.865169,2.808989,0.029701318204572,3367,119860,0.29701318204572,0.00834306691139663
2020-04-01,320,22.137405,28,9,283,8.75,2.8125,0.026697814116469213,3746,133178,0.26697814116469215,0.007508760220256967
2020-03-31,262,13.913043,23,8,231,8.778626,3.053435,0.02185883530785917,4575,149825,0.2185883530785917,0.006674453529117304
2020-03-30,230,7.476636,22,7,201,9.565217,3.043478,0.019189053896212248,5211,171229,0.1918905389621225,0.005840146837977641
2020-03-29,214,19.553073,15,5,194,7.009346,2.336449,0.017854163190388787,5601,239720,0.1785416319038879,0.004171533455698315
2020-03-28,179,10.493827,15,5,159,8.379888,2.793296,0.014934089771399966,6696,239720,0.14934089771399967,0.004171533455698315
2020-03-27,162,10.958904,15,5,142,9.259259,3.08642,0.013515768396462539,7399,239720,0.1351576839646254,0.004171533455698315
2020-03-26,146,10.606061,4,3,139,2.739726,2.054795,0.012180877690639079,8210,399533,0.1218087769063908,0.002502920073418989
2020-03-25,132,6.451613,3,3,126,2.272727,2.272727,0.01101284832304355,9080,399533,0.11012848323043552,0.002502920073418989
2020-03-24,124,6.896552,3,3,118,2.419355,2.419355,0.01034540297013182,9666,399533,0.10345402970131821,0.002502920073418989
2020-03-23,116,22.105263,3,1,112,2.586207,0.862069,0.00967795761722009,10333,1198600,0.09677957617220091,0.000834306691139663
2020-03-22,95,13.095238,3,1,91,3.157895,1.052632,0.007925913565826798,12617,1198600,0.07925913565826799,0.000834306691139663
2020-03-21,84,25.373134,0,0,84,0,0,0.007008176205573168,14269,,0.07008176205573169,0
2020-03-20,67,0,0,0,67,0,0,0.005589854830635742,17890,,0.05589854830635742,0
2020-03-19,67,36.734694,0,0,67,0,0,0.005589854830635742,17890,,0.05589854830635742,0
2020-03-18,49,6.521739,0,0,49,0,0,0.004088102786584349,24461,,0.04088102786584349,0
2020-03-17,46,39.393939,0,0,46,0,0,0.0038378107792424497,26057,,0.038378107792424496,0
2020-03-16,33,26.923077,0,0,33,0,0,0.0027532120807608877,36321,,0.02753212080760888,0
2020-03-15,26,0,0,0,26,0,0,0.0021691973969631237,46100,,0.02169197396963124,0
2020-03-14,26,85.714286,0,0,26,0,0,0.0021691973969631237,46100,,0.02169197396963124,0
