"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-24,15081,1.898649,9422,369,5290,62.475963,2.446787,0.14108633012760544,709,28968,1.4108633012760543,0.03452082475769936
2020-07-23,14800,1.578586,9328,365,5107,63.027027,2.466216,0.13845750851326571,722,29285,1.3845750851326573,0.03414661527523107
2020-07-22,14570,1.717397,9144,364,5062,62.759094,2.498284,0.13630580398907308,734,29366,1.3630580398907308,0.034053062904614004
2020-07-21,14324,1.603064,8918,360,5046,62.259145,2.513264,0.1340044156718931,746,29692,1.3400441567189312,0.033678853422145716
2020-07-20,14098,1.097167,8836,359,4903,62.675557,2.54646,0.1318901320959473,758,29775,1.318901320959473,0.03358530105152864
2020-07-19,13945,0.649585,8761,359,4825,62.825385,2.574399,0.13045878082550613,767,29775,1.304587808255061,0.03358530105152864
2020-07-18,13855,0.822297,8733,358,4764,63.031397,2.583905,0.12961680948995247,772,29858,1.2961680948995247,0.03349174868091157
2020-07-17,13742,0.95504,8725,358,4659,63.491486,2.605152,0.12855966770197957,778,29858,1.2855966770197955,0.03349174868091157
2020-07-16,13612,1.016698,8640,355,4617,63.473406,2.607993,0.12734348688395764,785,30110,1.2734348688395762,0.03321109156906036
2020-07-15,13475,1.004422,8507,355,4613,63.131725,2.634508,0.12606181940650377,793,30110,1.2606181940650376,0.03321109156906036
2020-07-14,13341,0.778063,8441,355,4545,63.271119,2.66097,0.124808217640235,801,30110,1.24808217640235,0.03321109156906036
2020-07-13,13238,0.485805,8373,353,4512,63.249736,2.666566,0.12384462822287917,807,30281,1.2384462822287916,0.033023986827826216
2020-07-12,13174,0.449867,8247,352,4575,62.600577,2.67193,0.12324589305092991,811,30367,1.232458930509299,0.03293043445720914
2020-07-11,13115,0.876856,8227,352,4536,62.729699,2.68395,0.12269393406428919,815,30367,1.226939340642892,0.03293043445720914
2020-07-10,13001,0.634724,8208,352,4441,63.133605,2.707484,0.12162743703925458,822,30367,1.2162743703925456,0.03293043445720914
2020-07-09,12919,0.819416,8128,352,4439,62.915086,2.724669,0.12086030760019459,827,30367,1.2086030760019457,0.03293043445720914
2020-07-08,12814,1.016949,8010,351,4453,62.509755,2.739192,0.11987800770871535,834,30454,1.1987800770871533,0.03283688208659207
2020-07-07,12685,0.947,7910,351,4424,62.357115,2.767048,0.11867118212775511,843,30454,1.1867118212775511,0.03283688208659207
2020-07-06,12566,0.407511,7873,350,4343,62.653191,2.785294,0.11755790891741197,851,30541,1.1755790891741196,0.032743329715975
2020-07-05,12515,0.602894,7864,348,4303,62.836596,2.780663,0.1170807918272649,854,30716,1.170807918272649,0.03255622497474086
2020-07-04,12440,0.982223,7852,351,4237,63.118971,2.821543,0.11637914904763687,859,30454,1.1637914904763687,0.03283688208659207
2020-07-03,12319,1.157826,7848,353,4118,63.70647,2.865492,0.1152471653631703,868,30281,1.152471653631703,0.033023986827826216
2020-07-02,12178,1.095799,7822,353,4003,64.23058,2.89867,0.11392807693746959,878,30281,1.1392807693746958,0.033023986827826216
2020-07-01,12046,0.769617,7797,349,3900,64.72688,2.897227,0.11269318564532425,887,30628,1.1269318564532425,0.03264977734535793
2020-06-30,11954,1.262177,7771,349,3834,65.007529,2.919525,0.11183250383564719,894,30628,1.1183250383564718,0.03264977734535793
2020-06-29,11805,1.740929,7746,348,3711,65.616264,2.947903,0.11043857351345283,905,30716,1.1043857351345283,0.03255622497474086
2020-06-28,11603,2.699593,7705,348,3550,66.40524,2.999224,0.10854881562698798,921,30716,1.0854881562698797,0.03255622497474086
2020-06-27,11298,2.355499,7682,349,3267,67.994335,3.089042,0.10569546832316731,946,30628,1.056954683231673,0.03264977734535793
2020-06-26,11038,1.545538,7668,349,3021,69.469107,3.161805,0.10326310668712345,968,30628,1.0326310668712344,0.03264977734535793
2020-06-25,10870,0.862949,7649,345,2876,70.367985,3.173873,0.10169142686075665,983,30983,1.0169142686075665,0.03227556786288965
2020-06-24,10777,1.192488,7588,343,2846,70.409205,3.182704,0.10082138981401789,992,31164,1.0082138981401787,0.0320884631216555
2020-06-23,10650,1.20688,7555,339,2756,70.938967,3.183099,0.09963327470718109,1004,31532,0.9963327470718107,0.031714253639187215
2020-06-22,10523,0.238141,7537,336,2650,71.624062,3.193006,0.09844515960034428,1016,31813,0.9844515960034427,0.031433596527336
2020-06-21,10498,0.47856,7499,336,2663,71.432654,3.20061,0.0982112786738016,1018,31813,0.9821127867380158,0.031433596527336
2020-06-20,10448,0.403613,7477,336,2635,71.563936,3.215926,0.09774351682071623,1023,31813,0.9774351682071623,0.031433596527336
2020-06-19,10406,1.225681,7473,335,2598,71.814338,3.219297,0.09735059686412453,1027,31908,0.9735059686412453,0.03134004415671893
2020-06-18,10280,1.161189,7440,334,2506,72.373541,3.249027,0.09617183699434943,1040,32004,0.9617183699434944,0.03124649178610186
2020-06-17,10162,0.504401,7399,333,2430,72.81047,3.276914,0.095067919021068,1052,32100,0.9506791902106799,0.031152939415484786
2020-06-16,10111,0.467011,7358,331,2422,72.772228,3.273662,0.09459080193092093,1057,32294,0.9459080193092092,0.030965834674250643
2020-06-15,10064,0.399042,7296,330,2438,72.496025,3.279014,0.0941511057890207,1062,32392,0.9415110578902068,0.03087228230363357
2020-06-14,10024,0.330297,7226,329,2469,72.086991,3.282123,0.093776896306552407,1066,32490,0.937768963065524,0.030778729933016502
2020-06-13,9991,0.533307,7219,328,2444,72.25503,3.282955,0.09346817348351608,1070,32589,0.9346817348351607,0.03068517756239943
2020-06-12,9938,0.842212,7215,329,2394,72.600121,3.310525,0.0929723459192456,1076,32490,0.9297234591924559,0.030778729933016502
2020-06-11,9855,0.315554,7166,328,2361,72.714358,3.32826,0.0921958612431239,1085,32589,0.921958612431239,0.03068517756239943
2020-06-10,9824,0.748641,7111,330,2383,72.383958,3.359121,0.09190584889421098,1088,32392,0.9190584889421097,0.03087228230363357
2020-06-09,9751,0.556873,7053,328,2370,72.331043,3.363758,0.09122291658870636,1096,32589,0.9122291658870635,0.03068517756239943
2020-06-08,9697,0.71666,6994,328,2375,72.1254,3.382489,0.09071773378737417,1102,32589,0.9071773378737417,0.03068517756239943
2020-06-07,9628,0.637608,6891,327,2410,71.572497,3.396344,0.09007222243011638,1110,32689,0.9007222243011638,0.030591625191782358
2020-06-06,9567,0.398783,6885,327,2355,71.966134,3.417999,0.08950155296935225,1117,32689,0.8950155296935224,0.030591625191782358
2020-06-05,9529,0.368654,6881,327,2321,72.211145,3.43163,0.08914605396100737,1122,32689,0.8914605396100737,0.030591625191782358
2020-06-04,9494,0.593346,6809,326,2359,71.71898,3.433748,0.08881862066384762,1126,32789,0.8881862066384761,0.030498072821165286
2020-06-03,9438,0.790261,6749,325,2364,71.508794,3.443526,0.08829472738839202,1133,32890,0.8829472738839201,0.030404520450548214
2020-06-02,9364,0.666523,6686,323,2355,71.401111,3.449381,0.08760243984582569,1142,33093,0.8760243984582569,0.030217415709314074
2020-06-01,9302,0.366854,6642,321,2339,71.403999,3.450871,0.08702241514799985,1149,33300,0.8702241514799984,0.03003031096807993
2020-05-31,9268,0.411701,6558,320,2390,70.759603,3.452741,0.0867043370879018,1153,33404,0.8670433708790181,0.029936758597462858
2020-05-30,9230,0.369726,6546,319,2365,70.92091,3.456121,0.08634883807955694,1158,33508,0.8634883807955693,0.029843206226845786
2020-05-29,9196,0.612691,6500,319,2377,70.682906,3.4689,0.08603076001945889,1162,33508,0.8603076001945889,0.029843206226845786
2020-05-28,9140,0.594321,6460,319,2361,70.678337,3.490153,0.08550686674400329,1169,33508,0.8550686674400328,0.029843206226845786
2020-05-27,9086,0.39779,6370,317,2399,70.107858,3.488884,0.0850016839426711,1176,33720,0.850016839426711,0.029656101485611642
2020-05-26,9050,0.533215,6270,317,2463,69.281768,3.502762,0.08466489540844965,1181,33720,0.8466489540844965,0.029656101485611642
2020-05-25,9002,0.524846,6182,317,2503,68.673628,3.52144,0.0842158440294877,1187,33720,0.842158440294877,0.029656101485611642
2020-05-24,8955,0.731159,6078,315,2562,67.872697,3.517588,0.08377614788758747,1194,33934,0.8377614788758747,0.0294689967443775
2020-05-23,8890,0.873709,6044,314,2532,67.986502,3.532058,0.0831680574785765,1202,34042,0.8316805747857651,0.02937544437376043
2020-05-22,8813,0.673978,6025,312,2476,68.364915,3.540225,0.08244770422482506,1213,34260,0.8244770422482505,0.029188339632526285
2020-05-21,8754,0.378397,5926,306,2522,67.694768,3.495545,0.08189574523818434,1221,34932,0.8189574523818433,0.028627025408823857
