"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-01,183594,0.100322,165632,8555,9407,90.216456,4.659738,0.2198282984302597,455,9762,2.198282984302597,0.10243423494617862
2020-05-31,183410,0.1206404,165352,8540,9518,90.154299,4.656235,0.21960798400325682,455,9780,2.196079840032568,0.10225463079373062
2020-05-30,183189,0.145964,164908,8530,9751,90.020689,4.6563931,0.21934336721865008,456,9791,2.193433672186501,0.10213489469209862
2020-05-29,182922,0.398472,164245,8504,10173,89.789637,4.648976,0.21902367182729265,457,9821,2.1902367182729265,0.1018235808278554
2020-05-28,182196,0.370199,163360,8470,10366,89.661683,4.64884,0.21815438772944432,458,9860,2.181543877294443,0.1014164780823066
2020-05-27,181524,0.178808,162820,8428,10276,89.696128,4.642912,0.21734976112647725,460,9909,2.1734976112647724,0.10091358645545219
2020-05-26,181200,0.332226,161967,8372,10861,89.385762,4.620309,0.21696181615718954,461,9976,2.1696181615718957,0.10024306428631297
2020-05-25,180600,0.150836,161199,8309,11092,89.257475,4.600775,0.21624339954739755,462,10051,2.1624339954739753,0.09948872684603134
2020-05-24,180328,0.190015,160281,8283,11764,88.883035,4.593297,0.2159177173509585,463,10083,2.159177173509585,0.09917741298178814
2020-05-23,179986,0.153581,159716,8261,12009,88.738013,4.589801,0.21550821988337704,464,10110,2.1550821988337705,0.09891399355819773
2020-05-22,179710,0.384871,159064,8228,12418,88.511491,4.578488,0.2151777482428727,465,10150,2.1517774824287272,0.09851886442281212
2020-05-21,179021,0.3070492,158087,8203,12731,88.3063998,4.582144,0.21435276650262822,467,10181,2.1435276650262822,0.09821952416873211
2020-05-20,178473,0.390937,156966,8144,13363,87.949438,4.5631552,0.21369661266568482,468,10255,2.1369661266568483,0.0975130811691033
2020-05-19,177778,0.6949833,155681,8081,14016,87.570453,4.545557,0.2128644467593424,470,10335,2.128644467593424,0.09675874372882168
2020-05-18,176551,0.1031927,155041,8003,13507,87.8165516,4.5329678,0.21139528479231773,473,10436,2.1139528479231773,0.09582480213609205
2020-05-17,176369,0.351063,154011,7962,14396,87.323169,4.5143988,0.2111773650873475,474,10489,2.111773650873475,0.09533388411940084
2020-05-16,175752,0.296177,152600,7938,15214,86.826892,4.516592,0.21043859334027804,475,10521,2.10438593340278,0.09504651747548404
2020-05-15,175233,0.432719,151597,7897,15739,86.511673,4.5065713,0.20981716297280792,477,10576,2.0981716297280792,0.09455559945879283
2020-05-14,174478,0.218268,150300,7884,16294,86.142666,4.518621,0.2089131554054863,479,10593,2.089131554054863,0.09439994252667122
2020-05-13,174098,0.535309,148700,7861,17537,85.411665,4.515273,0.2084581582192847,480,10624,2.084581582192847,0.09412454949291761
2020-05-12,173171,0.344776,147200,7738,18233,85.0026852,4.4684156,0.20734820455715602,482,10793,2.07348204557156,0.09265179544284396
2020-05-11,172576,0.4055178,145617,7661,19298,84.378477,4.439204,0.2066357747524456,484,10902,2.066357747524456,0.09172982746027755
2020-05-10,171879,0.323948,144400,7569,19910,84.0125903,4.403679,0.20580121412407054,486,11034,2.0580121412407055,0.09062825532526313
2020-05-09,171324,0.431449,143300,7549,20475,83.642689,4.406271,0.20513667876001293,487,11063,2.0513667876001294,0.09038878312199912
2020-05-08,170588,0.683468,141700,7510,21378,83.065632,4.40242,0.2042554210520014,490,11121,2.042554210520014,0.0899218123256343
2020-05-07,169430,0.754035,141700,7392,20338,83.633359,4.362864,0.20286887699510278,493,11298,2.028688769951028,0.08850892632637666
2020-05-06,168162,0.691588,139900,7275,20987,83.193587,4.326185,0.20135062322640898,497,11480,2.0135062322640898,0.08710801393728224
2020-05-05,167007,0.514589,135100,6993,24914,80.8948128,4.18725,0.19996767125255935,500,11943,1.9996767125255936,0.08373145587125974
2020-05-04,166152,0.294572,132700,6993,26459,79.866628,4.208797,0.19894392758360574,503,11943,1.9894392758360573,0.08373145587125974
2020-05-03,165664,0.4225087,130600,6866,28198,78.834267,4.144534,0.19835961540764155,504,12164,1.9835961540764155,0.08221080738053331
2020-05-02,164967,0.5424283,129000,6812,29155,78.197458,4.1293107,0.1975250547792665,506,12260,1.975250547792665,0.0815642324317205
2020-05-01,164077,0.6551785,126900,6736,30441,77.341736,4.1053895,0.19645940347474167,509,12399,1.9645940347474167,0.08065423805931726
2020-04-30,163009,0.909997,123500,6623,32886,75.7626879,4.0629658,0.19518062190931187,512,12610,1.9518062190931187,0.07930122011087563
2020-04-29,161539,1.017435,120400,6467,34672,74.533085,4.0033676,0.19342050121532142,517,12914,1.9342050121532144,0.07743333692541639
