"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,1828,12.978986,1052,9,767,57.549234,0.492341,0.18775677896466722,533,108178,1.877567789646672,0.00924404272801972
2020-05-19,1618,6.587615,1033,7,578,63.844252,0.432633,0.1661873459326212,602,139086,1.6618734593262119,0.007189811010682005
2020-05-18,1518,8.351178,1018,7,493,67.061924,0.461133,0.15591618734593263,641,139086,1.5591618734593262,0.007189811010682005
2020-05-17,1401,5.259204,972,4,425,69.379015,0.28551,0.143898931799507,695,243400,1.43898931799507,0.004108463434675432
2020-05-16,1331,1.680672,950,4,377,71.374906,0.300526,0.13670912078882497,731,243400,1.3670912078882498,0.004108463434675432
2020-05-15,1309,1.94704,935,4,370,71.428571,0.305577,0.13444946589975348,744,243400,1.3444946589975348,0.004108463434675432
2020-05-14,1284,1.26183,905,3,376,70.482866,0.233645,0.13188167625308134,758,324533,1.3188167625308134,0.0030813475760065735
2020-05-13,1268,0.955414,900,3,365,70.977918,0.236593,0.13023829087921118,768,324533,1.3023829087921117,0.0030813475760065735
2020-05-12,1256,2.363488,886,3,367,70.541401,0.238854,0.12900575184880855,775,324533,1.2900575184880854,0.0030813475760065735
2020-05-11,1227,1.404959,872,3,352,71.067645,0.244499,0.12602711585866885,793,324533,1.2602711585866886,0.0030813475760065735
2020-05-10,1210,1.76619,847,3,360,70,0.247934,0.1242810188989318,805,324533,1.242810188989318,0.0030813475760065735
2020-05-09,1189,4.757709,834,3,352,70.142977,0.252313,0.1221240755957272,819,324533,1.221240755957272,0.0030813475760065735
2020-05-08,1135,0.176523,824,3,308,72.599119,0.264317,0.11657764995891537,858,324533,1.1657764995891535,0.0030813475760065735
2020-05-07,1133,0.800712,799,3,331,70.520741,0.264784,0.11637222678718159,859,324533,1.163722267871816,0.0030813475760065735
2020-05-06,1124,0.357143,755,3,366,67.170819,0.266904,0.11544782251437963,866,324533,1.1544782251437962,0.0030813475760065735
2020-05-05,1120,0.358423,745,2,373,66.517857,0.178571,0.11503697617091208,869,486800,1.1503697617091209,0.002054231717337716
2020-05-04,1116,0.359712,713,2,401,63.888889,0.179211,0.11462612982744454,872,486800,1.1462612982744453,0.002054231717337716
2020-05-03,1112,0,686,2,424,61.690647,0.179856,0.114215283483977,876,486800,1.1421528348397698,0.002054231717337716
2020-05-02,1112,1.367366,686,2,424,61.690647,0.179856,0.114215283483977,876,486800,1.1421528348397698,0.002054231717337716
2020-05-01,1097,0.734619,672,2,423,61.257976,0.182315,0.1126746096959737,888,486800,1.126746096959737,0.002054231717337716
2020-04-30,1089,1.114206,642,2,445,58.953168,0.183655,0.11185291700903861,894,486800,1.118529170090386,0.002054231717337716
2020-04-29,1077,0.466418,599,2,476,55.617456,0.185701,0.11062037797863598,904,486800,1.10620377978636,0.002054231717337716
2020-04-28,1072,3.574879,498,2,572,46.455224,0.186567,0.11010682004930156,908,486800,1.1010682004930157,0.002054231717337716
2020-04-27,1035,1.173021,477,2,556,46.086957,0.193237,0.1063064913722268,941,486800,1.0630649137222679,0.002054231717337716
2020-04-26,1023,1.488095,411,2,610,40.175953,0.195503,0.10507395234182416,952,486800,1.0507395234182415,0.002054231717337716
2020-04-25,1008,0.900901,373,2,633,37.003968,0.198413,0.10353327855382087,966,486800,1.0353327855382086,0.002054231717337716
2020-04-24,999,1.318458,330,2,667,33.033033,0.2002,0.1026088742810189,975,486800,1.026088742810189,0.002054231717337716
2020-04-23,986,1.232033,252,2,732,25.557809,0.20284,0.10127362366474939,987,486800,1.012736236647494,0.002054231717337716
2020-04-22,974,3.068783,183,2,789,18.788501,0.205339,0.10004108463434676,1000,486800,1.0004108463434676,0.002054231717337716
2020-04-21,945,11.702128,112,2,831,11.851852,0.21164,0.09706244864420707,1030,486800,0.9706244864420707,0.002054231717337716
2020-04-20,846,0,102,2,742,12.056738,0.236407,0.08689400164338537,1151,486800,0.8689400164338538,0.002054231717337716
2020-04-19,846,15.57377,102,2,742,12.056738,0.236407,0.08689400164338537,1151,486800,0.8689400164338538,0.002054231717337716
2020-04-18,732,0,76,2,654,10.382514,0.273224,0.07518488085456039,1330,486800,0.7518488085456039,0.002054231717337716
2020-04-17,732,23.857868,76,2,654,10.382514,0.273224,0.07518488085456039,1330,486800,0.7518488085456039,0.002054231717337716
2020-04-16,591,35.862069,73,2,516,12.351946,0.338409,0.0607025472473295,1647,486800,0.607025472473295,0.002054231717337716
2020-04-15,435,19.834711,71,2,362,16.321839,0.45977,0.044679539852095315,2238,486800,0.4467953985209532,0.002054231717337716
2020-04-14,363,21.812081,53,2,308,14.600551,0.550964,0.03728430566967954,2682,486800,0.3728430566967954,0.002054231717337716
2020-04-13,298,39.252336,41,2,255,13.758389,0.671141,0.030608052588331963,3267,486800,0.30608052588331963,0.002054231717337716
2020-04-12,214,14.438503,36,2,176,16.82243,0.934579,0.02198027937551356,4550,486800,0.21980279375513556,0.002054231717337716
2020-04-11,187,24.666667,36,2,149,19.251337,1.069519,0.019207066557107643,5206,486800,0.1920706655710764,0.002054231717337716
2020-04-10,150,11.111111,36,1,113,24,0.666667,0.015406737880032868,6491,973600,0.15406737880032867,0.001027115858668858
2020-04-09,135,0,25,0,110,18.518519,0,0.013866064092029581,7212,,0.1386606409202958,0
2020-04-08,135,50,25,0,110,18.518519,0,0.013866064092029581,7212,,0.1386606409202958,0
2020-04-07,90,0,9,0,81,10,0,0.00924404272801972,10818,,0.0924404272801972,0
2020-04-06,90,52.542373,9,0,81,10,0,0.00924404272801972,10818,,0.0924404272801972,0
2020-04-05,59,18,9,0,50,15.254237,0,0.0060599835661462615,16502,,0.06059983566146261,0
2020-04-04,50,2.040816,8,0,42,16,0,0.005135579293344289,19472,,0.05135579293344289,0
2020-04-03,49,22.5,8,0,41,16.326531,0,0.005032867707477404,19869,,0.050328677074774036,0
2020-04-02,40,21.212121,0,0,40,0,0,0.004108463434675432,24340,,0.041084634346754315,0
2020-04-01,33,10,0,0,33,0,0,0.003389482333607231,29503,,0.033894823336072306,0
2020-03-31,30,66.666667,0,0,30,0,0,0.0030813475760065735,32453,,0.030813475760065736,0
2020-03-30,18,0,0,0,18,0,0,0.0018488085456039441,54089,,0.01848808545603944,0
2020-03-29,18,28.571429,0,0,18,0,0,0.0018488085456039441,54089,,0.01848808545603944,0
2020-03-28,14,16.666667,0,0,14,0,0,0.001437962202136401,69543,,0.01437962202136401,0
2020-03-27,12,9.090909,0,0,12,0,0,0.0012325390304026294,81133,,0.012325390304026294,0
2020-03-26,11,0,0,0,11,0,0,0.0011298274445357436,88509,,0.011298274445357435,0
2020-03-25,11,266.666667,0,0,11,0,0,0.0011298274445357436,88509,,0.011298274445357435,0
2020-03-24,3,0,0,0,3,0,0,0.00030813475760065734,324533,,0.0030813475760065735,0
2020-03-23,3,200,0,0,3,0,0,0.00030813475760065734,324533,,0.0030813475760065735,0
2020-03-22,1,0,0,0,1,0,0,0.00010271158586688578,973600,,0.001027115858668858,0
2020-03-21,1,0,0,0,1,0,0,0.00010271158586688578,973600,,0.001027115858668858,0
2020-03-20,1,0,0,0,1,0,0,0.00010271158586688578,973600,,0.001027115858668858,0
2020-03-19,1,0,0,0,1,0,0,0.00010271158586688578,973600,,0.001027115858668858,0
2020-03-18,1,,0,0,1,0,0,0.00010271158586688578,973600,,0.001027115858668858,0

