"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,6369,2.875141,2291,273,3805,35.97111,4.286387,0.11034494707115508,906,21142,1.1034494707115508,0.047298116737989226
2020-04-11,6191,2.943133,2111,260,3820,34.097884,4.199645,0.10726104055856824,932,22200,1.0726104055856824,0.045045825464751645
2020-04-10,6014,3.156089,1929,247,3838,32.075158,4.107083,0.10419445936346784,960,23368,1.0419445936346785,0.04279353419151406
2020-04-09,5830,4.162944,1883,237,3710,32.298456,4.06518,0.10100660094596234,990,24354,1.0100660094596234,0.04106100244286977
2020-04-08,5597,6.285606,1763,218,3616,31.499017,3.894944,0.09696980197162113,1031,26477,0.9696980197162114,0.03776919212044561
2020-04-07,5266,8.020513,1621,203,3442,30.782378,3.854918,0.09123512188360852,1096,28433,0.9123512188360853,0.03517039449747917
2020-04-06,4875,6.884455,1489,187,3199,30.54359,3.835897,0.08446092274640933,1184,30866,0.8446092274640933,0.0323983436996483
2020-04-05,4561,6.840009,1429,179,2953,31.330848,3.924578,0.07902077305566625,1265,32245,0.7902077305566625,0.031012318300732863
2020-04-04,4269,8.185504,1379,161,2729,32.302647,3.771375,0.0739617803496249,1352,35850,0.7396178034962491,0.027893761153173133
2020-04-03,3946,10.439407,1287,139,2520,32.615307,3.522554,0.06836570280150384,1463,41524,0.6836570280150385,0.024082191306155687
2020-04-02,3573,8.601824,1172,123,2278,32.801567,3.442485,0.06190335937906062,1615,46926,0.6190335937906063,0.021310140508324818
2020-04-01,3290,8.259296,971,104,2215,29.513678,3.161094,0.05700029453039727,1754,55499,0.5700029453039728,0.01801833018590066
2020-03-31,3039,10.30853,77,90,2872,2.533728,2.9615,0.05265163984130009,1899,64132,0.5265163984130009,0.015592785737798646
2020-03-30,2755,7.449298,73,77,2605,2.649728,2.794918,0.0477312496751503,2095,74960,0.477312496751503,0.013340494464561065
2020-03-29,2564,8.368555,73,72,2419,2.847114,2.808112,0.0444221140352397,2251,80165,0.44422114035239696,0.012474228590238917
2020-03-28,2366,7.545455,57,65,2244,2.409129,2.747253,0.04099170117292399,2440,88798,0.40991701172923994,0.011261456366187911
2020-03-27,2200,8.749382,57,52,2091,2.590909,2.363636,0.038115698470174465,2624,110998,0.3811569847017447,0.00900916509295033
