"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,115410,0.125797,79994,3040,32376,69.312884,2.634087,0.26806432057157326,373,14162,2.6806432057157323,0.07061047868794582
2021-03-14,115265,0.1059552,79887,3036,32342,69.307249,2.633931,0.26772752716993664,374,14181,2.677275271699367,0.07051757016335641
2021-03-13,115143,0.117383,79783,3034,32326,69.2903607,2.6349843,0.267444156169939,374,14190,2.67444156169939,0.07047111590106171
2021-03-12,115008,0.1366989,79672,3031,32305,69.275181,2.635469,0.26713058989944977,374,14204,2.6713058989944978,0.07040143450761967
2021-03-11,114851,0.1482373,79556,3028,32267,69.2688788,2.6364594,0.26676592394043636,375,14218,2.6676592394043634,0.07033175311417761
2021-03-10,114681,0.120479,79428,3026,32227,69.259947,2.6386237,0.26637106271093136,375,14228,2.663710627109314,0.07028529885188291
2021-03-09,114543,0.140756,79319,3022,32202,69.2482299,2.6383105,0.26605052830109793,376,14247,2.6605052830109797,0.0701923903272935
2021-03-08,114382,0.129559,79187,3018,32177,69.230298,2.638527,0.2656765714896256,376,14265,2.656765714896256,0.0700994818027041
2021-03-07,114234,0.113931,79064,3013,32157,69.212319,2.637568,0.26533280994864483,377,14289,2.653328099486448,0.06998334614696736
2021-03-06,114104,0.136905,78946,3010,32148,69.187759,2.637944,0.26503085724372927,377,14303,2.6503085724372926,0.0699136647535253
2021-03-05,113948,0.1643797,78824,3007,32117,69.175413,2.638923,0.2646685139978306,378,14318,2.646685139978306,0.06984398336008325
2021-03-04,113761,0.1478964,78672,3002,32087,69.1555102,2.6388657,0.26423416664537513,378,14341,2.6423416664537513,0.0697278477043465
2021-03-03,113593,0.143701,78524,2996,32073,69.1274991,2.6374865,0.26384395084209966,379,14370,2.6384395084209964,0.06958848491746239
2021-03-02,113430,0.154519,78377,2991,32062,69.097241,2.636869,0.2634653486043978,380,14394,2.6346534860439785,0.06947234926172564
2021-03-01,113255,0.14413,78234,2987,32034,69.077745,2.637411,0.2630588738093192,380,14413,2.630588738093192,0.06937944073713624
2021-02-28,113092,0.116856,78098,2983,32011,69.057051,2.637676,0.2626802715716174,381,14433,2.626802715716174,0.06928653221254684
2021-02-27,112960,0.137405,77976,2979,32005,69.029745,2.637217,0.26237367344047235,381,14452,2.6237367344047238,0.06919362368795744
2021-02-26,112805,0.16249,77842,2977,31986,69.005806,2.639067,0.2620136529076884,382,14462,2.620136529076884,0.06914716942566274
2021-02-25,112622,0.1431607,77683,2973,31966,68.976754,2.639804,0.2615885964076919,382,14481,2.615885964076919,0.06905426090107333
2021-02-24,112461,0.1620962,77537,2970,31954,68.9456789,2.640916,0.26121463959621954,383,14496,2.6121463959621956,0.06898457950763127
2021-02-23,112279,0.16504,77382,2967,31930,68.9193883,2.6425244,0.26079190580933775,383,14511,2.607919058093378,0.06891489811418923
2021-02-22,112094,0.1581529,77225,2964,31905,68.893072,2.644209,0.26036220388311176,384,14525,2.603622038831118,0.06884521672074717
2021-02-21,111917,0.136896,77076,2961,31880,68.8688939,2.6457107,0.2599510836618037,385,14540,2.599510836618037,0.06877553532730513
2021-02-20,111764,0.146953,76940,2958,31866,68.841487,2.646648,0.2595957085552492,385,14555,2.595957085552492,0.06870585393386307
2021-02-19,111600,0.163349,76797,2954,31849,68.814516,2.646953,0.2592147836044327,386,14575,2.592147836044327,0.06861294540927367
