"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,1794,0.167504,956,64,774,53.28874,3.567447,0.13533494266747134,739,20713,1.3533494266747135,0.048280024140012076
2020-05-19,1791,0.392377,938,64,789,52.372976,3.573423,0.13510863005431503,740,20713,1.3510863005431504,0.048280024140012076
2020-05-18,1784,0.563698,938,64,782,52.578475,3.587444,0.13458056729028364,743,20713,1.3458056729028365,0.048280024140012076
2020-05-17,1774,0.225989,938,63,773,52.874859,3.551297,0.13382619191309594,747,21041,1.3382619191309597,0.047525648762824384
2020-05-16,1770,0.226501,934,63,773,52.768362,3.559322,0.1335244417622209,749,21041,1.335244417622209,0.047525648762824384
2020-05-15,1766,0.455063,923,63,780,52.265006,3.567384,0.1332226916113458,751,21041,1.3322269161134581,0.047525648762824384
2020-05-14,1758,0.399772,909,62,787,51.706485,3.526735,0.13261919130959565,754,21381,1.3261919130959567,0.0467712733856367
2020-05-13,1751,0.286369,777,61,913,44.374643,3.483724,0.13209112854556426,757,21731,1.3209112854556428,0.046016898008449006
2020-05-12,1746,0.287191,777,61,908,44.501718,3.4937,0.13171394085697044,759,21731,1.3171394085697044,0.046016898008449006
2020-05-11,1741,0.115009,751,61,929,43.136129,3.503733,0.1313367531683766,761,21731,1.3133675316837659,0.046016898008449006
2020-05-10,1739,0.34622,750,60,929,43.128235,3.450259,0.13118587809293905,762,22093,1.3118587809293905,0.04526252263126132
2020-05-09,1733,0.463768,747,60,926,43.104443,3.462204,0.13073325286662643,765,22093,1.3073325286662645,0.04526252263126132
2020-05-08,1725,0.290698,704,56,965,40.811594,3.246377,0.13012975256487627,768,23671,1.3012975256487629,0.042245021122510565
2020-05-07,1720,0.40864,273,56,1391,15.872093,3.255814,0.12975256487628245,771,23671,1.2975256487628244,0.042245021122510565
2020-05-06,1713,0.116891,264,55,1394,15.411559,3.210741,0.12922450211225106,774,24102,1.2922450211225107,0.04149064574532287
2020-05-05,1711,0.469759,261,55,1395,15.254237,3.214494,0.12907362703681352,775,24102,1.2907362703681353,0.04149064574532287
2020-05-04,1703,0.176471,259,55,1389,15.208456,3.229595,0.12847012673506336,778,24102,1.2847012673506337,0.04149064574532287
2020-05-03,1700,0.058858,259,55,1386,15.235294,3.235294,0.12824381412190705,780,24102,1.2824381412190706,0.04149064574532287
2020-05-02,1699,0.295159,256,53,1390,15.067687,3.119482,0.12816837658418828,780,25011,1.281683765841883,0.0399818949909475
