"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1322,12.702472,259,85,978,19.591528,6.429652,0.0013168891531964446,75937,1181036
2020-04-05,1173,9.626168,247,78,848,21.057118,6.649616,0.0011684651866107636,85582,1287027
2020-04-04,1070,8.629442,241,71,758,22.523364,6.635514,0.001065863384205897,93821,1413917
2020-04-03,985,13.872832,216,66,703,21.928934,6.700508,0.0009811919938717837,101917,1521032
2020-04-02,865,11.039795,201,58,606,23.236994,6.705202,0.0008616559134000942,116056,1730829
2020-04-01,779,9.71831,179,52,548,22.978177,6.675225,0.0007759883890620502,128868,1930540
2020-03-31,710,8.231707,157,46,507,22.112676,6.478873,0.0007072551427908288,141392,2182350
2020-03-30,656,7.71757,150,41,465,22.865854,6.25,0.0006534639065785686,153031,2448490
2020-03-29,609,5.729167,132,40,437,21.674877,6.568144,0.0006066456083938236,164841,2509703
2020-03-28,576,7.462687,121,36,419,21.006944,6.25,0.000573773186264109,174285,2788558
2020-03-27,536,8.282828,116,30,390,21.641791,5.597015,0.0005339278261068792,187291,3346270
2020-03-26,495,8.552632,102,24,369,20.606061,4.848485,0.0004930863319457186,202804,4182838
2020-03-25,456,13.432836,95,21,340,20.833333,4.605263,0.0004542371057924196,220149,4780386
2020-03-24,402,9.836066,80,20,302,19.900498,4.975124,0.0004004458695801594,249722,5019405
2020-03-23,366,11.926606,68,19,279,18.579235,5.191257,0.0003645850454386526,274284,5283584
2020-03-22,327,11.22449,56,14,257,17.125382,4.281346,0.00032573581928535355,306997,7170579
2020-03-21,294,3.157895,41,10,243,13.945578,3.401361,0.000292863397155639,341456,10038810
2020-03-20,285,11.328125,39,8,238,13.684211,2.807018,0.0002838981911202623,352239,12548513
2020-03-19,256,30.612245,32,6,218,12.5,2.34375,0.0002550103050062707,392141,16731350
2020-03-18,196,0,32,6,158,16.326531,3.061224,0.00019524226477042597,512184,16731350
2020-03-17,196,30.666667,32,4,160,16.326531,2.040816,0.00019524226477042597,512184,25097025
2020-03-16,150,36.363636,27,2,121,18,1.333333,0.00014942010058961172,669254,50194050
2020-03-15,110,0.917431,21,2,87,19.090909,1.818182,0.00010957474043238193,912619,50194050
2020-03-14,109,36.25,27,2,80,24.770642,1.834862,0.00010857860642845119,920992,50194050
2020-03-13,80,19.402985,27,2,51,33.75,2.5,7.969072031445959e-05,1254851,50194050
2020-03-12,67,11.666667,27,1,39,40.298507,1.492537,6.67409782633599e-05,1498330,100388100
2020-03-11,60,1.694915,27,1,32,45,1.666667,5.9768040235844686e-05,1673135,100388100
2020-03-10,59,7.272727,1,1,57,1.694915,1.694915,5.8771906231913943e-05,1701493,100388100
2020-03-09,55,12.244898,12,1,42,21.818182,1.818182,5.4787370216190965e-05,1825238,100388100
2020-03-08,49,226.666667,1,1,47,2.040816,2.040816,4.8810566192606493e-05,2048737,100388100
2020-03-07,15,0,1,0,14,6.666667,0,1.4942010058961172e-05,6692540,
2020-03-06,15,400,1,0,14,6.666667,0,1.4942010058961172e-05,6692540,
2020-03-05,3,50,1,0,2,33.333333,0,2.9884020117922344e-06,33462700,
2020-03-04,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,
2020-03-03,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,
2020-03-02,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,
2020-03-01,2,100,1,0,1,50,0,1.9922680078614897e-06,50194050,
2020-02-29,1,0,1,0,0,100,0,9.961340039307449e-07,100388100,
2020-02-28,1,0,1,0,0,100,0,9.961340039307449e-07,100388100,
2020-02-27,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-26,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-25,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-24,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-23,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-22,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-21,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-20,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-19,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-18,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-17,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-16,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-15,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,
2020-02-14,1,,0,0,1,0,0,9.961340039307449e-07,100388100,

