"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,3891,6.34053,1004,287,2600,25.803135,7.375996,0.003875957409294528,25800,349784,0.038759574092945275,0.0028589045912812373
2020-04-22,3659,4.842407,935,276,2448,25.55343,7.543045,0.0036448543203825953,27436,363725,0.03644854320382595,0.0027493298508488554
2020-04-21,3490,4.710471,870,264,2356,24.928367,7.56447,0.0034765076737182992,28764,380258,0.034765076737182994,0.002629793770377166
2020-04-20,3333,6.01145,821,250,2262,24.632463,7.50075,0.0033201146351011725,30119,401552,0.03320114635101172,0.0024903350098268618
2020-04-19,3144,3.693931,732,239,2173,23.282443,7.601781,0.0031318453083582615,31930,420034,0.031318453083582616,0.00238076026939448
2020-04-18,3032,6.610408,701,224,2107,23.120053,7.387863,0.0030202782999180183,33110,448161,0.03020278299918018,0.002231340168804868
2020-04-17,2844,6.397306,646,205,1993,22.714487,7.208158,0.002833005107179038,35298,489698,0.02833005107179038,0.0020420747080580268
2020-04-16,2673,6.706587,596,196,1881,22.297045,7.332585,0.002662666192506881,37556,512184,0.026626661925068806,0.0019524226477042597
2020-04-15,2505,6.595745,589,183,1733,23.512974,7.305389,0.0024953156798465156,40075,548569,0.024953156798465156,0.0018229252271932629
2020-04-14,2350,7.305936,589,178,1583,25.06383,7.574468,0.00234091490923725,42718,563978,0.023409149092372503,0.0017731185269967255
2020-04-13,2190,6.053269,589,164,1437,26.894977,7.488584,0.002181533468608331,45839,612123,0.02181533468608331,0.0016336597664464213
2020-04-12,2065,6.498195,589,159,1317,28.523002,7.699758,0.002057016718116988,48614,631372,0.020570167181169878,0.0015838530662498841
2020-04-11,1939,8.082497,426,146,1367,21.970088,7.529654,0.0019315038336217142,51773,687590,0.01931503833621714,0.0014543556457388873
2020-04-10,1794,5.591524,384,135,1275,21.404682,7.525084,0.0017870644030517561,55958,743616,0.01787064403051756,0.0013447809053065054
2020-04-09,1699,8.910256,348,118,1233,20.482637,6.945262,0.0016924316726783354,59087,850747,0.016924316726783354,0.0011754381246382789
2020-04-08,1560,7.586207,305,103,1152,19.551282,6.602564,0.0015539690461319618,64351,974642,0.015539690461319618,0.001026018024048667
2020-04-07,1450,9.6823,276,94,1080,19.034483,6.482759,0.00144439430569958,69233,1067959,0.014443943056995798,0.0009363659636949
2020-04-06,1322,12.702472,259,85,978,19.591528,6.429652,0.0013168891531964446,75937,1181036,0.013168891531964445,0.000846713903341133
2020-04-05,1173,9.626168,247,78,848,21.057118,6.649616,0.0011684651866107636,85582,1287027,0.011684651866107636,0.0007769845230659809
2020-04-04,1070,8.629442,241,71,758,22.523364,6.635514,0.001065863384205897,93821,1413917,0.010658633842058968,0.0007072551427908287
2020-04-03,985,13.872832,216,66,703,21.928934,6.700508,0.0009811919938717837,101917,1521032,0.009811919938717835,0.00065744844259429155
2020-04-02,865,11.039795,201,58,606,23.236994,6.705202,0.0008616559134000942,116056,1730829,0.008616559134000942,0.0005777577222798319
2020-04-01,779,9.71831,179,52,548,22.978177,6.675225,0.0007759883890620502,128868,1930540,0.007759883890620501,0.0005179896820439872
2020-03-31,710,8.231707,157,46,507,22.112676,6.478873,0.0007072551427908288,141392,2182350,0.007072551427908288,0.0004582216418081426
2020-03-30,656,7.71757,150,41,465,22.865854,6.25,0.0006534639065785686,153031,2448490,0.006534639065785685,0.0004084149416116053
2020-03-29,609,5.729167,132,40,437,21.674877,6.568144,0.0006066456083938236,164841,2509703,0.006066456083938235,0.0003984536015722979
2020-03-28,576,7.462687,121,36,419,21.006944,6.25,0.000573773186264109,174285,2788558,0.00573773186264109,0.0003586082414150681
2020-03-27,536,8.282828,116,30,390,21.641791,5.597015,0.0005339278261068792,187291,3346270,0.005339278261068792,0.00029884020117922343
2020-03-26,495,8.552632,102,24,369,20.606061,4.848485,0.0004930863319457186,202804,4182838,0.004930863319457186,0.00023907216094337875
2020-03-25,456,13.432836,95,21,340,20.833333,4.605263,0.0004542371057924196,220149,4780386,0.004542371057924196,0.0002091881408254564
2020-03-24,402,9.836066,80,20,302,19.900498,4.975124,0.0004004458695801594,249722,5019405,0.004004458695801594,0.00019922680078614895
2020-03-23,366,11.926606,68,19,279,18.579235,5.191257,0.0003645850454386526,274284,5283584,0.0036458504543865258,0.0001892654607468415
2020-03-22,327,11.22449,56,14,257,17.125382,4.281346,0.00032573581928535355,306997,7170579,0.0032573581928535354,0.00013945876055030426
2020-03-21,294,3.157895,41,10,243,13.945578,3.401361,0.000292863397155639,341456,10038810,0.0029286339715563895,9.961340039307447e-05
2020-03-20,285,11.328125,39,8,238,13.684211,2.807018,0.0002838981911202623,352239,12548513,0.0028389819112026224,7.969072031445957e-05
2020-03-19,256,30.612245,32,6,218,12.5,2.34375,0.0002550103050062707,392141,16731350,0.0025501030500627063,5.9768040235844686e-05
2020-03-18,196,0,32,6,158,16.326531,3.061224,0.00019524226477042597,512184,16731350,0.0019524226477042597,5.9768040235844686e-05
2020-03-17,196,30.666667,32,4,160,16.326531,2.040816,0.00019524226477042597,512184,25097025,0.0019524226477042597,3.9845360157229786e-05
2020-03-16,150,36.363636,27,2,121,18,1.333333,0.00014942010058961172,669254,50194050,0.001494201005896117,1.9922680078614893e-05
2020-03-15,110,0.917431,21,2,87,19.090909,1.818182,0.00010957474043238193,912619,50194050,0.0010957474043238192,1.9922680078614893e-05
2020-03-14,109,36.25,27,2,80,24.770642,1.834862,0.00010857860642845119,920992,50194050,0.0010857860642845118,1.9922680078614893e-05
2020-03-13,80,19.402985,27,2,51,33.75,2.5,7.969072031445959e-05,1254851,50194050,0.0007969072031445958,1.9922680078614893e-05
2020-03-12,67,11.666667,27,1,39,40.298507,1.492537,6.67409782633599e-05,1498330,100388100,0.000667409782633599,9.961340039307447e-06
2020-03-11,60,1.694915,27,1,32,45,1.666667,5.9768040235844686e-05,1673135,100388100,0.0005976804023584469,9.961340039307447e-06
2020-03-10,59,7.272727,1,1,57,1.694915,1.694915,5.8771906231913943e-05,1701493,100388100,0.0005877190623191394,9.961340039307447e-06
2020-03-09,55,12.244898,12,1,42,21.818182,1.818182,5.4787370216190965e-05,1825238,100388100,0.0005478737021619096,9.961340039307447e-06
2020-03-08,49,226.666667,1,1,47,2.040816,2.040816,4.8810566192606493e-05,2048737,100388100,0.0004881056619260649,9.961340039307447e-06
2020-03-07,15,0,1,0,14,6.666667,0,1.4942010058961172e-05,6692540,,0.00014942010058961172,0
2020-03-06,15,400,1,0,14,6.666667,0,1.4942010058961172e-05,6692540,,0.00014942010058961172,0
2020-03-05,3,50,1,0,2,33.333333,0,2.9884020117922344e-06,33462700,,2.9884020117922343e-05,0
2020-03-04,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,,1.9922680078614893e-05,0
2020-03-03,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,,1.9922680078614893e-05,0
2020-03-02,2,0,1,0,1,50,0,1.9922680078614897e-06,50194050,,1.9922680078614893e-05,0
2020-03-01,2,100,1,0,1,50,0,1.9922680078614897e-06,50194050,,1.9922680078614893e-05,0
2020-02-29,1,0,1,0,0,100,0,9.961340039307449e-07,100388100,,9.961340039307447e-06,0
2020-02-28,1,0,1,0,0,100,0,9.961340039307449e-07,100388100,,9.961340039307447e-06,0
2020-02-27,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,,9.961340039307447e-06,0
2020-02-26,1,0,0,0,1,0,0,9.961340039307449e-07,100388100,,9.961340039307447e-06,0
