"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-09-01,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-31,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-30,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-29,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-28,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-27,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-26,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-25,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-24,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-23,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-22,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-21,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-20,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-19,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-18,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-17,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-16,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-15,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-14,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-13,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-12,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-11,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-10,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-09,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-08,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-07,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-06,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-05,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-04,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-03,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-02,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-08-01,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-31,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-30,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-29,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-28,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-27,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-26,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-25,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-24,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-23,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-22,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-21,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-20,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-19,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-18,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-17,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-16,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-15,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-14,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-13,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-12,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-11,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-10,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-09,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-08,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-07,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-06,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-05,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-04,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-03,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-02,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-07-01,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-30,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-29,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-28,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-27,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-26,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-25,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-24,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-23,10,0,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-22,10,11.111111,8,1,1,80,10,0.0017167381974248926,58250,582500,0.017167381974248927,0.0017167381974248926
2020-06-21,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-20,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-19,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-18,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-17,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-16,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-15,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-14,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-13,9,0,8,1,0,88.888889,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-12,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-11,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-10,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-09,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-08,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-07,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-06,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-05,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-04,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-03,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-02,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-06-01,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-31,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-30,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-29,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-28,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-27,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-26,9,0,6,1,2,66.666667,11.111111,0.0015450643776824034,64722,582500,0.015450643776824034,0.0017167381974248926
2020-05-25,9,0,6,0,3,66.666667,0,0.0015450643776824034,64722,,0.015450643776824034,0
2020-05-24,9,50,6,0,3,66.666667,0,0.0015450643776824034,64722,,0.015450643776824034,0
2020-05-23,6,0,6,0,0,100,0,0.0010300429184549357,97083,,0.010300429184549357,0
2020-05-22,6,0,6,0,0,100,0,0.0010300429184549357,97083,,0.010300429184549357,0
2020-05-21,6,0,6,0,0,100,0,0.0010300429184549357,97083,,0.010300429184549357,0
2020-05-20,6,0,6,0,0,100,0,0.0010300429184549357,97083,,0.010300429184549357,0
2020-05-19,6,0,6,0,0,100,0,0.0010300429184549357,97083,,0.010300429184549357,0
